Date,State,Bill No,Title,Action
"April 12, 2023",VA,SB 903,Authorizes New Limits on the THC Amount in Hemp Products,"Concurrence Vote Passed
                           - House
                      

                      
                          (52 - 41)"
"April 12, 2023",VA,SB 903,Authorizes New Limits on the THC Amount in Hemp Products,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (33 - 7)"
"April 12, 2023",VA,SB 1337,Establishes New Regulations and Provisions to the Medical Marijuana Program,"Concurrence Vote Passed
                           - House
                      

                      
                          (74 - 20)"
"April 12, 2023",VA,SB 1533,Requires the Board of Pharmacy Consider Certain Factors when Determining Additional Cultivation Locations,"Concurrence Vote Passed
                           - House
                      

                      
                          (78 - 16)"
"April 12, 2023",VA,SB 989,Establishes Greater Victims Rights in Court,"Concurrence Vote Passed
                           - House
                      

                      
                          (76 - 16)"
"April 12, 2023",VA,HB 2393,Requires the Secretary of Natural and Historic Resources Consult the State's Research University Collaborative whe ...,"Concurrence Vote Passed
                           - House
                      

                      
                          (51 - 44)"
"April 12, 2023",VA,HB 2169,Specifies Parole Board Records are no Longer Exempt from Mandatory Disclosure Requirements in the Virginia Freedom ...,"Concurrence Vote Passed
                           - House
                      

                      
                          (60 - 35)"
"April 12, 2023",VA,SB 1035,Specifies and Designates Certain Bridges Eligible for State Repair Funding,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (21 - 19)"
"April 12, 2023",VA,SB 989,Establishes Greater Victims Rights in Court,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (35 - 5)"
"Feb. 25, 2023",VA,HB 2398,Classifies Sexual Extortion as a Class 5 Felony,"Conference Report Adopted
                           - Senate
                      

                      
                          (37 - 3)"
"Feb. 25, 2023",VA,SB 1188,"Classifies Fentanyl as a ""Weapons of Terrorism"" and a Class 4 Felony","Conference Report Adopted
                           - Senate
                      

                      
                          (35 - 5)"
"Feb. 25, 2023",VA,SB 887,Requires Individuals in Solitary Confinement Receive a Minimum of 4 Hours Out of Cell Each Day,"Conference Report Adopted
                           - Senate
                      

                      
                          (38 - 2)"
"Feb. 25, 2023",VA,SB 1361,Amends Parole Rules in the state of Virginia,"Bill Passed
                           - House
                      

                      
                          (66 - 23)"
"Feb. 24, 2023",VA,SB 1188,"Classifies Fentanyl as a ""Weapons of Terrorism"" and a Class 4 Felony","Conference Report Adopted
                           - House
                      

                      
                          (50 - 42)"
"Feb. 23, 2023",VA,HB 2298,Amends the List of Prohibited Concealed Weapons by Removing Switch Blades and Adding Stiletto Knives,"Concurrence Vote Passed
                           - House
                      

                      
                          (61 - 32)"
"Feb. 23, 2023",VA,SB 1314,Requires Both Legal Parents be Responsible for Pregnancy and delivery Expenses,"Bill Passed
                           - House
                      

                      
                          (52 - 41)"
"Feb. 22, 2023",VA,HB 2441,Extends Eviction Notices for Month to Month tenants,"Concurrence Vote Passed
                           - House
                      

                      
                          (58 - 39)"
"Feb. 22, 2023",VA,SB 1337,Establishes New Regulations and Provisions to the Medical Marijuana Program,"Bill Passed
                           - Senate
                      

                      
                          (27 - 13)"
"Feb. 22, 2023",VA,SB 1455,Authorizes Law Enforcement to Establish a Curfew,"Bill Passed
                           - House
                      

                      
                          (53 - 43)"
"Feb. 22, 2023",VA,SB 855,Prohibits Any Headlights that Emit Blue Light,"Bill Passed
                           - House
                      

                      
                          (87 - 11)"
"Feb. 21, 2023",VA,SB 1035,Specifies and Designates Certain Bridges Eligible for State Repair Funding,"Bill Passed
                           - House
                      

                      
                          (69 - 28)"
"Feb. 20, 2023",VA,HB 2026,Amends Renewable Energy Codes in Virginia,"Concurrence Vote Passed
                           - House
                      

                      
                          (78 - 21)"
"Feb. 20, 2023",VA,HB 2441,Extends Eviction Notices for Month to Month tenants,"Bill Passed
                           - Senate
                      

                      
                          (23 - 17)"
"Feb. 20, 2023",VA,HB 2082,Requires Employees of Landlords with More than 200 Rental Units to Complete a Criminal Background Check,"Bill Passed
                           - Senate
                      

                      
                          (36 - 4)"
"Feb. 17, 2023",VA,SB 948,Authorizes Pharmacists to Administer Controlled Substances or Devices for Certain Infections for Adults 18 and Old ...,"Bill Passed
                           - House
                      

                      
                          (65 - 34)"
"Feb. 16, 2023",VA,SB 1135,Classifies the Sale or Possession of a Stolen Catalytic Converter as a Class 6 Felony,"Bill Passed
                           - House
                      

                      
                          (75 - 24)"
"Feb. 16, 2023",VA,SB 1492,Exempts Retired and Off-Duty Police Officers from the Prohibition of Firearms in the State Capital,"Bill Passed
                           - House
                      

                      
                          (59 - 40)"
"Feb. 16, 2023",VA,HB 2444,Authorizes Offshore Wind Farm Energy Capacity,"Bill Passed
                           - Senate
                      

                      
                          (38 - 2)"
"Feb. 15, 2023",VA,SB 898,Requires Safety Courses for Conceal-Carry Licenses,"Bill Passed
                           - House
                      

                      
                          (56 - 42)"
"Feb. 14, 2023",VA,SB 951,"Prohibits Registering an Uninsured Vehicle Beginning July 1, 2024","Bill Passed
                           - House
                      

                      
                          (82 - 16)"
"Feb. 13, 2023",VA,SB 1291,Classifies Making a False Report to Emergency Personnel as a Class 1 Misdemeanor,"Bill Passed
                           - House
                      

                      
                          (88 - 8)"
"Feb. 13, 2023",VA,HB 1702,Requires Landlords Provide 60-Day Written Notice to Increase Rent,"Bill Passed
                           - Senate
                      

                      
                          (24 - 16)"
"Feb. 7, 2023",VA,HB 2432,"Requires Schools to Inform Parents of Students Experiencing ""Gender Incongruence""",(50 - 48)
"Feb. 7, 2023",VA,HB 1387,Limits Participation in Women's Sports on Basis of Sex Assigned at Birth,"Bill Passed
                           - House
                      

                      
                          (51 - 47)"
"Feb. 7, 2023",VA,HB 2444,Authorizes Offshore Wind Farm Energy Capacity,"Bill Passed
                           - House
                      

                      
                          (90 - 5)"
"Feb. 7, 2023",VA,HB 2387,Establishes a Refundable Income Tax Credit for Firearm Safety Devices,"Bill Passed
                           - House
                      

                      
                          (98 - 1)"
"Feb. 7, 2023",VA,SB 1515,Establishes Civil Liability for or Publishing or Distributing Material Harmful to Minors on the Internet,"Bill Passed
                           - Senate
                      

                      
                          (37 - 3)"
"Feb. 7, 2023",VA,HB 2082,Requires Employees of Landlords with More than 200 Rental Units to Complete a Criminal Background Check,"Bill Passed
                           - House
                      

                      
                          (93 - 5)"
"Feb. 6, 2023",VA,HB 2025,Requires the Department of Social Services Provide School Boards with Information Lists for Families Receiving SNA ...,"Bill Passed
                           - House
                      

                      
                          (78 - 22)"
"Feb. 6, 2023",VA,SB 951,"Prohibits Registering an Uninsured Vehicle Beginning July 1, 2024","Bill Passed
                           - Senate
                      

                      
                          (36 - 3)"
