bill_number,term,action_date,action,chamber,order
HB1000,2023-2024,2023-12-05,Prefiled for introduction.,H,1
HB1000,2023-2024,2023-01-09,"First reading, referred to Finance.",H,2
HB1000,2023-2024,2023-01-31,Public hearing in the House Committee on Finance at 8:00 AM.,H,3
HB1000,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",H,4
HB1001,2023-2024,2023-12-05,Prefiled for introduction.,H,1
HB1001,2023-2024,2023-01-09,"First reading, referred to Postsecondary Education & Workforce.",H,2
HB1001,2023-2024,2023-01-13,Public hearing in the House Committee on Postsecondary Education & Workforce at 8:00 AM.,H,3
HB1001,2023-2024,2023-01-20,Executive action taken in the House Committee on Postsecondary Education & Workforce at 8:00 AM.,H,4
HB1001,2023-2024,2023-01-20,PEW - Majority; do pass.,H,5
HB1001,2023-2024,2023-01-24,Referred to Rules 2 Review.,H,6
HB1001,2023-2024,2023-02-03,Placed on second reading by Rules Committee.,H,7
HB1001,2023-2024,2023-02-08,Rules suspended.  Placed on Third Reading.,H,8
HB1001,2023-2024,2023-02-08,"Third reading, passed; yeas, 96; nays, 0; absent, 0; excused, 2.",H,9
HB1001,2023-2024,2023-02-10,"First reading, referred to Health & Long Term Care.",S,10
HB1001,2023-2024,2023-03-09,Public hearing in the Senate Committee on Health & Long Term Care at 10:30 AM.,S,11
HB1001,2023-2024,2023-03-14,Executive action taken in the Senate Committee on Health & Long Term Care at 8:00 AM.,S,12
HB1001,2023-2024,2023-03-14,HLTC - Majority; do pass.,S,13
HB1001,2023-2024,2023-03-16,Passed to Rules Committee for second reading.,S,14
HB1001,2023-2024,2023-03-24,Placed on second reading consent calendar.,S,15
HB1001,2023-2024,2023-03-29,Rules suspended.  Placed on Third Reading.,S,16
HB1001,2023-2024,2023-03-29,"Third reading, passed; yeas, 49; nays, 0; absent, 0; excused, 0.",S,17
HB1001,2023-2024,2023-03-31,Speaker signed.,H,18
HB1001,2023-2024,2023-04-03,President signed.,S,19
HB1001,2023-2024,2023-04-07,Delivered to Governor.,O,20
HB1001,2023-2024,2023-04-13,Governor signed.,O,21
HB1001,2023-2024,2023-04-13,"Chapter 53, 2023 Laws.",O,22
HB1001,2023-2024,2023-04-13,Effective date 7/23/2023.,O,23
HB1002,2023-2024,2023-12-05,Prefiled for introduction.,H,1
HB1002,2023-2024,2023-01-09,"First reading, referred to Community Safety, Justice, & Reentry.",H,2
HB1002,2023-2024,2023-01-16,"Public hearing in the House Committee on Community Safety, Justice, & Reentry at 1:30 PM.",H,3
HB1002,2023-2024,2023-01-26,"Executive action taken in the House Committee on Community Safety, Justice, & Reentry at 8:00 AM.",H,4
HB1002,2023-2024,2023-01-26,CSJR - Majority; do pass.,H,5
HB1002,2023-2024,2023-01-27,Referred to Rules 2 Review.,H,6
HB1002,2023-2024,2023-02-28,Rules Committee relieved of further consideration.  Placed on second reading.,H,7
HB1002,2023-2024,2023-03-01,Rules suspended.  Placed on Third Reading.,H,8
HB1002,2023-2024,2023-03-01,"Third reading, passed; yeas, 96; nays, 0; absent, 0; excused, 2.",H,9
HB1002,2023-2024,2023-03-03,"First reading, referred to Law & Justice.",S,10
HB1002,2023-2024,2023-03-13,Public hearing in the Senate Committee on Law & Justice at 10:30 AM.,S,11
HB1002,2023-2024,2023-03-22,Executive action taken in the Senate Committee on Law & Justice at 6:00 PM.,S,12
HB1002,2023-2024,2023-03-22,LAW - Majority; do pass with amendment.,S,13
HB1002,2023-2024,2023-03-24,Passed to Rules Committee for second reading.,S,14
HB1002,2023-2024,2023-03-30,Placed on second reading by Rules Committee.,S,15
HB1002,2023-2024,2023-04-05,Committee amendment adopted with no other amendments.,S,16
HB1002,2023-2024,2023-04-05,Rules suspended.  Placed on Third Reading.,S,17
HB1002,2023-2024,2023-04-05,"Third reading, passed; yeas, 48; nays, 0; absent, 0; excused, 1.",S,18
HB1002,2023-2024,2023-04-13,House concurred in Senate amendments.,H,19
HB1002,2023-2024,2023-04-13,"Passed final passage; yeas, 96; nays, 1; absent, 1; excused, 0.",H,20
HB1002,2023-2024,2023-04-13,Vote on final passage will be reconsidered.,H,21
HB1002,2023-2024,2023-04-13,"Passed final passage; yeas, 96; nays, 0; absent, 0; excused, 2.",H,22
HB1002,2023-2024,2023-04-14,Speaker signed.,H,23
HB1002,2023-2024,2023-04-17,President signed.,S,24
HB1002,2023-2024,2023-04-18,Delivered to Governor.,O,25
HB1002,2023-2024,2023-05-01,Governor signed.,O,26
HB1002,2023-2024,2023-05-01,"Chapter 196, 2023 Laws.",O,27
HB1002,2023-2024,2023-05-01,Effective date 7/23/2023.,O,28
HB1003,2023-2024,2023-12-05,Prefiled for introduction.,H,1
HB1003,2023-2024,2023-01-09,"First reading, referred to Education.",H,2
HB1003,2023-2024,2023-01-23,Public hearing in the House Committee on Education at 1:30 PM.,H,3
HB1003,2023-2024,2023-02-02,"Executive session scheduled, but no action was taken in the House Committee on Education at 8:00 AM.",H,4
HB1003,2023-2024,2023-02-07,Executive action taken in the House Committee on Education at 4:00 PM.,H,5
HB1003,2023-2024,2023-02-07,"ED - Majority; 1st substitute bill be substituted, do pass.",H,6
HB1003,2023-2024,2023-02-10,Referred to Appropriations.,H,7
HB1003,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",H,8
HB1004,2023-2024,2023-12-05,Prefiled for introduction.,H,1
HB1004,2023-2024,2023-01-09,"First reading, referred to Transportation.",H,2
HB1004,2023-2024,2023-01-25,Public hearing in the House Committee on Transportation at 4:00 PM.,H,3
HB1004,2023-2024,2023-02-02,Executive action taken in the House Committee on Transportation at 4:00 PM.,H,4
HB1004,2023-2024,2023-02-02,TR - Majority; do pass.,H,5
HB1004,2023-2024,2023-02-07,Referred to Rules 2 Review.,H,6
HB1004,2023-2024,2023-02-22,Placed on second reading suspension calendar by Rules Committee.,H,7
HB1004,2023-2024,2023-03-07,Rules suspended.  Placed on Third Reading.,H,8
HB1004,2023-2024,2023-03-07,"Third reading, passed; yeas, 95; nays, 0; absent, 0; excused, 3.",H,9
HB1004,2023-2024,2023-03-09,"First reading, referred to Transportation.",S,10
HB1004,2023-2024,2023-03-20,Executive action taken in the Senate Committee on Transportation at 4:00 PM.,S,11
HB1004,2023-2024,2023-03-20,TRAN - Majority; do pass.,S,12
HB1004,2023-2024,2023-03-22,Passed to Rules Committee for second reading.,S,13
HB1004,2023-2024,2023-03-24,Placed on second reading by Rules Committee.,S,14
HB1004,2023-2024,2023-03-31,Rules suspended.  Placed on Third Reading.,S,15
HB1004,2023-2024,2023-03-31,"Third reading, passed; yeas, 48; nays, 0; absent, 0; excused, 1.",S,16
HB1004,2023-2024,2023-04-03,Speaker signed.,H,17
HB1004,2023-2024,2023-04-04,President signed.,S,18
HB1004,2023-2024,2023-04-07,Delivered to Governor.,O,19
HB1004,2023-2024,2023-04-13,Governor signed.,O,20
HB1004,2023-2024,2023-04-13,"Chapter 54, 2023 Laws.",O,21
HB1004,2023-2024,2023-04-13,Effective date 7/23/2023.,O,22
HB1005,2023-2024,2023-12-05,Prefiled for introduction.,H,1
HB1005,2023-2024,2023-01-09,"First reading, referred to Finance.",H,2
HB1005,2023-2024,2023-02-02,Public hearing in the House Committee on Finance at 1:30 PM.,H,3
HB1005,2023-2024,2023-02-16,Executive action taken in the House Committee on Finance at 1:30 PM.,H,4
HB1005,2023-2024,2023-02-16,FIN - Majority; do pass.,H,5
HB1005,2023-2024,2023-02-17,Referred to Rules 2 Review.,H,6
HB1005,2023-2024,2023-03-02,Rules Committee relieved of further consideration.  Placed on second reading.,H,7
HB1005,2023-2024,2023-04-23,Referred to Rules 2 Consideration.,H,8
HB1005,2023-2024,2024-01-08,"By resolution, reintroduced and retained in present status.",H,9
HB1006,2023-2024,2023-12-05,Prefiled for introduction.,H,1
HB1006,2023-2024,2023-01-09,"First reading, referred to Community Safety, Justice, & Reentry.",H,2
