bill_id,term,session,title,summary,approp_bill,commem
HB1000,2023_2024,2023_2024,AN ACT Relating to providing sales tax relief by expanding the working families' tax credit;,Providing sales tax relief by expanding the working families' tax credit.,0,0
HB1001,2023_2024,2023_2024,AN ACT Relating to the audiology and speech-language pathology interstate compact;,Concerning the audiology and speech-language pathology interstate compact.,0,0
HB1002,2023_2024,2023_2024,AN ACT Relating to increasing the penalty for hazing;,Increasing the penalty for hazing.,0,0
HB1003,2023_2024,2023_2024,AN ACT Relating to expanding access to dual credit programs;,Expanding access to dual credit programs.,0,0
HB1004,2023_2024,2023_2024,AN ACT Relating to installing signs on or near bridges to provide information to deter jumping;,Installing signs on or near bridges to provide information to deter jumping.,0,0
HB1005,2023_2024,2023_2024,AN ACT Relating to employer tax incentives for the support of veterans and military families;,Concerning employer tax incentives for the support of veterans and military families.,0,0
HB1006,2023_2024,2023_2024,AN ACT Relating to expanding access to drug testing equipment to promote community safety;,Expanding access to drug testing equipment.,0,0
HB1007,2023_2024,2023_2024,AN ACT Relating to interruptive military service credit for members of the state retirement systems;,Concerning interruptive military service credit for members of the state retirement systems.,0,0
HB1008,2023_2024,2023_2024,AN ACT Relating to participating in insurance plans and contracts by separated plan 2 members of certain retirement systems;,Concerning participating in insurance plans and contracts by separated plan 2 members of certain retirement systems.,0,0
HB1009,2023_2024,2023_2024,AN ACT Relating to military spouse employment;,Concerning military spouse employment.,0,0
HB1010,2023_2024,2023_2024,AN ACT Relating to the sanitary control of shellfish;,Concerning the sanitary control of shellfish.,0,0
HB1011,2023_2024,2023_2024,AN ACT Relating to repealing the long-term services and supports trust program;,Repealing the long-term services and supports trust program.,0,0
HB1012,2023_2024,2023_2024,AN ACT Relating to responding to extreme weather events;,Addressing the response to extreme weather events.,0,0
HB1013,2023_2024,2023_2024,AN ACT Relating to establishing regional apprenticeship programs through educational service districts;,Establishing regional apprenticeship programs.,0,0
HB1014,2023_2024,2023_2024,AN ACT Relating to capital projects for the provision of fire protection services;,Concerning capital projects for the provision of fire protection services.,0,0
HB1015,2023_2024,2023_2024,AN ACT Relating to minimum employment requirements for paraeducators;,Concerning minimum employment requirements for paraeducators.,0,0
HB1016,2023_2024,2023_2024,AN ACT Relating to creating a wine retailer shipper's permit;,Establishing a wine retailer shipper's permit.,0,0
HB1017,2023_2024,2023_2024,"AN ACT Relating to expediting licensure for cosmetologists, hair designers, barbers, manicurists, and estheticians;","Expediting licensure for cosmetologists, hair designers, barbers, manicurists, and estheticians.",0,0
HB1018,2023_2024,2023_2024,AN ACT Relating to changing the expiration date for the sales and use tax exemption of hog fuel to comply with the 2045 deadline for fossil fuel-free electrical generation in Washington state and to protect jobs with health care and retirement benefits in economically distressed communities;,Changing the expiration date for the sales and use tax exemption of hog fuel to comply with the 2045 deadline for fossil fuel-free electrical generation in Washington state and to protect jobs with health care and retirement benefits in economically distressed communities.,0,0
HB1019,2023_2024,2023_2024,AN ACT Relating to creating the pesticide advisory board;,Creating the pesticide advisory board.,0,0
HB1020,2023_2024,2023_2024,AN ACT Relating to the state dinosaur;,Designating the Suciasaurus rex as the official dinosaur of the state of Washington.,0,1
HB1021,2023_2024,2023_2024,AN ACT Relating to aligning social worker licensing requirements with national standards and requirements for other mental health professionals;,Aligning social worker licensing requirements.,0,0
HB1022,2023_2024,2023_2024,AN ACT Relating to providing additional support and services for veterans' assistance and for persons with developmental disabilities or mental health needs;,Providing additional support and services for veterans' assistance and for persons with developmental disabilities or mental health needs.,0,0
HB1023,2023_2024,2023_2024,AN ACT Relating to the elimination of wire tap authorization reporting to the administrative office of the courts;,Eliminating wire tap authorization reporting to the administrative office of the courts.,0,0
HB1024,2023_2024,2023_2024,AN ACT Relating to labor and income of incarcerated persons;,Concerning labor and income of incarcerated persons.,0,0
HB1025,2023_2024,2023_2024,AN ACT Relating to creating a private right of action for harm from violations of the state Constitution or state law by peace officers;,Creating a private right of action for harm from violations of the state Constitution or state law by peace officers.,0,0
HB1026,2023_2024,2023_2024,AN ACT Relating to local government design review;,Concerning local government design review.,0,0
HB1027,2023_2024,2023_2024,AN ACT Relating to extending the time frame in which real-time telemedicine using both audio and video technology may be used to establish a relationship for the purpose of providing audio-only telemedicine for certain health care services;,Concerning telemedicine.,0,0
HB1028,2023_2024,2023_2024,"AN ACT Relating to supporting crime victims and witnesses by promoting victim-centered, trauma-informed responses in the legal system;","Supporting crime victims and witnesses by promoting victim-centered, trauma-informed responses in the legal system.",0,0
HB1029,2023_2024,2023_2024,AN ACT Relating to reemployment of state workers dismissed from employment due to vaccine mandates;,Concerning reemployment of state workers dismissed from employment due to vaccine mandates.,0,0
HB1030,2023_2024,2023_2024,AN ACT Relating to applied doctorate degree-granting authority;,Concerning applied doctorate degree-granting authority.,0,0
HB1031,2023_2024,2023_2024,AN ACT Relating to the medal of valor award presentation;,Modifying medal of valor award presentation requirements.,0,1
HB1032,2023_2024,2023_2024,AN ACT Relating to mitigating the risk of wildfires through electric utility planning and identification of best management practices appropriate to each electric utility's circumstances;,Mitigating the risk of wildfires through electric utility planning and identification of best management practices appropriate to each electric utility's circumstances.,0,0
HB1033,2023_2024,2023_2024,AN ACT Relating to evaluating compostable product usage in Washington;,Evaluating compostable product usage in Washington.,0,0
HB1034,2023_2024,2023_2024,AN ACT Relating to prohibiting fur farming;,Prohibiting fur farming.,0,0
HB1035,2023_2024,2023_2024,AN ACT Relating to prohibiting health care entities from restricting the provision of certain health care services by health care providers;,Prohibiting health care entities from restricting the provision of certain health care services by health care providers.,0,0
HB1036,2023_2024,2023_2024,AN ACT Relating to duty of clergy to report child abuse or neglect;,Providing duty of clergy to report child abuse or neglect.,0,0
HB1037,2023_2024,2023_2024,AN ACT Relating to family burial grounds on privately owned property;,Concerning family burial grounds.,0,0
HB1038,2023_2024,2023_2024,AN ACT Relating to licensure of anesthesiologist assistants;,Concerning licensure of anesthesiologist assistants.,0,0
HB1039,2023_2024,2023_2024,AN ACT Relating to physical therapists performing intramuscular needling;,Concerning physical therapists performing intramuscular needling.,0,0
HB1040,2023_2024,2023_2024,AN ACT Relating to establishing an aviation and aerospace advisory committee;,Establishing an aviation and aerospace advisory committee.,0,0
HB1041,2023_2024,2023_2024,AN ACT Relating to authorizing the prescriptive authority of psychologists;,Authorizing the prescriptive authority of psychologists.,0,0
HB1042,2023_2024,2023_2024,AN ACT Relating to the creation of additional housing units in existing buildings;,Concerning the use of existing buildings for residential purposes.,0,0
HB1043,2023_2024,2023_2024,AN ACT Relating to association records in common interest communities;,Concerning association records in common interest communities.,0,0
