bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1635922,2037,HB1000,1,Introduced,2023-01-09,"Providing sales tax relief by expanding the working families' tax credit.","Providing sales tax relief by expanding the working families' tax credit.",933,"House Finance",2024-01-08,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1000/2023,https://app.leg.wa.gov/billsummary?BillNumber=1000&Year=2023&Initiative=false
1635487,2037,HB1001,4,Passed,2023-04-13,"Concerning the audiology and speech-language pathology interstate compact.","Concerning the audiology and speech-language pathology interstate compact.",0,,2023-04-13,"Effective date 7/23/2023.",https://legiscan.com/WA/bill/HB1001/2023,https://app.leg.wa.gov/billsummary?BillNumber=1001&Year=2023&Initiative=false
1635575,2037,HB1002,4,Passed,2023-05-01,"Increasing the penalty for hazing.","Increasing the penalty for hazing.",0,,2023-05-01,"Effective date 7/23/2023.",https://legiscan.com/WA/bill/HB1002/2023,https://app.leg.wa.gov/billsummary?BillNumber=1002&Year=2023&Initiative=false
1635659,2037,HB1003,1,Introduced,2023-01-09,"Expanding access to dual credit programs.","Expanding access to dual credit programs.",2759,"House Appropriations",2024-01-08,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1003/2023,https://app.leg.wa.gov/billsummary?BillNumber=1003&Year=2023&Initiative=false
1635833,2037,HB1004,4,Passed,2023-04-13,"Installing signs on or near bridges to provide information to deter jumping.","Installing signs on or near bridges to provide information to deter jumping.",0,,2023-04-13,"Effective date 7/23/2023.",https://legiscan.com/WA/bill/HB1004/2023,https://app.leg.wa.gov/billsummary?BillNumber=1004&Year=2023&Initiative=false
1635319,2037,HB1005,1,Introduced,2023-01-09,"Concerning employer tax incentives for the support of veterans and military families.","Concerning employer tax incentives for the support of veterans and military families.",943,"House Rules",2024-01-08,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1005/2023,https://app.leg.wa.gov/billsummary?BillNumber=1005&Year=2023&Initiative=false
1635401,2037,HB1006,2,Engrossed,2023-02-08,"Expanding access to drug testing equipment.","Expanding access to drug testing equipment.",0,,2024-01-08,"House Rules ""X"" file.",https://legiscan.com/WA/bill/HB1006/2023,https://app.leg.wa.gov/billsummary?BillNumber=1006&Year=2023&Initiative=false
1635747,2037,HB1007,4,Passed,2023-04-06,"Concerning interruptive military service credit for members of the state retirement systems.","Concerning interruptive military service credit for members of the state retirement systems.",0,,2023-04-06,"Effective date 7/23/2023.",https://legiscan.com/WA/bill/HB1007/2023,https://app.leg.wa.gov/billsummary?BillNumber=1007&Year=2023&Initiative=false
1636897,2037,HB1008,4,Passed,2023-04-25,"Concerning participating in insurance plans and contracts by separated plan 2 members of certain retirement systems.","Concerning participating in insurance plans and contracts by separated plan 2 members of certain retirement systems.",0,,2023-04-25,"Effective date 1/1/2024.",https://legiscan.com/WA/bill/HB1008/2023,https://app.leg.wa.gov/billsummary?BillNumber=1008&Year=2023&Initiative=false
1636923,2037,HB1009,4,Passed,2023-04-25,"Concerning military spouse employment.","Concerning military spouse employment.",0,,2023-04-25,"Effective date 7/23/2023*.",https://legiscan.com/WA/bill/HB1009/2023,https://app.leg.wa.gov/billsummary?BillNumber=1009&Year=2023&Initiative=false
