people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
3500,"James McCune",James,G.,McCune,,Jim,2,R,2,Sen,SD-002,6649777,51573,,Jim_McCune_(Washington),226588,0
3507,"Joe Schmick",Joe,,Schmick,,,2,R,1,Rep,HD-009B,2843616,67158,,Joe_Schmick,260804,0
3509,"Steven Conway",Steven,E.,Conway,,,1,D,2,Sen,SD-029,13007762,3073,,Steve_Conway,199823,0
3515,"Kevin Van De Wege",Kevin,,"Van De Wege",,,1,D,2,Sen,SD-024,2651640,51685,,Kevin_Van_De_Wege,248676,0
3516,"Tina Orwall",Tina,L.,Orwall,,,1,D,1,Rep,HD-033A,13007807,108273,,Tina_Orwall,269943,0
3522,"Joel Kretz",Joel,,Kretz,,,2,R,1,Rep,HD-007B,2757617,51403,,Joel_Kretz,226591,0
3523,"Judith Warnick",Judith,,Warnick,,Judy,2,R,2,Sen,SD-013,13007605,67062,,Judith_Warnick,248670,0
3525,"Robert Hasegawa",Robert,A.,Hasegawa,,Bob,1,D,2,Sen,SD-011,2644787,51576,,Bob_Hasegawa,226598,0
3531,"Marko Liias",Marko,,Liias,,,1,D,2,Sen,SD-021,2880655,102020,,Marko_Liias,262126,0
3534,"Ed Orcutt",Ed,,Orcutt,,,2,R,1,Rep,HD-020B,2763443,51452,,Ed_Orcutt,210449,0
3537,"Samuel Hunt",Samuel,W.,Hunt,,Sam,1,D,2,Sen,SD-022,2605917,56150,,Sam_Hunt,205788,0
3545,"Lawrence Springer",Lawrence,Stanley,Springer,,Larry,1,D,1,Rep,HD-045B,2677782,51435,,Larry_Springer,226629,0
3547,"Bruce Chandler",Bruce,,Chandler,,,2,R,1,Rep,HD-015A,2633819,26221,,Bruce_Chandler,199795,0
3553,"Shelly Short",Shelly,,Short,,,2,R,2,Sen,SD-007,2844248,108332,,Shelly_Short,163394,0
3555,"Christine Rolfes",Christine,Nasser,Rolfes,,,1,D,2,Sen,SD-023,3607851,65880,,Christine_Rolfes,248674,0
3566,"Timm Ormsby",Timm,S.,Ormsby,,,1,D,1,Rep,HD-003B,13007528,16446,,Timm_Ormsby,221660,0
3568,"Sharon Santos",Sharon,Tomiko,Santos,,,1,D,1,Rep,HD-037A,1402789,26171,,Sharon_Tomiko_Santos,199842,0
3570,"Roger Goodman",Roger,E.,Goodman,,,1,D,1,Rep,HD-045A,13007917,68784,,Roger_Goodman,248685,0
3577,"Jamie Pedersen",Jamie,D.,Pedersen,,,1,D,2,Sen,SD-043,2826410,66760,,Jamie_Pedersen,248683,0
3602,"Claudia Kauffman",Claudia,,Kauffman,,,1,D,2,Sen,SD-047,13013852,68788,,Claudia_Kauffman,248698,0
3605,"Curtis King",Curtis,P.,King,,,2,R,2,Sen,SD-014,2675390,101906,,Curtis_King,260149,0
3617,"Mark Schoesler",Mark,G.,Schoesler,,,2,R,2,Sen,SD-009,2746364,3237,,Mark_Schoesler,199784,0
3629,"Karen Keiser",Karen,,Keiser,,,1,D,2,Sen,SD-033,3565929,3195,,Karen_Keiser,199834,0
10541,"Derek Stanford",Derek,C.,Stanford,,,1,D,2,Sen,SD-001,2609336,126288,,Derek_Stanford,296725,0
10543,"Joe Fitzgibbon",Joe,,Fitzgibbon,,,1,D,1,Rep,HD-034B,3133466,126390,,Joe_Fitzgibbon,262610,0
10544,"Laurie Jinkins",Laurie,,Jinkins,,,1,D,1,Rep,HD-027A,3961959,126361,,Laurie_Jinkins,296739,0
10547,"Andrew Billig",Andrew,S.,Billig,,Andy,1,D,2,Sen,SD-003,2648695,126294,,Andy_Billig,296265,0
10551,"Paul Harris",Paul,L.,Harris,,,2,R,1,Rep,HD-017B,13007638,51472,,Paul_Harris,297061,0
10552,"Steve Tharinger",Steve,,Tharinger,,,1,D,1,Rep,HD-024B,2934629,94645,,Steve_Tharinger,296285,0
10939,"Cindy Ryu",Cindy,,Ryu,,,1,D,1,Rep,HD-032A,13007799,80550,,Cindy_Ryu,296747,0
10941,"Anna Rivers",Anna,M.,Rivers,,Ann,2,R,2,Sen,SD-018,13007654,126326,,Ann_Rivers,296733,0
11158,"James Wilcox",James,T.,Wilcox,III,J.T.,2,R,1,Rep,HD-002B,2605453,126292,,J.T._Wilcox,296773,0
12218,"Frank Chopp",Frank,V.,Chopp,Jr.,,1,D,1,Rep,HD-043B,2639351,3172,,Frank_Chopp,199854,0
13047,"Sharon Wylie",Sharon,L.,Wylie,,,1,D,1,Rep,HD-049A,3086496,129758,,Sharon_Wylie,338419,0
13680,"Mike Padden",Mike,,Padden,,,2,R,2,Sen,SD-004,2627614,135587,,Mike_Padden,380834,0
13683,"Drew Hansen",Drew,,Hansen,,,1,D,1,Rep,HD-023B,6514642,135725,,Drew_Hansen,360191,0
13684,"Gerry Pollet",Gerry,,Pollet,,,1,D,1,Rep,HD-046A,2809440,108342,,Gerry_Pollet,269969,0
14810,"Steve Bergquist",Steve,,Bergquist,,,1,D,1,Rep,HD-011B,13007595,140106,,Steve_Bergquist,421073,0
14812,"Jake Fey",Jake,,Fey,,,1,D,1,Rep,HD-027B,13007746,80588,,Jake_Fey,296740,0
14815,"Jeff Holy",Jeff,,Holy,,,2,R,2,Sen,SD-006,3591632,140096,,Jeff_Holy,421049,0
14817,"Drew MacEwen",Drew,C.,MacEwen,,,2,R,2,Sen,SD-035,2849087,140147,,Drew_MacEwen,421267,0
14822,"Marcus Riccelli",Marcus,,Riccelli,,,1,D,1,Rep,HD-003A,2637802,140089,,Marcus_Riccelli,260810,0
14824,"Monica Stonier",Monica,Jurado,Stonier,,,1,D,1,Rep,HD-049B,2911067,126320,,Monica_Jurado_Stonier,296280,0
14828,"John Braun",John,E.,Braun,,,2,R,2,Sen,SD-020,2649318,140192,,John_Braun,420931,0
14829,"Annette Cleveland",Annette,M.,Cleveland,,,1,D,2,Sen,SD-049,2674146,140199,,Annette_Cleveland,420988,0
14833,"Mark Mullet",Mark,D.,Mullet,,,1,D,2,Sen,SD-005,2764763,140187,,Mark_Mullet,420884,0
15064,"Brad Hawkins",Brad,M.,Hawkins,,,2,R,2,Sen,SD-012,3133030,140108,,Brad_Hawkins,421084,0
16130,"Leonard Christian",Leonard,,Christian,,,2,R,1,Rep,HD-004B,15828500,150055,,Leonard_Christian,484009,0
16131,"Mia Gregerson",Mia,Su-ling,Gregerson,,,1,D,1,Rep,HD-033B,24812003,150064,,Mia_Gregerson,481081,0
16132,"June Robinson",June,,Robinson,,,1,D,2,Sen,SD-038,2692481,150066,,June_Robinson,480104,0
16133,"Tana Senn",Tana,,Senn,,,1,D,1,Rep,HD-041A,24812028,148810,,Tana_Senn,467860,0
16164,"Lillian Ortiz-Self",Lillian,,Ortiz-Self,,,1,D,1,Rep,HD-021B,24811960,148105,,Lillian_Ortiz-Self,485821,0
16642,"Drew Stokesbary",Drew,,Stokesbary,,,2,R,1,Rep,HD-031A,24811997,153122,,Drew_Stokesbary,499121,0
16715,"Strom Peterson",Strom,,Peterson,,,1,D,1,Rep,HD-021A,2692475,114465,,Strom_Peterson,499092,0
16739,"Lynda Wilson",Lynda,D.,Wilson,,,2,R,2,Sen,SD-017,15633024,153068,,Lynda_Wilson,499075,0
16740,"Michelle Caldier",Michelle,D.,Caldier,,,2,R,1,Rep,HD-026B,15737439,153100,,Michelle_Caldier,499099,0
16768,"Daniel Griffey",Daniel,,Griffey,,Dan,2,R,1,Rep,HD-035A,13007819,126394,,Dan_Griffey,296269,0
17043,"Tom Dent",Tom,,Dent,,,2,R,1,Rep,HD-013A,3088542,153060,,Tom_Dent,499068,0
17044,"Gina Mosbrucker",Gina,R.,Mosbrucker,,,2,R,1,Rep,HD-014B,24811938,153062,,Gina_Mosbrucker,666870,0
17700,"Mary Dye",Mary,,Dye,,,2,R,1,Rep,HD-009A,2657858,156728,,Mary_Dye,536052,0
17785,"Patty Kuderer",Patty,,Kuderer,,,1,D,2,Sen,SD-048,3543752,166011,,Patricia_Kuderer,554735,0
17795,"Noel Frame",Noel,Christina,Frame,,,1,D,2,Sen,SD-036,2679886,140153,,Noel_Frame,421289,0
