Date,State,Bill No,Title,Action
"March 27, 2024",WA,SB 5790,Requires that Schools Carry Emergency Bleeding Control Equipment,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (47 - 0)"
"March 7, 2024",WA,SB 6194,Establishes Collective Bargaining Rights for State Legislative Staffers,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (29 - 18)"
"March 7, 2024",WA,SB 6194,Establishes Collective Bargaining Rights for State Legislative Staffers,"Bill Passed
                           - House
                      

                      
                          (58 - 39)"
"March 5, 2024",WA,HB 1652,Reduces State Seizures of Child Support Payments,"Concurrence Vote Passed
                           - House
                      

                      
                          (92 - 4)"
"March 5, 2024",WA,SB 6251,Establishes Regionalized Coordinated Behavioral Health Crisis Response Plans,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (49 - 0)"
"March 5, 2024",WA,SB 6308,Amends 988 Call Centers Integrated Data Platforms to Provide Seamless Person-Centered Service,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (49 - 0)"
"March 5, 2024",WA,HB 2118,Requires Gun Dealers Have Surveillance Cameras,"Concurrence Vote Passed
                           - House
                      

                      
                          (56 - 39)"
"March 5, 2024",WA,SB 6058,Amends State Carbon Markets to Align with the California-Quebec Carbon Market,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (28 - 19)"
"March 5, 2024",WA,SB 6105,Establishes Adult Entertainment Bill of Rights,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (29 - 20)"
"March 4, 2024",WA,SB 5444,"Prohibits Open Carrying of Guns in Zoos, Libraries and Transit Centers","Concurrence Vote Passed
                           - Senate
                      

                      
                          (27 - 21)"
"March 4, 2024",WA,HB 1903,Requires Gun Owners Provide Notice to Law Enforcement Within 24 Hours of a Firearm Theft,"Concurrence Vote Passed
                           - House
                      

                      
                          (57 - 40)"
"March 4, 2024",WA,SB 5838,Establishes an Artificial Intelligence Task Force,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (30 - 19)"
"March 4, 2024",WA,SB 5462,Amends State Learning Standards to Include Education on the LGBTQ+ Community,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (28 - 20)"
"March 4, 2024",WA,SB 5824,Increases Legal Protections for State Public Libraries,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (44 - 5)"
"March 4, 2024",WA,SB 6015,Reduces Building Construction Requirements for Housing Developments in Urban Areas,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (28 - 21)"
"March 4, 2024",WA,SB 5985,Amends Firearms Background Check Program,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (30 - 19)"
"March 1, 2024",WA,HB 1551,Prohibits Lead Cooking Pans and Utensils,"Bill Passed
                           - Senate
                      

                      
                          (47 - 0)"
"March 1, 2024",WA,HB 1368,Appropriates $80 Million from the Climate Commitment Act for Electric School Bus Purchases,"Bill Passed
                           - Senate
                      

                      
                          (29 - 20)"
"March 1, 2024",WA,HB 1958,Prohibits Nonconsensual Removal or Tampering of a Condom or Other Sexually Protective Device,"Bill Passed
                           - Senate
                      

                      
                          (43 - 6)"
"Feb. 29, 2024",WA,SB 6228,Repeals Hidden Barriers Which Prevent Patients From Accessing Treatment They Need,"Bill Passed
                           - House
                      

                      
                          (84 - 8)"
"Feb. 29, 2024",WA,SB 5838,Establishes an Artificial Intelligence Task Force,"Bill Passed
                           - House
                      

                      
                          (68 - 28)"
"Feb. 29, 2024",WA,SB 5462,Amends State Learning Standards to Include Education on the LGBTQ+ Community,"Bill Passed
                           - House
                      

                      
                          (56 - 37)"
"Feb. 29, 2024",WA,SB 6058,Amends State Carbon Markets to Align with the California-Quebec Carbon Market,"Bill Passed
                           - House
                      

                      
                          (57 - 39)"
"Feb. 29, 2024",WA,SB 5670,Authorizes College Credit Courses for High School Students,"Bill Passed
                           - House
                      

                      
                          (92 - 1)"
"Feb. 29, 2024",WA,HB 1929,Establishes Temporary Supportive-Housing Options for Young Adults Following Inpatient Behavioral Health Treatment,"Bill Passed
                           - Senate
                      

                      
                          (46 - 0)"
"Feb. 28, 2024",WA,SB 5824,Increases Legal Protections for State Public Libraries,"Bill Passed
                           - House
                      

                      
                          (90 - 5)"
"Feb. 28, 2024",WA,HB 1903,Requires Gun Owners Provide Notice to Law Enforcement Within 24 Hours of a Firearm Theft,"Bill Passed
                           - Senate
                      

                      
                          (29 - 20)"
