bill_number,session,session_type,primary_sponsor,cosponsors,outchamber_sponsors,status,summary,bill_url
ab0001,2023,RS,Brooks,Knodl; Rettinger; Rozar; Allen; Bodden; Brandtjen; Dittrich; Gundrum; Gustafson; Magnafici; Murphy; Penterman; Spiros; Tusler; Behnke; Schraa,LeMahieu; Ballweg; Bradley; Cabral-Guevara; Feyen; James; Nass; Stroebel; Tomczyk; Hutton; Felzkowski,A - Ways and Means,"An Act to repeal 71.06 (1q), 71.06 (1r) (a), 71.06 (1r) (b), 71.06 (1r) (c), 71.06 (2) (i), 71.06 (2) (j), 71.06 (2) (k), 71.06 (2) (km), 71.06 (2) (L), 71.06 (2) (Lm), 71.06 (2) (m), 71.06 (2) (mm), 71.06 (2e) (be), 71.06 (2e) (bm), 71.06 (2e) (bs), 71.06 (2s) (e), 71.06 (2s) (f), 71.06 (2s) (g) and 73.03 (71); to renumber 71.06 (1r) (d); to amend 71.06 (1q) (intro.), 71.06 (1r) (title), 71.06 (2) (i) (intro.), 71.06 (2) (j) (intro.), 71.06 (2e) (a), 71.06 (2e) (b), 71.06 (2m), 71.06 (2s) (d), 71.125 (1), 71.125 (2), 71.17 (6), 71.64 (9) (b) (intro.), 71.67 (5) (a), 71.67 (5m), 73.03 (71) (c) 2. and 73.03 (71) (d) 2.; and to create 71.06 (1r), 71.06 (2) (k), 71.06 (2) (km), 71.06 (2) (L), 71.06 (2) (Lm), 71.06 (2) (m), 71.06 (2) (mm), 71.06 (2) (n), 71.06 (2e) (be), 71.06 (2e) (bm), 71.06 (2e) (bs), 71.06 (2s) (e), 71.06 (2s) (f) and 71.06 (2s) (g) of the statutes;  Relating to: establishing a flat individual income tax rate. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab1
ab0002,2023,RS,Knodl,Armstrong; Moses; Allen; Bodden; Brandtjen; Brooks; Callahan; Dittrich; Donovan; Duchow; Edming; Goeben; Green; Gundrum; Gustafson; S. Johnson; Kitchens; Magnafici; Maxey; Murphy; Mursau; Nedweski; Neylon; Novak; O'Connor; Oldenburg; Penterman; Plumer; Rettinger; Rozar; Sapik; Schraa; Snyder; Sortwell; Steffen; Summerfield; Tittl; Tranel; Tusler; VanderMeer; Wichgers; Zimmerman; Swearingen; Binsfeld; Michalski,Stroebel; Testin; Jacque; Bradley; Cabral-Guevara; Feyen; Hutton; James; LeMahieu; Nass; Quinn; Tomczyk; Wanggaard; Wimberger,A - Calendar,"An Act to repeal 60.85 (1) (f), 66.1105 (2) (d), 70.043 (2), 70.13 (3), 70.13 (7), 70.18, 70.19, 70.20, 70.21, 70.22, 70.29, 70.30, 70.34, 70.345, 70.35, 70.36, 70.47 (15), 70.53 (1) (a), 70.65 (2) (a) 2., 70.68, 74.11 (4), 74.11 (11) (b), 74.11 (12) (a) 1g., 74.11 (12) (d), 74.12 (6), 74.12 (11) (a) 1g., 74.12 (11) (d), 74.30 (1) (i), 74.42, 74.47 (3) (e), 74.55 and 76.69; to renumber 70.043 (1) and 74.11 (11) (a); to consolidate, renumber and amend 70.65 (2) (a) (intro.) and 1.; to amend 17.14 (1) (g), 26.03 (1m) (b) (intro.), 33.01 (9) (a), 33.01 (9) (am) 1. and 2., 33.01 (9) (ar) 1., 33.01 (9) (b) 1., 60.85 (1) (h) 1. c., 60.85 (1) (o), 66.0435 (3) (c) 1. (intro.), 66.0435 (3) (g), 66.0435 (9), 66.1105 (2) (f) 1. c., 66.1106 (1) (k), 70.02, 70.05 (5) (a) 1., 70.17 (1), 70.174, 70.44 (1), 70.49 (2), 70.52, 70.65 (2) (b) (intro.), 70.73 (1) (b), 70.73 (1) (c), 70.73 (1) (d), 70.84, 70.855 (1) (intro.), 70.855 (1) (a), 70.855 (1) (b), 70.995 (1) (a), 70.995 (1) (b), 70.995 (4), 70.995 (7) (b), 70.995 (8) (b) 1., 70.995 (12) (a), 71.17 (2), 74.05 (1), 74.09 (2), 74.11 (6) (a), 74.11 (10) (a) 1., 74.11 (12) (a) (intro.), 74.11 (12) (b), 74.12 (7) (a), 74.12 (8) (a), 74.12 (9) (a), 74.12 (10) (a), 74.12 (11) (a) (intro.), 74.12 (11) (b), 74.25 (1) (intro.), 74.29 (2), 74.30 (1m), 74.83, 74.87 (3), 76.125 (1), 77.84 (1), 174.065 (3), 815.18 (3) (intro.) and 978.05 (6) (a); and to create 60.85 (5) (j), 66.1105 (5) (j), 66.1106 (4) (e), 70.015, 70.111 (28) and 70.17 (3) of the statutes;  Relating to: eliminating the personal property tax. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab2
ab0003,2023,RS,Joint Committee for Review of Administrative Rules,,,A - Family Law,"An Act to amend 457.03 (2) of the statutes;  Relating to: rules defining unprofessional conduct by marriage and family therapists, professional counselors, and social workers and suspension of a portion of a rule of the Marriage and Family Therapy, Professional Counseling, and Social Work Examining Board.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab3
ab0004,2023,RS,Joint Committee for Review of Administrative Rules,,,A - Campaigns and Elections,An Act to create 5.051 of the statutes;  Relating to: the suspension of a rule of the Elections Commission.,https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab4
ab0005,2023,RS,Joint Committee for Review of Administrative Rules,,,A - Tourism,"An Act to amend 93.07 (24) (e) and 97.67 (1); and to create 97.67 (1d) of the statutes;  Relating to: the regulation of pools located at short-term rentals and the partial suspension of rules promulgated by the Department of Agriculture, Trade and Consumer Protection. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab5
ab0006,2023,RS,Murphy,Rettinger; Penterman; Brandtjen; Brooks; Maxey; Mursau; Ortiz-Velez; Rodriguez; Tusler; Wichgers; Zimmerman; Bodden; Allen,Jacque; Felzkowski; Nass; Wanggaard,A - State Affairs,"An Act to repeal 36.11 (3) (cm) 1. and 3. and 36.31 (1); to amend 36.11 (3) (b), 36.11 (3) (c), 36.11 (3) (cm) 4. and 36.31 (2); and to create 36.11 (3) (bm), 36.31 (1m) and 36.31 (2m) (d) of the statutes;  Relating to: uniform course numbering and the transfer of course credits among technical colleges and University of Wisconsin System schools, and eliminating certain restrictions on the respective educational roles of the University of Wisconsin System and the Technical College System. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab6
ab0007,2023,RS,Murphy,Armstrong; Brandtjen; Donovan; Mursau; Ortiz-Velez; Plumer; Shankland; Sinicki; Tusler; Wichgers,Jacque; Ballweg; Carpenter,A - State Affairs,"An Act to amend 36.27 (3n) (a) 1m. a., 36.27 (3n) (a) 1m. b., 36.27 (3n) (b) (intro.), 36.27 (3n) (bd), 36.27 (3n) (bg), 36.27 (3n) (bm), 36.27 (3n) (c), 36.27 (3p) (a) 1r. (intro.), 38.24 (7) (a) 1m. a., 38.24 (7) (a) 1m. b., 38.24 (7) (a) 1p., 38.24 (7) (b) (intro.), 38.24 (7) (bd), 38.24 (7) (bg), 38.24 (7) (bm) and 38.24 (8) (a) 1r. (intro.); and to create 36.27 (3n) (a) 1r. of the statutes;  Relating to: tuition and fee remission for certain veterans and their dependents enrolled in the University of Wisconsin System or a technical college. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab7
ab0008,2023,RS,Murphy,Armstrong; Baldeh; Brandtjen; Cabrera; Donovan; Gustafson; Kitchens; Mursau; Ortiz-Velez; Penterman; Pronschinske; Shankland; Sinicki; Snodgrass; Subeck; Tittl; Tusler; Wichgers,Jacque; Wanggaard; Carpenter; Hesselbein; Pfaff; Spreitzer,A - Rules,"An Act to amend 45.44 (3) (c) (intro.) and 45.51 (2) (a) 1.; and to create 36.27 (2) (b) 5., 36.27 (3p) (a) 1r. g., 38.24 (8) (a) 1r. g. and 45.01 (12) (fm) of the statutes;  Relating to: expanding veterans benefits to individuals who served in Laos in support of the United States during the Vietnam War.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab8
ab0009,2023,RS,Sortwell,Goeben; Shankland; Brandtjen; Brooks; Cabrera; Knodl; Moses; Murphy; Rozar; Subeck; Tittl; Tusler; Wichgers; Vining,Jacque; Ballweg; Cowles; Spreitzer; Wanggaard,A - Tabled,"An Act to repeal 118.29 (1) (bm), 118.292 (1g) (b), 118.292 (1g) (bm), 118.2925 (1) (d), 118.2925 (1) (fm), 255.07 (1) (c) and 255.07 (1) (e); to amend 118.29 (2) (a) 2m., 118.292 (1r) (intro.), 118.292 (1r) (a), 118.292 (2) (a), 118.292 (2) (b), 118.2925 (1) (h), 118.2925 (3), 118.2925 (4) (a), (b) and (c), 118.2925 (4m) (a), 118.2925 (4m) (b), 118.2925 (5), 255.07 (2) (a), 255.07 (2) (b), 255.07 (3), 255.07 (4), 255.07 (5) (a) 2., 255.07 (5) (a) 3., 255.07 (6) (a) (intro.), 255.07 (6) (a) 1., 2. and 3., 255.07 (6) (b), 255.07 (6) (d), 255.07 (6) (e), 255.07 (6) (f), 448.03 (2) (q) and 450.11 (4) (a) 5. d.; and to create 118.29 (1) (br), 118.292 (1g) (bg), 118.2925 (1) (dm) and 255.07 (1) (cm) of the statutes;  Relating to: use of epinephrine delivery systems and standing orders for epinephrine. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab9
ab0010,2023,RS,Penterman,O'Connor; Armstrong; Kitchens; Mursau; Spiros,Cowles; Ballweg; Marklein; Nass; Smith,A - Rules,"An Act to repeal 20.320 (1) (sm), 281.59 (1) (as), 281.59 (9) (a) and 281.60; to amend 13.48 (26), 20.370 (4) (mt), 20.370 (9) (mt), 20.505 (1) (v), 20.536 (1) (ka), 25.43 (1) (h), 25.43 (2s) (a) 2., 25.43 (3), 67.12 (12) (a), 281.59 (2) (a), 281.59 (2) (b), 281.59 (3) (a) 1., 281.59 (3) (a) 5., 281.59 (3) (j), 281.59 (9) (am), 281.59 (9) (b) (intro.), 281.59 (9) (b) 1., 281.59 (11) (a), 281.59 (11) (b), 281.59 (11) (c), 281.59 (13s) and 281.59 (14); and to create 281.605 of the statutes;  Relating to: eliminating the land recycling loan program. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab10
