bill_number,session,session_type,chamber,action_date,action,journal_page,order
ab0001,2023,RS,Asm.,2023-01-19,"Introduced by Representatives Brooks, Knodl, Rettinger, Rozar, Allen, Bodden, Brandtjen, Dittrich, Gundrum, Gustafson, Magnafici, Murphy, Penterman, Spiros, Tusler, Behnke and Schraa; 
cosponsored by Senators LeMahieu, Ballweg, Bradley, Cabral-Guevara, Feyen, James, Nass, Stroebel, Tomczyk, Hutton and Felzkowski",18,1
ab0001,2023,RS,Asm.,2023-01-19,Read first time and referred to Committee on Ways and Means,18,2
ab0001,2023,RS,Asm.,2023-01-23,Representative Moses added as a coauthor,24,3
ab0001,2023,RS,Asm.,2023-01-26,Representative Donovan added as a coauthor,25,4
ab0001,2023,RS,Asm.,2023-02-13,Fiscal estimate received,,5
ab0001,2023,RS,Asm.,2023-04-20,Fiscal estimate received,,6
ab0001,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,7
ab0002,2023,RS,Asm.,2023-02-06,"Introduced by Representatives Knodl, Armstrong, Moses, Allen, Bodden, Brandtjen, Brooks, Callahan, Dittrich, Donovan, Duchow, Edming, Goeben, Green, Gundrum, Gustafson, S. Johnson, Kitchens, Magnafici, Maxey, Murphy, Mursau, Nedweski, Neylon, Novak, O'Connor, Oldenburg, Penterman, Plumer, Rettinger, Rozar, Sapik, Schraa, Snyder, Sortwell, Steffen, Summerfield, Tittl, Tranel, Tusler, VanderMeer, Wichgers, Zimmerman, Swearingen, Binsfeld and Michalski; 
cosponsored by Senators Stroebel, Testin, Jacque, Bradley, Cabral-Guevara, Feyen, Hutton, James, LeMahieu, Nass, Quinn, Tomczyk, Wanggaard and Wimberger",26,1
ab0002,2023,RS,Asm.,2023-02-06,Read first time and referred to Committee on Ways and Means,26,2
ab0002,2023,RS,Asm.,2023-02-16,Fiscal estimate received,,3
ab0002,2023,RS,Asm.,2023-02-16,Senator Stafsholt added as a cosponsor,41,4
ab0002,2023,RS,Asm.,2023-04-25,Assembly Substitute Amendment 1 offered by Representatives Macco and Knodl,124,5
ab0002,2023,RS,Asm.,2023-05-02,Assembly Amendment 1 to Assembly Substitute Amendment 1 offered by Representatives Macco and Knodl,139,6
ab0002,2023,RS,Asm.,2023-05-04,Fiscal estimate received,,7
ab0002,2023,RS,Asm.,2023-06-08,Public hearing held,,8
ab0002,2023,RS,Asm.,2023-06-15,Assembly Substitute Amendment 2 offered by Representative Macco,206,9
ab0002,2023,RS,Asm.,2023-06-15,Executive action taken,,10
ab0002,2023,RS,Asm.,2023-06-15,"Report Assembly Substitute Amendment 2 adoption recommended by Committee on Ways and Means, Ayes 7, Noes 3",203,11
ab0002,2023,RS,Asm.,2023-06-15,"Report passage as amended recommended by Committee on Ways and Means, Ayes 7, Noes 3",203,12
ab0002,2023,RS,Asm.,2023-06-15,Referred to committee on Rules,203,13
ab0002,2023,RS,Asm.,2023-06-15,Placed on calendar 6-21-2023 by Committee on Rules,,14
ab0002,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,15
ab0003,2023,RS,Asm.,2023-02-06,Introduced by Joint Committee for Review of Administrative Rules,26,1
ab0003,2023,RS,Asm.,2023-02-06,Read first time and referred to Committee on Family Law,26,2
ab0003,2023,RS,Asm.,2023-03-08,"Report without recommendation pursuant to s. 227.26(2)(h), Wisconsin Statutes, by Committee on Family Law",58,3
ab0003,2023,RS,Asm.,2023-03-08,Referred to committee on Rules,58,4
ab0003,2023,RS,Asm.,2023-03-08,Placed on calendar 3-14-2023 by Committee on Rules,,5
ab0003,2023,RS,Asm.,2023-03-13,"Joint Committee for Review of Administrative Rules report received pursuant to s. 227.26(2)(g), Wisconsin Statutes",,6
ab0003,2023,RS,Asm.,2023-03-14,Read a second time,65,7
ab0003,2023,RS,Asm.,2023-03-14,"Referred to Family Law, Ayes 61, Noes 35",65,8
ab0003,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,9
ab0004,2023,RS,Asm.,2023-02-06,Introduced by Joint Committee for Review of Administrative Rules,26,1
ab0004,2023,RS,Asm.,2023-02-06,Read first time and referred to Committee on Campaigns and Elections,26,2
ab0004,2023,RS,Asm.,2023-03-08,"Report without recommendation pursuant to s. 227.26(2)(h), Wisconsin Statutes, by Committee on Campaigns and Elections",58,3
ab0004,2023,RS,Asm.,2023-03-08,Referred to committee on Rules,58,4
ab0004,2023,RS,Asm.,2023-03-08,Placed on calendar 3-14-2023 by Committee on Rules,,5
ab0004,2023,RS,Asm.,2023-03-13,"Joint Committee for Review of Administrative Rules report received pursuant to s. 227.26(2)(g), Wisconsin Statutes",,6
ab0004,2023,RS,Asm.,2023-03-14,Read a second time,66,7
ab0004,2023,RS,Asm.,2023-03-14,Referred to committee on Campaigns and Elections,66,8
ab0004,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,9
