bill_id,term,session,summary,commem
AB0678,2023_2024,RS,An Act to create 84.10313 of the statutes;  Relating to: designating and marking the Ho-Chunk World War II Code Talkers Memorial Highway. (FE),1
AB0168,2023_2024,RS,An Act to amend 1.10 (4); and to create 1.10 (3) (w) of the statutes;  Relating to: designating the Henry All-Weather .45-70 as the state rifle.,1
AB0225,2023_2024,RS,An Act to create 84.10341 of the statutes;  Relating to: designating and marking the Corporal Benjamin H. Neal Memorial Highway. (FE),1
AB0243,2023_2024,RS,An Act to create 84.10383 of the statutes;  Relating to: designating and marking the Operations Desert Storm and Desert Shield Memorial Highway. (FE),1
AB0363,2023_2024,RS,An Act to amend 1.10 (4); and to create 1.10 (3) (w) of the statutes;  Relating to: designating the rusty patched bumble bee as the state native insect.,1
AB0377,2023_2024,RS,An Act to amend 118.13 (1); and to create 118.132 of the statutes;  Relating to: designating athletic sports and teams operated or sponsored by public schools or private schools participating in a parental choice program based on the sex of the participants.,0
AB0378,2023_2024,RS,An Act to amend 36.12 (1) and 38.23 (1); and to create 36.25 (58) and 38.12 (15) of the statutes;  Relating to: designating University of Wisconsin and technical college sports and athletic teams based on the sex of the participants.,0
AB0409,2023_2024,RS,An Act to create 84.10425 of the statutes;  Relating to: designating a bridge in Pierce County as the Eisenhower Bridge of Valor. (FE),1
AB0446,2023_2024,RS,An Act to amend 1.10 (4); and to create 1.10 (3) (w) of the statutes;  Relating to: designating the monarch butterfly as the state butterfly.,1
AB0456,2023_2024,RS,An Act to create 84.10477 of the statutes;  Relating to: designating and marking the Deputy Kaitie Leising Memorial Highway. (FE),1
AB0800,2023_2024,RS,An Act to amend 1.10 (4); and to create 1.10 (3) (w) of the statutes;  Relating to: designating the bacterium Lactococcus lactis as the Wisconsin state microbe.,1
AB0558,2023_2024,RS,An Act to create 84.02 (5) (d) 2. q. of the statutes;  Relating to: identification of the Mount Horeb Veterans Memorial on state highway maps. (FE),1
SB0633,2023_2024,RS,An Act to create 84.10313 of the statutes;  Relating to: designating and marking the Ho-Chunk World War II Code Talkers Memorial Highway. (FE),1
SB0779,2023_2024,RS,An Act to amend 1.10 (4); and to create 1.10 (3) (w) of the statutes;  Relating to: designating the bacterium Lactococcus lactis as the Wisconsin state microbe.,1
SB0165,2023_2024,RS,An Act to amend 1.10 (4); and to create 1.10 (3) (w) of the statutes;  Relating to: designating the Henry All-Weather .45-70 as the state rifle.,1
SB0223,2023_2024,RS,An Act to create 84.10341 of the statutes;  Relating to: designating and marking the Corporal Benjamin H. Neal Memorial Highway. (FE),1
SB0249,2023_2024,RS,An Act to create 84.10383 of the statutes;  Relating to: designating and marking the Operations Desert Storm and Desert Shield Memorial Highway. (FE),1
