bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1668729,2650515,text,100807,application/pdf,Introduced,https://legiscan.com/WI/text/AB1/id/2650515,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB1.pdf
1696529,2683655,text,104670,application/pdf,Introduced,https://legiscan.com/WI/text/AB2/id/2683655,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB2.pdf
1696471,2683596,text,41038,application/pdf,Introduced,https://legiscan.com/WI/text/AB3/id/2683596,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB3.pdf
1696880,2683993,text,39184,application/pdf,Introduced,https://legiscan.com/WI/text/AB4/id/2683993,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB4.pdf
1696645,2683767,text,40735,application/pdf,Introduced,https://legiscan.com/WI/text/AB5/id/2683767,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB5.pdf
1698504,2686100,text,50384,application/pdf,Introduced,https://legiscan.com/WI/text/AB6/id/2686100,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB6.pdf
1698732,2686332,text,61680,application/pdf,Introduced,https://legiscan.com/WI/text/AB7/id/2686332,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB7.pdf
1698531,2686125,text,41943,application/pdf,Introduced,https://legiscan.com/WI/text/AB8/id/2686125,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB8.pdf
1698620,2686218,text,67575,application/pdf,Introduced,https://legiscan.com/WI/text/AB9/id/2686218,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB9.pdf
1698666,2686266,text,65062,application/pdf,Introduced,https://legiscan.com/WI/text/AB10/id/2686266,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB10.pdf
1698552,2686148,text,51487,application/pdf,Introduced,https://legiscan.com/WI/text/AB11/id/2686148,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB11.pdf
1698596,2686195,text,52755,application/pdf,Introduced,https://legiscan.com/WI/text/AB12/id/2686195,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB12.pdf
1698390,2685986,text,51176,application/pdf,Introduced,https://legiscan.com/WI/text/AB13/id/2685986,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB13.pdf
1698345,2685944,text,53187,application/pdf,Introduced,https://legiscan.com/WI/text/AB14/id/2685944,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB14.pdf
1698711,2686311,text,54542,application/pdf,Introduced,https://legiscan.com/WI/text/AB15/id/2686311,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB15.pdf
1698481,2686077,text,39657,application/pdf,Introduced,https://legiscan.com/WI/text/AB16/id/2686077,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB16.pdf
1698575,2686173,text,57645,application/pdf,Introduced,https://legiscan.com/WI/text/AB17/id/2686173,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB17.pdf
1698644,2686241,text,45140,application/pdf,Introduced,https://legiscan.com/WI/text/AB18/id/2686241,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB18.pdf
1698412,2686008,text,55395,application/pdf,Introduced,https://legiscan.com/WI/text/AB19/id/2686008,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB19.pdf
1698369,2685967,text,39556,application/pdf,Introduced,https://legiscan.com/WI/text/AB20/id/2685967,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB20.pdf
1698459,2686056,text,61938,application/pdf,Introduced,https://legiscan.com/WI/text/AB21/id/2686056,https://docs.legis.wisconsin.gov/document/proposaltext/2023/REG/AB21.pdf
