bill_id,date,chamber,sequence,action
1641620,2023-01-03,House,1,Introduced
1641620,2023-01-03,House,2,"Privileged and read"
1641620,2023-01-03,House,3,"Adopted, Ayes 99, Noes 0"
1641623,2023-01-03,House,1,Introduced
1641623,2023-01-03,House,2,"Privileged and read"
1641623,2023-01-03,House,3,"Adopted, Ayes 99, Noes 0"
1641984,2023-01-03,Senate,1,Introduced
1641984,2023-01-03,Senate,2,"Considered as privileged and taken up"
1641984,2023-01-03,Senate,3,Read
1641984,2023-01-03,Senate,4,"Adopted, Ayes 29, Noes 3"
1642107,2023-01-03,Senate,1,Introduced
1642107,2023-01-03,Senate,2,"Considered as privileged and taken up"
1642107,2023-01-03,Senate,3,"Adopted, Ayes 26, Noes 6"
1642107,2023-01-03,Senate,4,"Ordered immediately messaged"
1642107,2023-01-03,House,5,"Received from Senate"
1642107,2023-01-03,House,6,Read
1642107,2023-01-03,House,7,"Rules suspended to withdraw from Senate message and take up"
1642107,2023-01-03,House,8,"Concurred in, Ayes 99, Noes 0"
1642107,2023-01-03,House,9,"Ordered immediately messaged"
1642107,2023-01-04,Senate,10,"Received from Assembly concurred in"
1642107,2023-01-09,Senate,11,"Report correctly enrolled"
1642107,2023-01-19,Senate,12,"Deposited in the office of the Secretary of State on 1-19-2023"
1642107,2023-05-11,Senate,13,"Not published. Enrolled Joint Resolution 1"
1643842,2023-01-05,Senate,1,Introduced
1643842,2023-01-05,Senate,2,"Read first time and referred to Committee on Judiciary and Public Safety"
1643842,2023-01-06,Senate,3,"Senator Felzkowski added as a coauthor"
1643842,2023-01-10,Senate,4,"Public hearing held"
1643842,2023-01-11,Senate,5,"Representatives Brooks and Donovan added as cosponsors"
1643842,2023-01-12,Senate,6,"Executive action taken"
1643842,2023-01-12,Senate,7,"Report adoption recommended by Committee on Judiciary and Public Safety, Ayes 5, Noes 3"
1643842,2023-01-12,Senate,8,"Available for scheduling"
1643842,2023-01-13,Senate,9,"Placed on calendar 1-17-2023 pursuant to Senate Rule 18(1)"
1643842,2023-01-17,Senate,10,"Read a second time"
1643842,2023-01-17,Senate,11,"Ordered to a third reading"
1643842,2023-01-17,Senate,12,"Rules suspended to give joint resolution its third reading"
1643842,2023-01-17,Senate,13,"Read a third time and adopted, Ayes 23, Noes 9"
1643842,2023-01-17,Senate,14,"Ordered immediately messaged"
1643842,2023-01-17,House,15,"Received from Senate"
1643842,2023-01-17,House,16,"Read first time and referred to committee on Rules"
1643842,2023-01-17,House,17,"Placed on calendar 1-19-2023 by Committee on Rules"
1643842,2023-01-19,House,18,"Rules suspended to withdraw from calendar and take up"
1643842,2023-01-19,House,19,"Read a second time"
1643842,2023-01-19,House,20,"Ordered to a third reading"
1643842,2023-01-19,House,21,"Rules suspended"
1643842,2023-01-19,House,22,"Refused to refer to committee on Judiciary, Ayes 35, Noes 62"
1643842,2023-01-19,House,23,"Read a third time and concurred in, Ayes 74, Noes 23"
1643842,2023-01-19,House,24,"Ordered immediately messaged"
1643842,2023-01-19,Senate,25,"Received from Assembly concurred in"
1643842,2023-01-19,Senate,26,"Report correctly enrolled"
1643842,2023-01-19,Senate,27,"Deposited in the office of the Secretary of State on 1-19-2023"
1643842,2023-05-11,Senate,28,"Published 5-11-2023. Enrolled Joint Resolution 2"
1644461,2023-01-06,House,1,Introduced
1644461,2023-01-06,House,2,"Read first time and referred to Committee on Judiciary"
1644461,2023-01-10,House,3,"Public hearing held"
1644461,2023-01-11,House,4,"Representatives Brooks and Donovan added as coauthors"
1644461,2023-01-11,House,5,"Executive action taken"
1644461,2023-01-12,House,6,"Representative O'Connor added as a coauthor"
1644461,2023-01-12,House,7,"Report adoption recommended by Committee on Judiciary, Ayes 6, Noes 1"
1644461,2023-01-12,House,8,"Referred to committee on Rules"
1644461,2023-01-17,House,9,"Placed on calendar 1-19-2023 by Committee on Rules"
1644461,2023-01-19,House,10,"Laid on the table"
1644461,2024-04-15,House,11,"Failed to adopt pursuant to Senate Joint Resolution 1"
1653743,2023-01-11,House,1,Introduced
1653743,2023-01-11,House,2,"Read and referred to Committee on Rules"
1653743,2023-01-17,House,3,"Placed on calendar 1-19-2023 by Committee on Rules"
1653743,2023-01-19,House,4,"Laid on the table"
1653743,2024-04-15,House,5,"Failed to adopt pursuant to Senate Joint Resolution 1"
1657670,2023-01-12,Senate,1,Introduced
1657670,2023-01-12,Senate,2,"Read and referred to Committee on Senate Organization"
1657670,2023-01-12,Senate,3,"Available for scheduling"
1657670,2023-01-13,Senate,4,"Placed on calendar 1-17-2023 pursuant to Senate Rule 18(1)"
1657670,2023-01-17,Senate,5,Adopted
1657670,2023-01-17,Senate,6,"Ordered immediately messaged"
1657670,2023-01-17,House,7,"Received from Senate"
1657670,2023-01-17,House,8,"Read and referred to committee on Rules"
1657670,2023-01-17,House,9,"Placed on calendar 1-19-2023 by Committee on Rules"
1657670,2023-01-19,House,10,"Concurred in"
1657670,2023-01-19,House,11,"Ordered immediately messaged"
1657670,2023-01-19,Senate,12,"Received from Assembly concurred in"
1657670,2023-01-23,Senate,13,"Report correctly enrolled"
1658682,2023-01-13,House,1,Introduced
1658682,2023-01-13,House,2,"Read and referred to Committee on Rules"
1658682,2023-01-17,House,3,"Placed on calendar 1-19-2023 by Committee on Rules"
