bill_number,session_year,session_type,primary_sponsor,cosponsors,summary,subjects,companion,bill_url
SB0001,2024,RS,Woodrum,,Department of Administration rule relating to state-owned vehicles,Legislature--Rule Making,HB4026,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=1&year=2024&sessiontype=RS&btype=bill
SB0002,2024,RS,Woodrum,,Authorizing DEP to promulgate rules,Legislature--Rule Making,HB4027,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2&year=2024&sessiontype=RS&btype=bill
SB0003,2024,RS,Woodrum,,DEP rule relating to control of particulate matter air pollution from combustion of fuel in indirect heat exchangers,Legislature--Rule Making,HB4028,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3&year=2024&sessiontype=RS&btype=bill
SB0004,2024,RS,Woodrum,,DEP rule relating to control of air pollution from operation of hot mix asphalt plants,Legislature--Rule Making,HB4029,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=4&year=2024&sessiontype=RS&btype=bill
SB0005,2024,RS,Woodrum,,"DEP rule relating to control of air pollution from operation of coal preparation plants, coal handling operations, and coal refuse disposal areas",Legislature--Rule Making,HB4030,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5&year=2024&sessiontype=RS&btype=bill
SB0006,2024,RS,Woodrum,,DEP rule relating to control of air pollution from combustion of refuse,Legislature--Rule Making,HB4031,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=6&year=2024&sessiontype=RS&btype=bill
SB0007,2024,RS,Woodrum,,DEP rule relating to control of particulate matter air pollution from manufacturing processes and associated operations,Legislature--Rule Making,HB4032,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=7&year=2024&sessiontype=RS&btype=bill
SB0008,2024,RS,Woodrum,,DEP rule relating to ambient air quality standards,Legislature--Rule Making,HB4033,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=8&year=2024&sessiontype=RS&btype=bill
SB0009,2024,RS,Woodrum,,DEP rule relating to control of air pollution from emission of sulfur oxides,Legislature--Rule Making,HB4034,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=9&year=2024&sessiontype=RS&btype=bill
SB0010,2024,RS,Woodrum,,DEP rule relating to standards of performance for new stationary sources,Legislature--Rule Making,HB4035,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=10&year=2024&sessiontype=RS&btype=bill
SB0011,2024,RS,Woodrum,,DEP rule relating to control of air pollution from emission of volatile organic compounds,Legislature--Rule Making,HB4036,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=11&year=2024&sessiontype=RS&btype=bill
SB0012,2024,RS,Woodrum,,DEP rule relating to emission standards for hazardous air pollutants,Legislature--Rule Making,HB4037,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=12&year=2024&sessiontype=RS&btype=bill
SB0013,2024,RS,Woodrum,,DEP rule relating to control of greenhouse gas emissions from existing coal-fired electric utility generating units,Legislature--Rule Making,HB4038,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=13&year=2024&sessiontype=RS&btype=bill
