bill_number,session_year,session_type,chamber,action_date,action,journal_page,order
SB0001,2023,RS,S,2023-02-22,To Finance,2,6
SB0001,2023,RS,S,2023-02-22,"Reported do pass, but first to Finance",1-2,5
SB0001,2023,RS,S,2023-01-11,To Education,33,4
SB0001,2023,RS,S,2023-01-11,Introduced in Senate,33,3
SB0001,2023,RS,S,2023-01-11,To Education then Finance,,2
SB0001,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0002,2023,RS,S,2023-01-11,To Health and Human Resources,33,4
SB0002,2023,RS,S,2023-01-11,Introduced in Senate,33,3
SB0002,2023,RS,S,2023-01-11,To Health and Human Resources,,2
SB0002,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0003,2023,RS,S,2023-01-11,To Health and Human Resources,33,4
SB0003,2023,RS,S,2023-01-11,Introduced in Senate,33,3
SB0003,2023,RS,S,2023-01-11,To Health and Human Resources,,2
SB0003,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0004,2023,RS,S,2023-05-01,"Chapter 216, Acts, Regular Session, 2023",,37
SB0004,2023,RS,H,2023-02-20,Approved by Governor 2/17/2023 - House Journal,,36
SB0004,2023,RS,S,2023-02-20,Approved by Governor 2/17/2023 - Senate Journal,5,35
SB0004,2023,RS,S,2023-02-17,Approved by Governor 2/17/2023,,34
SB0004,2023,RS,H,2023-02-14,To Governor 2/13/2023 - House Journal,,33
SB0004,2023,RS,S,2023-02-14,To Governor 2/13/2023 - Senate Journal,20,32
SB0004,2023,RS,S,2023-02-13,To Governor 2/13/2023,,31
SB0004,2023,RS,S,2023-02-08,House Message received,1,30
SB0004,2023,RS,H,2023-02-07,Completed legislative action,,29
SB0004,2023,RS,H,2023-02-07,Communicated to Senate,,28
SB0004,2023,RS,H,2023-02-07,Passed House (Roll No. 81),,27
SB0004,2023,RS,H,2023-02-07,Read 3rd time,,26
SB0004,2023,RS,H,2023-02-07,"On 3rd reading, Special Calendar",,25
SB0004,2023,RS,H,2023-02-06,Read 2nd time,,24
SB0004,2023,RS,H,2023-02-06,"On 2nd reading, Special Calendar",,23
SB0004,2023,RS,H,2023-02-03,Read 1st time,,22
SB0004,2023,RS,H,2023-02-03,"On 1st reading, Special Calendar",,21
SB0004,2023,RS,H,2023-02-02,2nd reference dispensed,,20
SB0004,2023,RS,H,2023-02-02,Do pass,,19
SB0004,2023,RS,H,2023-01-26,To House Economic Development and Tourism,,18
SB0004,2023,RS,H,2023-01-26,To Economic Development and Tourism,,17
SB0004,2023,RS,H,2023-01-26,Introduced in House,,16
SB0004,2023,RS,S,2023-01-25,Ordered to House,14,15
SB0004,2023,RS,S,2023-01-25,Passed Senate (Roll No. 66),13-14,14
SB0004,2023,RS,S,2023-01-25,Read 3rd time,13,13
SB0004,2023,RS,S,2023-01-25,On 3rd reading,,12
SB0004,2023,RS,S,2023-01-24,Read 2nd time,11-12,11
SB0004,2023,RS,S,2023-01-24,On 2nd reading,,10
SB0004,2023,RS,S,2023-01-23,Read 1st time,10,9
SB0004,2023,RS,S,2023-01-23,On 1st reading,,8
SB0004,2023,RS,S,2023-01-20,2nd reference dispensed,6,7
SB0004,2023,RS,S,2023-01-20,"Reported do pass, but first to Finance",5-6,6
SB0004,2023,RS,S,2023-01-11,To Outdoor Recreation,34,5
SB0004,2023,RS,S,2023-01-11,Introduced in Senate,33-34,4
SB0004,2023,RS,S,2023-01-11,To Outdoor Recreation then Finance,,3
SB0004,2023,RS,S,2023-01-11,Filed for introduction,,2
SB0005,2023,RS,S,2023-01-11,To Health and Human Resources,34,4
SB0005,2023,RS,S,2023-01-11,Introduced in Senate,34,3
SB0005,2023,RS,S,2023-01-11,To Health and Human Resources,,2
SB0005,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0006,2023,RS,S,2023-01-11,To Judiciary,34,4
SB0006,2023,RS,S,2023-01-11,Introduced in Senate,34,3
SB0006,2023,RS,S,2023-01-11,To Judiciary,,2
SB0006,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0007,2023,RS,S,2023-01-17,To Finance,,6
SB0007,2023,RS,S,2023-01-17,"Committee substitute reported, but first to Finance",1-2,5
SB0007,2023,RS,S,2023-01-11,To Transportation and Infrastructure,34,4
SB0007,2023,RS,S,2023-01-11,Introduced in Senate,34,3
SB0007,2023,RS,S,2023-01-11,To Transportation and Infrastructure then Finance,,2
SB0007,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0008,2023,RS,S,2023-01-11,To Judiciary,34,4
SB0008,2023,RS,S,2023-01-11,Introduced in Senate,34,3
SB0008,2023,RS,S,2023-01-11,To Judiciary,,2
SB0008,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0009,2023,RS,S,2023-01-11,To Government Organization,35,4
SB0009,2023,RS,S,2023-01-11,Introduced in Senate,34-35,3
SB0009,2023,RS,S,2023-01-11,To Government Organization,,2
SB0009,2023,RS,S,2023-01-11,Filed for introduction,,1
