bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1656029,2038,HB2001,1,Introduced,2023-01-12,"Reduce personal income tax rates by 10% for all","The purpose of this bill is to reduce personal income tax rates and to create a fund into which one half of each fiscal year's general revenue surplus will be deposited to offset any loss of revenues determined by the Legislature to have resulted from this and any future reductions of those rates instead of using that portion of the surplus to fund the state's Rainy Day Fund.",6,"House Finance",2023-01-12,"To House Finance",https://legiscan.com/WV/bill/HB2001/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2001&year=2023&sessiontype=RS&btype=bill
1655863,2038,HB2002,4,Passed,2023-05-01,"Relating to providing support for families","The purpose of this bill is to increase support for families.",0,,2023-05-01,"Chapter 188, Acts, Regular Session, 2023",https://legiscan.com/WV/bill/HB2002/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2002&year=2023&sessiontype=RS&btype=bill
1656108,2038,HB2003,1,Introduced,2023-01-12,"Providing early childhood assistant teachers and systems of support to help students achieve grade level literacy and numeracy by end of third grade.","The purpose of this bill is to provide early childhood assistant teachers and systems of support to help students achieve grade level literacy and numeracy by end of third grade. The bill replaces a transformative intervention framework with multi-tiered system of support addressing both reading and mathematics. It includes the use of screening and/or benchmark assessments approved by the State Board to be administered three time throughout the school year. The bill specifies the services to be provided to students who exhibit substantial deficiencies on the screening and /or benchmark assessment and the information and notice to the parent or guardian. It requires professional development for the teachers and the training and instruction be provided by education preparation programs that prepare candidates seeking licensure for elementary education. The bill requires the retention in third grade of public school students who demonstrate minimal grade level understanding and ability upon recommendation of teacher and student assistance team, with exceptions. Students starting in the fourth grade who score below proficient in English language arts or mathematics on general summative assessment will continue to be provided intervention until they are grade level proficient. Finally, the bill requires an early childhood classroom assistant teacher in first, second and third grade classrooms that have more than 12 pupils. Note that requirements currently exist in State Board Policy 2510 for pre-kindergarten and kindergarten classrooms with more than 10 pupils to have an early childhood classroom assistant teacher and these provisions would be added to the statute in this bill. The school aid formula allowance for service personnel is amended to increase the number of state funded positions per 1,000 students in net enrollment to provide state funding for the added positions. A new section of code is added which requires early childhood classroom assistant teachers to exercise authority and control over students such as required of a teacher, but only in instances enumerated by the principal and excluding suspensions, expulsions and performing instructional duties as a teacher.",6,"House Finance",2023-01-19,"To House Finance",https://legiscan.com/WV/bill/HB2003/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2003&year=2023&sessiontype=RS&btype=bill
1656137,2038,HB2004,4,Passed,2023-05-01,"Prevent the use of payment card processing systems for surveillance of Second Amendment activity and discriminatory conduct","The purpose of this bill is to prevent the use of payment card processing systems for surveillance of Second Amendment activity and discriminatory conduct.",0,,2023-05-01,"Chapter 156, Acts, Regular Session, 2023",https://legiscan.com/WV/bill/HB2004/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2004&year=2023&sessiontype=RS&btype=bill
1655937,2038,HB2005,4,Passed,2023-05-01,"Establishing the dual enrollment pilot program to be administered by the Higher Education Policy Commission and the Council for Community and Technical College Education in conjunction with the State Board of Education.","The purpose of this bill is to establish the dual enrollment pilot program to be administered by the Higher Education Policy Commission and the Council for Community and Technical College Education in conjunction with the State Department of Education.",0,,2023-05-01,"Chapter 178, Acts, Regular Session, 2023",https://legiscan.com/WV/bill/HB2005/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2005&year=2023&sessiontype=RS&btype=bill
1655809,2038,HB2006,4,Passed,2023-05-01,"Relating to reorganizing the Department of Health and Human Resources","The purpose of this bill is to reorganize the Department of Health and Human Resources.",0,,2023-05-01,"Chapter 189, Acts, Regular Session, 2023",https://legiscan.com/WV/bill/HB2006/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2006&year=2023&sessiontype=RS&btype=bill
1656233,2038,HB2007,4,Passed,2023-05-01,"Prohibiting certain medical practices","The purpose of this bill is to prohibit certain medical practices.",0,,2023-05-01,"Chapter 233, Acts, Regular Session, 2023",https://legiscan.com/WV/bill/HB2007/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2007&year=2023&sessiontype=RS&btype=bill
1656127,2038,HB2008,4,Passed,2023-05-01,"Requiring local entities to enforce immigration laws","The purpose of this bill is to require all local entities of this state to enforce immigration laws. The bill provides for definitions. The bill protects the taxpayers of West Virginia by ensuring that municipalities and counties in West Virginia are immediately required to contact the United States Immigration and Customs Enforcement to identify where noncitizen residents are residing, so that the matter of their illegal status is resolved in the Courts. Finally, the bill prohibits discrimination while enforcing immigration laws and prohibiting sanctuary cities in West Virginia.",0,,2023-05-01,"Chapter 282, Acts, Regular Session, 2023",https://legiscan.com/WV/bill/HB2008/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2008&year=2023&sessiontype=RS&btype=bill
1659735,2038,HB2009,1,Introduced,2023-01-16,"Relating to the authority and obligations of the Governor and Legislature when in declared states of preparedness and emergency","The purpose of this bill is to clarify the authority and obligations of the Governor and Legislature relating to declared states of preparedness and emergencies; clarifying the authority of the Governor; providing requirements for any proclamation or resolution so issued; and providing directives for lawsuits filed challenging actions taken pursuant to the authority granted herein.",7,"House Government Organization",2023-01-16,"To House Government Organization",https://legiscan.com/WV/bill/HB2009/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2009&year=2023&sessiontype=RS&btype=bill
1687407,2038,HB2010,1,Introduced,2023-01-31,"To exempt the full amount of social security benefits from personal income tax","The purpose of this bill is to exempt the full amount of social security benefits from personal income taxation.",6,"House Finance",2023-01-31,"To House Finance",https://legiscan.com/WV/bill/HB2010/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2010&year=2023&sessiontype=RS&btype=bill
1652755,2038,HB2016,4,Passed,2023-05-01,"Relating to confidential childcare records","The purpose of this bill is to provide certain information to child placing agencies and child care facilities to facilitate placement or services to a child.",0,,2023-05-01,"Chapter 61, Acts, Regular Session, 2023",https://legiscan.com/WV/bill/HB2016/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2016&year=2023&sessiontype=RS&btype=bill
1652896,2038,HB2017,1,Introduced,2023-01-11,"Relating to service of process in child abuse cases","The purpose of this bill is to require the sheriff serve child abuse and neglect petitions without additional compensation.",0,,2023-03-11,"On 2nd reading, House Calendar",https://legiscan.com/WV/bill/HB2017/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2017&year=2023&sessiontype=RS&btype=bill
1653477,2038,HB2018,4,Passed,2023-05-01,"Permitting the managed care case coordinator to attend the multidisciplinary team meeting","The purpose of this bill is to permit the managed care case coordinator to attend the multidisciplinary treatment meetings.",0,,2023-05-01,"Chapter 62, Acts, Regular Session, 2023",https://legiscan.com/WV/bill/HB2018/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2018&year=2023&sessiontype=RS&btype=bill
