bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1652271,1237323,2023-01-27,House,"Passed House (Roll No. 45)",78,12,0,10,100
1652271,1270118,2023-03-07,Senate,"Passed Senate with amended title (Roll No. 400)",30,2,0,2,34
1652271,1272181,2023-03-09,House,"House concurred in Senate amendment and passed bill (Roll No. 582)",86,8,0,6,100
1652310,1256710,2023-02-21,House,"Passed House (Roll No. 194)",89,0,0,11,100
1652310,1270747,2023-03-08,Senate,"Passed Senate (Roll No. 426)",32,0,0,2,34
1652317,1250484,2023-02-14,House,"Passed House (Roll No. 129)",96,1,0,3,100
1652317,1268069,2023-03-03,Senate,"Passed Senate (Roll No. 357)",31,0,0,3,34
1652342,1247635,2023-02-10,House,"Passed House (Roll No. 112)",88,6,0,6,100
1652342,1272141,2023-03-09,Senate,"Passed Senate (Roll No. 451)",25,7,0,2,34
1652342,1273312,2023-03-11,House,"House concurred in Senate amendment and passed bill (Roll No. 718)",89,8,0,3,100
1652387,1252885,2023-02-16,House,"Passed House (Roll No. 164)",87,9,0,4,100
1652387,1262107,2023-02-27,Senate,"Passed Senate (Roll No. 303)",33,0,0,1,34
1652407,1262062,2023-02-27,House,"Passed House (Roll No. 289)",98,0,0,2,100
1652514,1242264,2023-02-03,House,"Passed House (Roll No. 73)",92,1,0,7,100
1652514,1270385,2023-03-07,Senate,"Passed Senate (Roll No. 416)",30,1,0,3,34
1652526,1261830,2023-02-25,House,"Passed House (Roll No. 258)",82,9,0,9,100
1652624,1238365,2023-01-31,House,"Passed House (Roll No. 50)",95,1,0,4,100
1652624,1273013,2023-03-10,Senate,"Passed Senate (Roll No. 523)",30,2,0,2,34
1652624,1273391,2023-03-11,House,"House concurred in Senate amendment and passed bill (Roll No. 744)",94,2,0,4,100
1652632,1255513,2023-02-20,House,"Passed House (Roll No. 183)",93,1,0,6,100
1652646,1262047,2023-02-27,House,"Passed House (Roll No. 288)",99,0,0,1,100
1652646,1273148,2023-03-10,Senate,"Passed Senate (Roll No. 536)",31,0,0,3,34
1652646,1273395,2023-03-11,House,"House concurred in Senate amend with amend, passed bill (Roll No. 754)",98,0,0,2,100
1652646,1273458,2023-03-11,Senate,"Senate concurred in House amendments and passed bill (Roll No. 618)",33,0,0,1,34
1652694,1256841,2023-02-21,House,"Motion to table motion to discharge adopted (Roll No. 191)",63,33,0,4,100
1652694,1258159,2023-02-22,House,"Motion to take from table motion to discharge rejected (Roll No. 198)",14,84,0,2,100
1652716,1233860,2023-01-20,House,"Passed House (Roll No. 20)",92,0,0,8,100
1652716,1251457,2023-02-15,Senate,"Passed Senate (Roll No. 186)",34,0,0,0,34
1652752,1251518,2023-02-15,House,"Passed House (Roll No. 151)",92,3,0,5,100
1652755,1261812,2023-02-25,House,"Passed House (Roll No. 253)",91,0,0,9,100
1652755,1272052,2023-03-09,Senate,"Passed Senate with amended title (Roll No. 450)",32,0,0,2,34
