bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1879410,3000413,text,35188,text/html,Introduced,https://legiscan.com/WV/text/HB101/id/3000413,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb101%20intr.htm&yr=2024&sesstype=1X&i=101
1879409,3000412,text,8857,text/html,Introduced,https://legiscan.com/WV/text/HB102/id/3000412,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb102%20intr.htm&yr=2024&sesstype=1X&i=102
1879420,3000423,text,8167,text/html,Introduced,https://legiscan.com/WV/text/HB103/id/3000423,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb103%20intr.htm&yr=2024&sesstype=1X&i=103
1879412,3000415,text,8016,text/html,Introduced,https://legiscan.com/WV/text/HB104/id/3000415,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb104%20intr.htm&yr=2024&sesstype=1X&i=104
1879427,3000433,text,8392,text/html,Introduced,https://legiscan.com/WV/text/HB105/id/3000433,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb105%20intr.htm&yr=2024&sesstype=1X&i=105
1879413,3000416,text,7729,text/html,Introduced,https://legiscan.com/WV/text/HB106/id/3000416,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb106%20intr.htm&yr=2024&sesstype=1X&i=106
1879423,3000426,text,9222,text/html,Introduced,https://legiscan.com/WV/text/HB107/id/3000426,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb107%20intr.htm&yr=2024&sesstype=1X&i=107
1879408,3000411,text,7695,text/html,Introduced,https://legiscan.com/WV/text/HB108/id/3000411,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb108%20intr.htm&yr=2024&sesstype=1X&i=108
1879406,3000409,text,10035,text/html,Introduced,https://legiscan.com/WV/text/HB109/id/3000409,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb109%20intr.htm&yr=2024&sesstype=1X&i=109
1879425,3000429,text,14510,text/html,Introduced,https://legiscan.com/WV/text/HB110/id/3000429,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb110%20intr.htm&yr=2024&sesstype=1X&i=110
