bill_id,people_id,position
1879402,10,1
1879402,17196,2
1879403,16935,1
1879404,16935,1
1879405,16935,1
1879406,16935,1
1879406,17000,2
1879407,16935,1
1879407,17000,2
1879408,16935,1
1879408,17000,2
1879409,16935,1
1879409,17000,2
1879410,16935,1
1879410,17000,2
1879411,10,1
1879411,17196,2
1879412,16935,1
1879412,17000,2
1879413,16935,1
1879414,16935,1
1879414,17000,2
1879415,10,1
1879415,17196,2
1879416,10,1
1879416,17196,2
1879417,10,1
1879417,17196,2
1879418,10,1
1879418,17196,2
1879419,10,1
1879419,17196,2
1879420,16935,1
1879420,17000,2
1879421,16935,1
1879421,17000,2
1879422,10,1
1879422,17196,2
1879423,16935,1
1879423,17000,2
1879424,10,1
1879424,17196,2
1879425,16935,1
1879425,17000,2
1879426,10,1
1879426,17196,2
1879427,16935,1
1879427,17000,2
1879428,16935,1
1879428,17000,2
1879429,10,1
1879429,17196,2
1879430,10,1
1879430,17196,2
1879431,10,1
1879431,17196,2
1879432,10,1
1879432,19,5
1879432,37,10
1879432,104,4
1879432,125,19
1879432,812,11
1879432,11306,18
1879432,11797,16
1879432,15831,3
1879432,15837,23
1879432,16944,31
1879432,16948,15
1879432,16951,27
1879432,16952,30
1879432,17196,32
1879432,17581,2
1879432,19245,12
1879432,19247,22
1879432,19248,26
1879432,19255,13
1879432,19258,7
1879432,19292,20
1879432,19382,14
1879432,20553,28
1879432,20611,21
1879432,22836,9
1879432,22844,24
1879432,22845,33
1879432,24150,6
1879432,24151,8
1879432,24152,17
1879432,24153,25
1879432,24154,29
1879433,10,1
1879433,17196,2
1879434,19383,1
1879435,10,1
1879435,19,5
1879435,37,10
1879435,104,4
1879435,125,20
1879435,812,11
1879435,11306,19
1879435,11797,17
1879435,15831,3
1879435,15837,24
1879435,16944,32
1879435,16946,13
1879435,16948,16
1879435,16951,28
1879435,16952,31
1879435,17196,33
1879435,17581,2
1879435,19245,12
1879435,19247,23
1879435,19248,27
1879435,19255,14
1879435,19258,7
1879435,19292,21
1879435,19382,15
1879435,20553,29
1879435,20611,22
1879435,22836,9
1879435,22844,25
1879435,22845,34
1879435,24150,6
1879435,24151,8
1879435,24152,18
1879435,24153,26
1879435,24154,30
1879436,10,1
1879436,17196,2
