bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1888502,2156,HB201,4,Passed,2024-11-20,"Supplementing and amending appropriations to State Department of Education","The purpose of this supplemental appropriation bill is to add a new item of appropriation in the aforesaid account for the designated spending unit for expenditure during the fiscal year 2025.",0,,2024-11-20,"Chapter 1, Acts, 2nd Extraordinary Session, 2024",https://legiscan.com/WV/bill/HB201/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=201&year=2024&sessiontype=2X&btype=bill
1888492,2156,HB202,4,Passed,2024-11-20,"Supplementing, amending and increasing an existing item of appropriation from the State Road Fund to the Department of Transportation, Division of Highways","The purpose of supplemental appropriation bill is to supplement, amend and increase an existing item of appropriation in the aforesaid account for the designated spending unit for expenditure during the fiscal year 2025.",0,,2024-11-20,"Chapter 2, Acts, 2nd Extraordinary Session, 2024",https://legiscan.com/WV/bill/HB202/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=202&year=2024&sessiontype=2X&btype=bill
1888490,2156,HB203,4,Passed,2024-10-30,"Supplementing and amending appropriations to the Department of Veterans’ Assistance, Veterans’ Home","The purpose of this supplemental appropriation bill is to add a new item of appropriation in the aforesaid account for the designated spending unit for expenditure during the fiscal year 2025.",0,,2024-10-30,"Chapter 3, Acts, 2nd Extraordinary Session, 2024",https://legiscan.com/WV/bill/HB203/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=203&year=2024&sessiontype=2X&btype=bill
1888509,2156,HB204,4,Passed,2024-10-30,"Supplementing and amending appropriations to the Department of Homeland Security, West Virginia State Police","The purpose of this supplemental appropriation bill is to add a new item of appropriation in the aforesaid account for the designated spending unit for expenditure during the fiscal year 2025.",0,,2024-10-30,"Chapter 4, Acts, 2nd Extraordinary Session, 2024",https://legiscan.com/WV/bill/HB204/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=204&year=2024&sessiontype=2X&btype=bill
1888605,2156,HB205,4,Passed,2024-10-30,"Supplementing and amending appropriations Adjutant General, State Militia","The purpose of this supplemental appropriation bill is to add new items of appropriation in the aforesaid account for the designated spending unit for expenditure during the fiscal year 2025.",0,,2024-10-30,"Chapter 5, Acts, 2nd Extraordinary Session, 2024",https://legiscan.com/WV/bill/HB205/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=205&year=2024&sessiontype=2X&btype=bill
1888637,2156,HB206,4,Passed,2024-10-30,"Supplementing and amending appropriations to West Virginia University, General Administrative Fund","The purpose of this supplemental appropriation bill is to add a new item of appropriation in the aforesaid account for the designated spending unit for expenditure during the fiscal year 2025.",0,,2024-10-30,"Chapter 6, Acts, 2nd Extraordinary Session, 2024",https://legiscan.com/WV/bill/HB206/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=206&year=2024&sessiontype=2X&btype=bill
1888561,2156,HB207,4,Passed,2024-10-30,"Supplementing and amending appropriations to State Board of Education","The purpose of this supplemental appropriation bill is to add new items of appropriation in the aforesaid account for the designated spending unit for expenditure during the fiscal year 2025.",0,,2024-10-30,"Chapter 7, Acts, 2nd Extraordinary Session, 2024",https://legiscan.com/WV/bill/HB207/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=207&year=2024&sessiontype=2X&btype=bill
1888583,2156,HB208,4,Passed,2024-10-31,"Relating to making West Virginia an agreement state with the United States Nuclear Regulatory Commission","The purpose of this bill is to further the process of West Virginia becoming an Agreement State with the United States Nuclear Regulatory Commission.",0,,2024-10-31,"Chapter 35, Acts, 2nd Extraordinary Session, 2024",https://legiscan.com/WV/bill/HB208/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=208&year=2024&sessiontype=2X&btype=bill
1888542,2156,HB209,1,Introduced,2024-09-30,"Supplementing and amending appropriations to Public Employees Insurance Agency","The purpose of this supplemental appropriation bill is to add a new item of appropriation in the aforesaid account for the designated spending unit for the fiscal year 2025.",0,,2024-10-09,"From Special Calendar, 3rd reading, placed on House Calendar",https://legiscan.com/WV/bill/HB209/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=209&year=2024&sessiontype=2X&btype=bill
1888632,2156,HB210,1,Introduced,2024-09-30,"Supplementing and amending appropriations Governor’s Office, Civil Contingent Fund","The purpose of this supplemental appropriation bill is to add a new item of appropriation in the aforesaid account for the designated spending unit for expenditure during the fiscal year 2025.",0,,2024-10-09,"From Special Calendar, 3rd reading, placed on House Calendar",https://legiscan.com/WV/bill/HB210/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=210&year=2024&sessiontype=2X&btype=bill
1888621,2156,HB211,4,Passed,2024-10-30,"Supplementing and amending appropriations to the Executive, Governor’s Office, Civil Contingent Fund","The purpose of this supplemental appropriation bill is to add a new item of appropriation in the aforesaid account for the designated spending unit for expenditure during the fiscal year 2025.",0,,2024-10-30,"Chapter 8, Acts, 2nd Extraordinary Session, 2024",https://legiscan.com/WV/bill/HB211/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=211&year=2024&sessiontype=2X&btype=bill
1888519,2156,HB212,4,Passed,2024-10-30,"Supplementing and amending appropriations to the Higher Education Policy Commission, Administration, Control Account","The purpose of this supplemental appropriation bill is to add new items of appropriation in the aforesaid account for the designated spending unit for expenditure during the fiscal year 2025.",0,,2024-10-30,"Chapter 9, Acts, 2nd Extraordinary Session, 2024",https://legiscan.com/WV/bill/HB212/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=212&year=2024&sessiontype=2X&btype=bill
1888530,2156,HB213,4,Passed,2024-10-30,"Supplementing and amending appropriations to the Department of Economic Development, Office of the Secretary","The purpose of this supplemental appropriation bill is to increase an existing item of appropriation in the aforesaid account for the designated spending unit for expenditure during the fiscal year 2025.",0,,2024-10-30,"Chapter 10, Acts, 2nd Extraordinary Session, 2024",https://legiscan.com/WV/bill/HB213/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=213&year=2024&sessiontype=2X&btype=bill
1888524,2156,HB214,4,Passed,2024-10-31,"Supplementing and amending appropriations to the Department of Health, Office of the Inspector General","The purpose of this supplemental appropriation bill is to add a new item of appropriation in the aforesaid account for the designated spending unit for expenditure during the fiscal year 2025.",0,,2024-10-31,"Chapter 11, Acts, 2d Extraordinary Session, 2024",https://legiscan.com/WV/bill/HB214/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=214&year=2024&sessiontype=2X&btype=bill
1888626,2156,HB215,4,Passed,2024-10-31,"Supplementing and amending appropriations to Division of Environmental Protection","The purpose of this supplemental appropriation bill is to add a new item of appropriation in the aforesaid account for the designated spending unit for expenditure during the fiscal year 2025.",0,,2024-10-31,"Chapter 12, Acts, 2nd Extraordinary Session, 2024",https://legiscan.com/WV/bill/HB215/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=215&year=2024&sessiontype=2X&btype=bill
1888609,2156,HB216,4,Passed,2024-10-31,"Supplementing and amending appropriations to Office of Technology","The purpose of this supplemental appropriation bill is to add a new item of appropriation in the aforesaid account from the State Fund, General Revenue, for the fiscal year 2024.",0,,2024-10-31,"Chapter 13, Acts, 2nd Extraordinary Session, 2024",https://legiscan.com/WV/bill/HB216/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=216&year=2024&sessiontype=2X&btype=bill
1888550,2156,HB217,1,Introduced,2024-09-30,"Supplementing and amending appropriations to the Department of Arts, Culture, and History, Division of Culture and History","The purpose of this supplemental appropriation bill is to add a new item of appropriation in the aforesaid account for the designated spending unit for expenditure during the fiscal year 2025.",6,"House Finance",2024-09-30,"To House Finance",https://legiscan.com/WV/bill/HB217/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=217&year=2024&sessiontype=2X&btype=bill
1888557,2156,HB218,4,Passed,2024-10-31,"Supplementing and amending appropriations to West Virginia Conservation Agency","The purpose of this supplemental appropriation bill is to add a new item of appropriation in the aforesaid account for the designated spending unit for expenditure during the fiscal year 2025.",0,,2024-10-31,"Chapter 14, Acts, 2nd Extraordinary Session, 2024",https://legiscan.com/WV/bill/HB218/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=218&year=2024&sessiontype=2X&btype=bill
1888515,2156,HB219,4,Passed,2024-11-01,"Supplementing and amending appropriations to the Department of Administration, Public Defender Services","The purpose of this supplemental appropriation bill is to add a new item of appropriation in the aforesaid account for the designated spending unit for expenditure during the fiscal year 2025.",0,,2024-11-01,"Chapter 15, Acts, 2nd Extraordinary Session, 2024",https://legiscan.com/WV/bill/HB219/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=219&year=2024&sessiontype=2X&btype=bill
1888600,2156,HB220,1,Introduced,2024-09-30,"Supplementing and amending appropriations to West Virginia School of Osteopathic Medicine","The purpose of this supplemental appropriation bill is to add a new item of appropriation in the aforesaid account for the designated spending unit for expenditure during the fiscal year 2025.",0,,2024-10-09,"From Special Calendar, 3rd reading, placed on House Calendar",https://legiscan.com/WV/bill/HB220/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=220&year=2024&sessiontype=2X&btype=bill
1888614,2156,HB221,1,Introduced,2024-09-30,"Supplementing and amending appropriations Division of Corrections and Rehabilitation, Correctional Units","The purpose of this supplemental appropriation bill is to add new items of appropriation in the aforesaid account for the designated spending unit for expenditure during the fiscal year 2025.",6,"House Finance",2024-09-30,"To House Finance",https://legiscan.com/WV/bill/HB221/2024/X2,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=221&year=2024&sessiontype=2X&btype=bill
