bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1888502,3022900,text,8398,text/html,Introduced,https://legiscan.com/WV/text/HB201/id/3022900,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb201%20intr.htm&yr=2024&sesstype=2X&i=201
1888502,3023038,text,8381,text/html,Engrossed,https://legiscan.com/WV/text/HB201/id/3023038,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb201%20eng.htm&yr=2024&sesstype=2X&i=201
1888502,3023510,text,18396,text/html,Enrolled,https://legiscan.com/WV/text/HB201/id/3023510,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb201%20enr.htm&yr=2024&sesstype=2X&i=201
1888492,3022889,text,6674,text/html,Introduced,https://legiscan.com/WV/text/HB202/id/3022889,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb202%20intr.htm&yr=2024&sesstype=2X&i=202
1888492,3023036,text,6159,text/html,Engrossed,https://legiscan.com/WV/text/HB202/id/3023036,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb202%20eng.htm&yr=2024&sesstype=2X&i=202
1888492,3023408,text,16314,text/html,Enrolled,https://legiscan.com/WV/text/HB202/id/3023408,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb202%20enr.htm&yr=2024&sesstype=2X&i=202
1888490,3022887,text,8444,text/html,Introduced,https://legiscan.com/WV/text/HB203/id/3022887,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb203%20intr.htm&yr=2024&sesstype=2X&i=203
1888490,3023039,text,7965,text/html,Engrossed,https://legiscan.com/WV/text/HB203/id/3023039,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb203%20eng.htm&yr=2024&sesstype=2X&i=203
1888490,3023409,text,18633,text/html,Enrolled,https://legiscan.com/WV/text/HB203/id/3023409,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb203%20enr.htm&yr=2024&sesstype=2X&i=203
1888509,3022907,text,8162,text/html,Introduced,https://legiscan.com/WV/text/HB204/id/3022907,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb204%20intr.htm&yr=2024&sesstype=2X&i=204
1888509,3023034,text,8146,text/html,Engrossed,https://legiscan.com/WV/text/HB204/id/3023034,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb204%20eng.htm&yr=2024&sesstype=2X&i=204
1888509,3023507,text,18224,text/html,Enrolled,https://legiscan.com/WV/text/HB204/id/3023507,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb204%20enr.htm&yr=2024&sesstype=2X&i=204
1888605,3022986,text,8906,text/html,Introduced,https://legiscan.com/WV/text/HB205/id/3022986,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb205%20intr.htm&yr=2024&sesstype=2X&i=205
1888605,3022987,text,8887,text/html,Engrossed,https://legiscan.com/WV/text/HB205/id/3022987,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb205%20eng.htm&yr=2024&sesstype=2X&i=205
1888605,3023971,text,18947,text/html,Enrolled,https://legiscan.com/WV/text/HB205/id/3023971,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb205%20enr.htm&yr=2024&sesstype=2X&i=205
1888637,3023008,text,8473,text/html,Introduced,https://legiscan.com/WV/text/HB206/id/3023008,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb206%20intr.htm&yr=2024&sesstype=2X&i=206
1888637,3023009,text,7992,text/html,Engrossed,https://legiscan.com/WV/text/HB206/id/3023009,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb206%20eng.htm&yr=2024&sesstype=2X&i=206
1888637,3023413,text,18729,text/html,Enrolled,https://legiscan.com/WV/text/HB206/id/3023413,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb206%20enr.htm&yr=2024&sesstype=2X&i=206
1888561,3022956,text,9287,text/html,Introduced,https://legiscan.com/WV/text/HB207/id/3022956,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb207%20intr.htm&yr=2024&sesstype=2X&i=207
1888561,3023412,text,19233,text/html,Enrolled,https://legiscan.com/WV/text/HB207/id/3023412,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb207%20enr.htm&yr=2024&sesstype=2X&i=207
1888583,3022972,text,46013,text/html,Introduced,https://legiscan.com/WV/text/HB208/id/3022972,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb208%20intr.htm&yr=2024&sesstype=2X&i=208
1888583,3024221,text,55924,text/html,Enrolled,https://legiscan.com/WV/text/HB208/id/3024221,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb208%20enr.htm&yr=2024&sesstype=2X&i=208
1888542,3022943,text,9923,text/html,Introduced,https://legiscan.com/WV/text/HB209/id/3022943,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb209%20intr.htm&yr=2024&sesstype=2X&i=209
1888632,3023005,text,8272,text/html,Introduced,https://legiscan.com/WV/text/HB210/id/3023005,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb210%20intr.htm&yr=2024&sesstype=2X&i=210
1888621,3022998,text,8338,text/html,Introduced,https://legiscan.com/WV/text/HB211/id/3022998,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb211%20intr.htm&yr=2024&sesstype=2X&i=211
1888621,3024190,text,18381,text/html,Enrolled,https://legiscan.com/WV/text/HB211/id/3024190,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb211%20enr.htm&yr=2024&sesstype=2X&i=211
1888519,3022929,text,9002,text/html,Introduced,https://legiscan.com/WV/text/HB212/id/3022929,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb212%20intr.htm&yr=2024&sesstype=2X&i=212
1888519,3024244,text,19045,text/html,Enrolled,https://legiscan.com/WV/text/HB212/id/3024244,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb212%20enr.htm&yr=2024&sesstype=2X&i=212
1888530,3022936,text,9088,text/html,Introduced,https://legiscan.com/WV/text/HB213/id/3022936,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb213%20intr.htm&yr=2024&sesstype=2X&i=213
1888530,3024234,text,19024,text/html,Enrolled,https://legiscan.com/WV/text/HB213/id/3024234,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb213%20enr.htm&yr=2024&sesstype=2X&i=213
1888524,3022932,text,8193,text/html,Introduced,https://legiscan.com/WV/text/HB214/id/3022932,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb214%20intr.htm&yr=2024&sesstype=2X&i=214
