bill_id,people_id,position
1888473,10,1
1888473,17196,2
1888475,16997,1
1888476,10,1
1888476,17196,2
1888477,10,1
1888477,17196,2
1888478,10,1
1888478,17196,2
1888479,10,1
1888479,17196,2
1888480,10,1
1888480,17196,2
1888481,16935,1
1888482,10,1
1888482,17196,2
1888483,10,1
1888483,17196,2
1888485,10,1
1888485,17196,2
1888486,10,1
1888486,17196,2
1888488,10,1
1888488,17196,2
1888489,10,1
1888489,17196,2
1888490,16935,1
1888490,17000,2
1888491,10,1
1888491,17196,2
1888492,16935,1
1888492,17000,2
1888493,10,1
1888493,17196,2
1888494,10,1
1888494,17196,2
1888495,10,1
1888495,17196,2
1888496,10,1
1888496,17196,2
1888497,16951,1
1888498,10,1
1888498,17196,2
1888499,10,1
1888499,17196,2
1888501,10,1
1888501,17196,2
1888502,16935,1
1888502,17000,2
1888503,10,1
1888503,17196,2
1888504,10,1
1888504,17196,2
1888505,10,1
1888505,17196,2
1888506,10,1
1888506,17196,2
1888507,10,1
1888507,17196,2
1888508,10,1
1888508,17196,2
1888509,16935,1
1888509,17000,2
1888510,10,1
1888510,17196,2
1888511,10,1
1888511,17196,2
1888515,16935,1
1888515,17000,2
1888519,16935,1
1888519,17000,2
1888524,16935,1
1888524,17000,2
1888530,16935,1
1888530,17000,2
1888535,16935,1
1888535,17000,2
1888542,16935,1
1888542,17000,2
1888547,16935,1
1888547,17000,2
1888550,16935,1
1888550,17000,2
1888557,16935,1
1888557,17000,2
1888561,16935,1
1888561,17000,2
1888568,16935,1
1888568,17000,2
1888573,16935,1
1888573,17000,2
1888577,16935,1
1888577,17000,2
1888583,16935,1
1888583,17000,2
1888587,16935,1
1888587,17000,2
1888595,16935,1
1888595,17000,2
1888600,16935,1
1888600,17000,2
1888605,16935,1
1888605,17000,2
1888609,16935,1
1888609,17000,2
1888614,16935,1
1888614,17000,2
1888621,16935,1
1888621,17000,2
1888626,16935,1
1888626,17000,2
1888632,16935,1
1888632,17000,2
1888637,16935,1
1888637,17000,2
1888816,10,1
1888816,17196,2
1888817,16997,10
1888817,16998,9
1888817,17000,2
1888817,17197,3
1888817,19383,11
1888817,20606,7
1888817,22846,1
1888817,22849,4
1888817,22850,5
1888817,24951,6
1888817,25034,8
1888818,16997,5
1888818,16998,9
1888818,17000,2
1888818,17197,3
1888818,19383,4
1888818,20606,8
1888818,22846,1
1888818,22849,7
1888818,22850,11
1888818,24951,6
1888818,25034,10
1888819,16935,1
1888819,17000,2
1888820,16997,10
1888820,16998,9
1888820,17000,2
1888820,17197,3
1888820,19383,11
1888820,20606,7
1888820,22846,1
1888820,22849,4
1888820,22850,5
1888820,24951,6
1888820,25034,8
1888821,16931,1
1888821,16941,4
1888821,19425,7
1888821,20544,8
1888821,21121,5
1888821,22814,9
1888821,22826,6
1888821,22834,2
1888821,22954,11
1888821,24273,3
1888821,24292,10
1888822,15860,9
1888822,16928,6
1888822,20548,8
1888822,22821,4
1888822,22822,2
1888822,24278,5
1888822,24280,3
1888822,24289,1
1888822,24295,7
1888823,10,1
1888823,17196,2
1888824,10,1
1888824,17196,2
1888825,16935,1
1888825,17000,2
1888826,16997,10
1888826,16998,9
1888826,17000,2
1888826,17197,3
1888826,19383,11
1888826,20606,7
1888826,22846,1
1888826,22849,4
1888826,22850,5
1888826,24951,6
1888826,25034,8
1888827,16935,1
1888827,17000,2
1888828,16997,10
1888828,16998,9
1888828,17000,2
1888828,17197,3
1888828,19383,11
1888828,20606,7
1888828,22846,1
1888828,22849,4
1888828,22850,5
1888828,24951,6
1888828,25034,8
1888829,10,1
1888829,17196,2
1888830,16935,1
1888830,17000,2
1888836,16935,1
1888836,17000,2
1888838,16935,1
1888838,17000,2
1888840,16935,1
1888840,17000,2
1888843,16935,1
1888843,17000,2
1888846,10,1
1888846,17196,2
1888848,10,1
1888848,17196,2
1888850,16935,1
1888850,17000,2
1888853,10,1
1888853,17196,2
1888855,16935,1
1888855,17000,2
1888858,10,1
1888858,17196,2
1888861,16935,1
1888861,17000,2
1888863,16935,1
1888863,17000,2
1888866,16935,1
1888866,17000,2
1888869,16935,1
1888869,17000,2
1888871,16997,9
1888871,16998,8
1888871,17000,2
1888871,17197,3
1888871,19383,10
1888871,20606,1
1888871,22846,11
1888871,22849,5
1888871,22850,6
1888871,24951,4
1888871,25034,7
1888877,10,3
1888877,37,9
1888877,104,4
1888877,125,19
1888877,812,10
1888877,11306,18
1888877,11797,16
1888877,15831,2
1888877,15837,23
1888877,16944,31
1888877,16946,12
1888877,16948,15
1888877,16951,27
1888877,16952,30
1888877,17196,32
1888877,17581,1
1888877,19245,11
1888877,19247,22
1888877,19248,26
1888877,19255,13
1888877,19258,6
1888877,19292,20
1888877,19382,14
1888877,20553,28
1888877,20611,21
1888877,22836,8
1888877,22844,24
1888877,22845,33
1888877,24150,5
1888877,24151,7
1888877,24152,17
1888877,24153,25
1888877,24154,29
1888879,10,1
1888879,17196,2
1888881,10,1
1888881,17196,2
1888883,10,1
1888883,17196,2
1888884,10,3
1888884,19,5
1888884,37,10
1888884,104,4
1888884,125,19
1888884,812,11
1888884,11306,18
1888884,11797,16
1888884,15831,2
1888884,15837,23
1888884,16944,31
1888884,16948,15
1888884,16951,27
1888884,16952,30
1888884,17196,32
1888884,17581,1
1888884,19245,12
1888884,19247,22
1888884,19248,26
1888884,19255,13
1888884,19258,7
1888884,19292,20
1888884,19382,14
1888884,20553,28
1888884,20611,21
1888884,22836,9
1888884,22844,24
1888884,22845,33
1888884,24150,6
1888884,24151,8
1888884,24152,17
1888884,24153,25
1888884,24154,29
1888885,10,1
1888885,17196,2
1888888,10,1
1888888,17196,2
1888890,10,1
1888890,17196,2
1888892,10,1
1888892,17196,2
1888894,10,3
1888894,19,5
1888894,37,10
1888894,104,4
1888894,125,20
1888894,812,11
1888894,11306,19
1888894,11797,17
1888894,15831,2
1888894,15837,24
1888894,16944,31
1888894,16946,13
1888894,16948,16
1888894,16951,28
1888894,17196,32
1888894,17581,1
1888894,19245,12
1888894,19247,23
1888894,19248,27
1888894,19255,14
1888894,19258,7
1888894,19292,21
1888894,19382,15
1888894,20553,29
1888894,20611,22
1888894,22836,9
1888894,22844,25
1888894,22845,33
1888894,24150,6
1888894,24151,8
1888894,24152,18
1888894,24153,26
1888894,24154,30
1888896,10,3
1888896,19,5
1888896,37,10
1888896,104,4
1888896,125,20
1888896,812,11
1888896,11306,19
1888896,11797,17
1888896,15831,2
1888896,15837,24
1888896,16944,31
1888896,16946,13
1888896,16948,16
1888896,16951,27
1888896,16952,30
1888896,17196,32
1888896,17581,1
1888896,19245,12
1888896,19247,23
1888896,19255,14
1888896,19258,7
1888896,19292,21
1888896,19382,15
1888896,20553,28
1888896,20611,22
1888896,22836,9
1888896,22844,25
1888896,22845,33
1888896,24150,6
1888896,24151,8
1888896,24152,18
1888896,24153,26
1888896,24154,29
1888898,10,3
1888898,19,5
1888898,37,10
1888898,104,4
1888898,812,11
1888898,11306,19
1888898,11797,17
1888898,15831,2
1888898,15837,23
1888898,16944,31
1888898,16946,13
1888898,16948,16
1888898,16951,27
1888898,16952,30
1888898,17196,32
1888898,17581,1
1888898,19245,12
1888898,19247,22
1888898,19248,26
1888898,19255,14
1888898,19258,7
1888898,19292,20
1888898,19382,15
1888898,20553,28
1888898,20611,21
1888898,22836,9
1888898,22844,24
1888898,22845,33
1888898,24150,6
1888898,24151,8
1888898,24152,18
1888898,24153,25
1888898,24154,29
1888899,19,4
1888899,37,9
1888899,104,3
1888899,125,19
1888899,812,10
1888899,11306,18
1888899,11797,16
1888899,15831,2
1888899,15837,23
