bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1845498,2926027,text,4503,text/html,Introduced,https://legiscan.com/WV/text/HB4001/id/2926027,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb4001%20intr.htm&yr=2024&sesstype=RS&i=4001
1845353,2925890,text,4540,text/html,Introduced,https://legiscan.com/WV/text/HB4002/id/2925890,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb4002%20intr.htm&yr=2024&sesstype=RS&i=4002
1845476,2926006,text,14294,text/html,Introduced,https://legiscan.com/WV/text/HB4003/id/2926006,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb4003%20intr.htm&yr=2024&sesstype=RS&i=4003
1845390,2925925,text,6484,text/html,Introduced,https://legiscan.com/WV/text/HB4004/id/2925925,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb4004%20intr.htm&yr=2024&sesstype=RS&i=4004
1845361,2925898,text,9805,text/html,Introduced,https://legiscan.com/WV/text/HB4005/id/2925898,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb4005%20intr.htm&yr=2024&sesstype=RS&i=4005
1845442,2925974,text,41266,text/html,Introduced,https://legiscan.com/WV/text/HB4006/id/2925974,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb4006%20intr.htm&yr=2024&sesstype=RS&i=4006
1845492,2926021,text,18304,text/html,Introduced,https://legiscan.com/WV/text/HB4007/id/2926021,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb4007%20intr.htm&yr=2024&sesstype=RS&i=4007
1845480,2926010,text,8730,text/html,Introduced,https://legiscan.com/WV/text/HB4008/id/2926010,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb4008%20intr.htm&yr=2024&sesstype=RS&i=4008
1845480,2933829,text,8840,text/html,"Comm Sub",https://legiscan.com/WV/text/HB4008/id/2933829,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb4008%20sub.htm&yr=2024&sesstype=RS&i=4008
1845322,2925862,text,25503,text/html,Introduced,https://legiscan.com/WV/text/HB4009/id/2925862,http://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=hb4009%20intr.htm&yr=2024&sesstype=RS&i=4009
