bill_id,people_id,position
1808597,20550,1
1808598,17000,1
1808599,22824,1
1808600,22870,1
1808602,19,4
1808602,17196,1
1808602,19255,5
1808602,24150,2
1808602,24151,3
1808603,19,14
1808603,37,1
1808603,104,2
1808603,812,3
1808603,11306,6
1808603,11797,4
1808603,19245,16
1808603,19247,9
1808603,19248,10
1808603,19292,7
1808603,20553,11
1808603,20611,8
1808603,22845,12
1808603,24151,13
1808603,24152,5
1808603,24153,15
1808604,22824,1
1808606,22826,1
1808607,22870,1
1808608,22807,1
1808610,22870,1
1808612,37,3
1808612,812,4
1808612,11306,6
1808612,19245,12
1808612,19247,1
1808612,19248,8
1808612,20553,9
1808612,20611,7
1808612,22845,10
1808612,24150,11
1808612,24151,2
1808612,24152,5
1808613,22826,1
1808615,22845,1
1808616,22870,1
1808617,22845,1
1808618,22845,1
1808621,19272,3
1808621,23025,1
1808621,24288,2
1808622,16998,1
1808625,22845,1
1808627,22845,1
1808629,22870,1
1808630,22845,1
1808632,22824,1
1808633,22870,1
1808635,22870,1
1808637,37,12
1808637,104,2
1808637,11306,6
1808637,16944,1
1808637,16952,13
1808637,19245,16
1808637,19247,8
1808637,19248,9
1808637,20553,10
1808637,20611,7
1808637,22836,15
1808637,22845,11
1808637,24150,3
1808637,24151,4
1808637,24152,5
1808637,24153,14
1808638,10,4
1808638,19,11
1808638,37,17
1808638,125,24
1808638,812,18
1808638,11306,7
1808638,11797,9
1808638,15831,15
1808638,15837,8
1808638,16944,32
1808638,16946,19
1808638,16948,22
1808638,16951,28
1808638,16952,31
1808638,17196,13
1808638,17581,14
1808638,19245,10
1808638,19247,1
1808638,19248,6
1808638,19255,20
1808638,19258,16
1808638,19292,25
1808638,19382,21
1808638,20553,29
1808638,20611,12
1808638,22836,2
1808638,22844,26
1808638,22845,33
1808638,24150,3
1808638,24151,5
1808638,24152,23
1808638,24153,27
1808638,24154,30
1808639,22824,1
1808641,22870,1
1808642,16946,3
1808642,17581,1
1808642,19248,2
1808642,20553,4
1808643,22807,2
1808643,22846,1
1808646,22815,1
1808649,19,13
1808649,37,7
1808649,125,15
1808649,11306,2
1808649,11797,6
1808649,15837,14
1808649,16952,12
1808649,19245,1
1808649,19247,9
1808649,19248,4
1808649,19258,8
1808649,20611,5
1808649,22845,10
1808649,24151,11
1808649,24152,3
1808650,22824,1
1808651,37,7
1808651,812,3
1808651,19248,5
1808651,20553,6
1808651,24150,1
1808651,24151,2
1808651,24152,4
1808653,22846,1
1808655,16998,1
1808657,22845,1
1808659,22845,1
1808660,22845,1
1808661,19253,1
1808664,16998,1
1808665,22824,1
1808666,20550,1
1808667,22846,1
1808669,10,4
1808669,19,6
1808669,37,10
1808669,104,5
1808669,125,20
1808669,812,11
1808669,11306,19
1808669,11797,17
1808669,15831,3
1808669,15837,24
1808669,16944,32
1808669,16946,13
1808669,16948,16
1808669,16951,28
1808669,16952,31
1808669,17196,33
1808669,17581,2
1808669,19245,12
1808669,19247,23
1808669,19248,27
1808669,19255,14
1808669,19258,7
1808669,19292,21
1808669,19382,15
1808669,20553,29
1808669,20611,22
1808669,22836,9
1808669,22844,25
1808669,22845,34
1808669,24150,1
1808669,24151,8
1808669,24152,18
1808669,24153,26
1808669,24154,30
1808670,11206,1
1808670,21121,7
1808670,21395,5
1808670,22806,4
1808670,22815,6
1808670,22818,3
1808670,23025,2
1808670,24073,11
1808670,24074,8
1808670,24273,9
1808670,25036,10
1808671,826,1
1808673,37,6
1808673,11306,3
1808673,19247,1
1808673,19248,5
1808673,20611,4
1808673,24152,2
1808676,22823,1
1808677,22870,1
1808680,22824,1
1808681,22845,1
1808683,22846,1
1808685,22807,3
1808685,22814,1
1808685,22846,2
1808687,22870,1
1808689,22824,1
1808691,22824,1
1808693,24482,1
1808694,22824,1
1808695,20550,1
1808699,22824,1
1808700,16998,1
1808701,22845,1
1808703,22845,1
1808705,15833,5
1808705,16940,3
1808705,16941,1
1808705,20552,4
1808705,22826,2
1808706,22870,1
1808708,11207,2
1808708,22807,1
1808709,22824,1
1808711,22870,1
1808713,22845,1
1808714,22824,1
1808716,22824,1
1808717,11592,1
1808721,37,3
1808721,11306,5
1808721,11797,14
1808721,19245,11
1808721,19247,7
1808721,19248,8
1808721,19292,6
1808721,20553,9
1808721,20611,1
1808721,22836,12
1808721,22845,10
1808721,24151,2
1808721,24152,4
1808721,24154,13
1808723,22845,1
1808724,22824,1
1808726,22826,1
1808728,22824,1
1808729,22845,1
1808732,22846,1
1808734,22870,1
1808736,22870,1
1808738,16997,1
1808739,37,1
1808739,15837,2
1808739,16952,9
1808739,19245,10
1808739,19247,7
1808739,19248,6
1808739,22845,8
1808739,24151,5
1808739,24152,4
1808739,24154,3
1808740,22870,1
1808742,17000,1
1808743,19670,1
1808743,24284,2
1808744,22870,1
1808745,20548,1
1808747,11306,1
1808747,19245,4
1808747,19255,6
1808747,22845,5
1808747,24151,2
1808747,24153,3
1808748,11207,3
1808748,19670,1
1808748,24272,2
1808749,22824,1
1808754,22824,1
1808756,22870,1
1808757,22870,1
1808759,22870,1
1808760,20550,1
1808763,22812,3
1808763,22824,1
1808763,22846,2
1808766,22845,1
1808767,22811,1
1808768,20550,1
1808769,22824,1
1808772,22870,1
1808773,22870,1
1808774,22870,1
1808776,22833,1
1808776,24272,2
1808778,22814,1
1808778,22818,3
1808778,22820,2
1808778,24292,4
1808779,11207,7
1808779,15860,1
1808779,22818,9
1808779,22820,8
1808779,22822,6
1808779,22823,5
1808779,22824,10
1808779,23025,4
1808779,24276,2
1808779,24280,3
1808779,25124,11
1808781,20550,1
1808782,16944,1
1808782,16952,3
1808782,19247,4
1808782,24151,2
1808784,22870,1
1808787,16998,1
1808790,22870,1
1808792,22870,1
1808794,15908,1
