bill_number,session,primary_sponsor,cosponsors,status,chapter_num,shortTitle,title,bill_url
HB0001,2024-RS,Appropriations,,enrolled,CH0118,General government appropriations.,"AN ACT to make appropriations for the fiscal biennium commencing July 1, 2024 and ending June 30, 2026; providing definitions; providing for appropriations and transfers of funds for the period of the budget and for the remainder of the current biennium ending June 30, 2024 as specified; providing for carryover of certain funds beyond the biennium as specified; providing for employee positions as specified; providing for duties, terms and conditions and other requirements relating to appropriations for the remainder of the current biennium ending June 30, 2024 and the period of the budget as specified; providing for position and other budgetary limitations; authorizing rulemaking; authorizing a charter school; providing appropriations for purposes related to state funded capital construction; creating accounts; amending existing law by redirecting revenues for the period of the budget; making conforming amendments; amending and repealing prior appropriations; providing for reports related to appropriations; continuing an account; amending and repealing prior appropriations of COVID-19 relief funds; specifying conditions on the appropriation and expenditure of COVID-19 relief funds; and providing for effective dates.",https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0001
HB0002,2024-RS,Travel,,inactive,,Nonresident fishing license fee increase.,AN ACT relating to game and fish; increasing nonresident fishing license fees; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0002
HB0003,2024-RS,Revenue,,enrolled,CH0106,Property tax exemption for long-term homeowners.,AN ACT relating to taxation; establishing a tax exemption for long-term homeowners; providing a penalty for false claims; providing a sunset date; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0003
HB0004,2024-RS,Revenue,,enrolled,CH0109,Property tax refund program.,AN ACT relating to property tax; amending qualifications for the property tax refund program; amending qualifications for the county optional property tax refund program; amending the maximum refund under the property tax refund program; requiring audits; providing appropriations; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0004
HB0005,2024-RS,Labor,,inactive,,Behavioral health redesign amendments.,AN ACT relating to public health and safety; requiring the department of health to pay behavioral health services claims as specified; requiring the department of health to collect information regarding payment of behavioral health services claims; requiring a report; amending definitions; providing a sunset date; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0005
HB0006,2024-RS,Transportation,,inactive,,Light and high profile vehicle closures.,AN ACT relating to highways; creating a penalty for violating signs and markers for closures to light and high profile vehicles; requiring fines imposed to be paid by the driver of the vehicle at the time of the violation; specifying that a violation of a closure to light and high profile vehicles disqualifies a person from driving a commercial vehicle as specified; providing that a violation of a closure to light and high profile vehicles may result in a mandatory revocation or suspension of a license or nonresident operating privilege as specified; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0006
HB0007,2024-RS,Transportation,,inactive,,Alternative fuel tax-electricity amendments.,AN ACT relating to taxation and revenue; amending the collection of and process for alternative fuel taxes; providing a per kilowatt hour license tax on electricity used to propel an electric vehicle; amending the taxation method for alternative fuel tax; amending and providing definitions; imposing an annual decal fee for plug-in hybrid vehicles; making conforming amendments; repealing obsolete provisions; requiring rulemaking; and providing for effective dates.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0007
HB0008,2024-RS,Transportation,,enrolled,CH0021,Commercial driver license-hazardous materials endorsement.,AN ACT relating to motor vehicles; specifying that a driver who has attained eighteen (18) years of age may receive a hazardous materials endorsement for a commercial driver's license; requiring rulemaking; and providing for effective dates.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0008
HB0009,2024-RS,Transportation,,enrolled,CH0040,Fuel tax-licensee information deadline.,AN ACT relating to taxation and revenue; amending the deadline for providing fuel tax return and license information when requested by the department of transportation; specifying applicability; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0009
HB0010,2024-RS,Agriculture,,enrolled,CH0013,Grace period-state land lease renewals.,AN ACT relating to state lands; authorizing the director of the office of state lands and investments to grant state land lessees additional time to renew their leases; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0010
HB0011,2024-RS,Agriculture,,enrolled,CH0014,State land lease amendments.,AN ACT relating to state lands; removing specific types of payments for land lease payments; amending the process for how state land lease payments are made; providing that state land lease renewals and rental payments are considered filed on the date the renewal or rental is postmarked; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0011
HB0012,2024-RS,Agriculture,,enrolled,CH0026,Wyoming dairy marketing act-repeal.,"AN ACT relating to agriculture, livestock and other animals; repealing the Wyoming Dairy Marketing Act of 1971; and providing for an effective date.",https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0012
HB0013,2024-RS,Agriculture,,enrolled,CH0025,Flow-through pools-exemption.,AN ACT relating to public health and safety; exempting flow-through pools from the public pool and spa health and safety act; providing definitions; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0013
HB0014,2024-RS,Labor,,enrolled,CH0019,Prior authorization regulations.,AN ACT relating to the insurance code; requiring health insurers and contracted utilization review entities to follow prior authorization regulations as specified; providing definitions; requiring rulemaking; and providing for effective dates.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0014
HB0015,2024-RS,Labor,,enrolled,CH0030,Health insurance-reimbursement of overpayments.,AN ACT relating to health insurance; specifying a time limit to seek reimbursement for health insurance overpayments; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0015
HB0016,2024-RS,Travel,,enrolled,CH0012,Sutton state archaeological site-legal description.,AN ACT relating to state lands; removing an inconsistent legal description of the Sutton state archaeological site; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0016
HB0017,2024-RS,Travel,,inactive,,Fishing outfitters and guides-registration of fishing boats.,"AN ACT relating to game and fish; authorizing the Wyoming game and fish commission to regulate commercially guided fishing boats; providing for registration of commercially guided fishing boats, vehicles and trailers operated by outfitters and professional fishing guides; providing definitions; providing rulemaking authority; and providing for an effective date.",https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0017
HB0018,2024-RS,Revenue,,inactive,,Property tax-inflation cap.,AN ACT relating to ad valorem taxation; limiting the maximum annual taxable value increase for residential property; striking obsolete language; and providing for a contingent effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0018
HB0019,2024-RS,Education,,inactive,,Education savings accounts.,AN ACT relating to education; authorizing education savings accounts; creating the Wyoming education savings accounts expenditure account; providing for a transfer of funds to the Wyoming education savings accounts expenditure account; providing for the use and administration of education savings accounts for education; specifying duties of the state superintendent of public instruction; providing rulemaking authority; making conforming amendments; providing appropriations; authorizing full-time positions; and providing for effective dates.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/HB0019
