bill_id,term,session,title,shortTitle,commem
HB0001,2023_2024,2023-RS,"AN ACT relating to supplemental appropriations for the operation of state government for the fiscal biennium commencing July 1, 2022 and ending June 30, 2024; providing definitions; providing for additional appropriations and transfers of funds for the period of the budget; increasing or decreasing specified amounts; adjusting the number of positions; modifying prior appropriations; providing for duties, terms and conditions and other requirements relating to appropriations for the period of the budget as specified; providing for position and other budgetary limitations; amending existing law by redirecting revenues and making transfers for the period of the budget; providing for carryover of funds beyond the fiscal biennium; and providing for an effective date.",General government appropriations,0
HB0002,2023_2024,2023-RS,AN ACT relating to cities and towns; providing that elected and appointed officers may elect not to receive a salary or compensation while serving as elected or appointed officers; providing legislative intent; and providing for an effective date.,Town officers-salary waiver,0
HB0003,2023_2024,2023-RS,AN ACT relating to ad valorem taxation; clarifying that the state is responsible for the valuation and assessment of independent power producer property; requiring the release of information to the county assessor; providing for confidentiality of the valuation and assessment of independent power producer property; requiring an agreement for disclosure; and providing for an effective date.,State assessment of independent power producers,0
HB0004,2023_2024,2023-RS,AN ACT relating to medical assistance and services; temporarily extending Medicaid medical assistance to qualifying pregnant women for twelve (12) months postpartum; making a conforming amendment; providing an appropriation; requiring rulemaking; and providing for effective dates.,Medicaid twelve month postpartum coverage,0
HB0005,2023_2024,2023-RS,"AN ACT relating to elections; amending the definition of registry list to include voter identification numbers, absentee ballot status and registration dates; making conforming amendments; and providing for an effective date.",Voter registry list-voter ID and absentee ballots,0
HB0006,2023_2024,2023-RS,AN ACT relating to elections; clarifying that specified election records are not subject to disclosure under the Wyoming Public Records Act; and providing for an effective date.,Specified election records not subject to disclosure,0
HB0007,2023_2024,2023-RS,AN ACT relating to domestic relations; amending the minimum marriageable age; specifying that marriages involving persons under age sixteen (16) are void; making conforming amendments; specifying applicability; and providing for an effective date.,Underage marriage-amendments,0
HB0008,2023_2024,2023-RS,AN ACT relating to medical assistance and services; authorizing the department of health to pursue an upper payment limit supplemental payment program for the benefit of psychiatric residential treatment facilities; authorizing appropriations; and providing for an effective date.,Upper payment limit authorization,0
HB0009,2023_2024,2023-RS,AN ACT relating to juveniles; clarifying that the juvenile court has concurrent jurisdiction over Juvenile Justice Act proceedings involving persons under the age of 21 who are alleged to have committed offenses or delinquent acts as minors; and providing for an effective date.,Juvenile courts-concurrent jurisdiction clarification,0
HB0010,2023_2024,2023-RS,AN ACT relating to county officers; increasing the amount of the bond that county officers are required to give as specified; eliminating a requirement for multiple sureties for county officers; specifying applicability; and providing for an effective date.,County officers-bond amounts and surety requirement,0
HB0011,2023_2024,2023-RS,AN ACT relating to retirement; providing for full-time state park ranger participation in the law enforcement plan under the Wyoming Retirement Act; making conforming amendments; authorizing election by current full-time state park rangers; specifying implementation; and providing for an effective date.,State park rangers-retirement,0
HB0012,2023_2024,2023-RS,AN ACT relating to child support; amending the presumptive child support amounts; and providing for an effective date.,Presumptive child support amounts-updated tables,0
HB0013,2023_2024,2023-RS,"AN ACT relating to children; clarifying the duties, powers, and authority of the office of guardian ad litem by amending references from the guardian ad litem program to the office of guardian ad litem; specifying applicability; and providing for an effective date.",Office of guardian ad litem-program references,0
HB0014,2023_2024,2023-RS,AN ACT relating to courts; increasing the original filing fee required for commencing or filing civil matters in district court; providing appropriations; and providing for an effective date.,Civil case filing fees-amendments,0
HB0015,2023_2024,2023-RS,"AN ACT relating to counties; clarifying that boards of county commissioners do not have authority to dissolve archaeological, geological and historical museums under their general authority to dissolve county-created boards and commissions; and providing for an effective date.",County authority to dissolve museum boards-clarification,0
HB0016,2023_2024,2023-RS,AN ACT relating to state lands; increasing the monetary threshold for improvements to leased state lands that do not require permission of the director of the office of state lands; replacing the standard to determine payment for the use and benefit of improvements; and providing for an effective date.,State land leasing-improvements,0
HB0017,2023_2024,2023-RS,"AN ACT relating to state lands; providing for lessees of state lands to graze livestock they do not own, but for which they retain management responsibility, on leased lands without obtaining permission from the director of the office of state lands and investments; and providing for an effective date.",State lands-grazing of non-owned livestock,0
HB0018,2023_2024,2023-RS,"AN ACT relating to missing person alert systems; amending duties for the office of homeland security and highway patrol for emergency alert communications networks; amending state cooperation with federal, tribal and local law enforcement for alert systems; providing a definition; and providing for an effective date.",Missing person alert systems,0
HB0019,2023_2024,2023-RS,AN ACT relating to children; creating the state Indian Child Welfare Act task force; specifying members and duties of the task force; requiring a report; providing a termination date for the task force; providing appropriations; and providing for an effective date.,State Indian Child Welfare Act Task Force,0
HB0020,2023_2024,2023-RS,AN ACT relating to state lands; requiring notice and opportunity to comment before completing an exchange; specifying applicability; and providing for an effective date.,Land exchanges-notice,0
HB0021,2023_2024,2023-RS,AN ACT relating to state lands; requiring an applicant to have actual and necessary use of state lands to be qualified to lease state lands; making conforming amendments; and providing for an effective date.,State lands-use of land qualification requirements,0
HB0022,2023_2024,2023-RS,AN ACT relating to state lands; providing for notification of noncompliance in a state land lease renewal; providing opportunities for compliance; conforming time frames for lessee compliance; and providing for an effective date.,State land lease deficiencies-cure process,0
HB0023,2023_2024,2023-RS,AN ACT relating to public health and safety; amending the requirements for issuance of a burial-transit permit; authorizing the issuance of a temporary burial-transit permit under specified circumstances; amending a definition; amending the requirements for issuance of a permit for disinterment and reinterment; and providing for an effective date.,Burial-transit permit amendments,0
HB0024,2023_2024,2023-RS,AN ACT relating to the administration of government; amending performance compensation payment limits for senior analysts and analysts employed by the state treasurer and the Wyoming retirement system; authorizing relocation expenses for investment staff hired by the state treasurer and the Wyoming retirement system; establishing maximum compensation amounts for investment staff employed by the state treasurer and the Wyoming retirement system; providing appropriations; and providing for an effective date.,State investments-compensation and relocation amendments,0
HB0025,2023_2024,2023-RS,AN ACT relating to public funds; revising distribution of funds from the school major maintenance subaccount within the strategic investments and projects account and the school lands mineral royalties account to the school capital construction account as specified; clarifying the timing of transfers from the strategic investments and projects account; and providing for an effective date.,School capital construction-transfers and distributions,0
HB0026,2023_2024,2023-RS,AN ACT relating to appropriations for K-12 school facilities; modifying the required budget recommendation from the select committee on school facilities; clarifying the legislature's ability to appropriate one (1) sum for design and construction for each project; clarifying reporting requirements; and providing for an effective date.,School facilities-appropriations,0
HB0027,2023_2024,2023-RS,AN ACT relating to the consolidated school facility remediation schedule for public schools; eliminating the consolidated remediation index and associated rulemaking authority; and providing for an effective date.,School facilities-consolidated remediation schedule,0
HB0028,2023_2024,2023-RS,AN ACT relating to the duties of the Wyoming community college commission; increasing the minimum estimated cost of community college capital construction projects which require approval of the community college commission; and providing for an effective date.,Community college capital construction,0
HB0029,2023_2024,2023-RS,AN ACT relating to community college funding; modifying the definition of distance education for community colleges; eliminating the full-time weighted equivalency for distance education class credit hours for calculations in the community college funding allocation model; and providing for an effective date.,Community college funding-distance education credit hours,0
HB0030,2023_2024,2023-RS,AN ACT relating to the Wyoming's tomorrow scholarship program; modifying the transfer of funds from the Wyoming's tomorrow scholarship expenditure account to the Wyoming's tomorrow scholarship endowment fund; modifying the calculation of the average market value of the Wyoming's tomorrow scholarship endowment fund as specified; transferring funds as specified; and providing for an effective date.,Wyoming's tomorrow scholarship program amendments,0
HB0031,2023_2024,2023-RS,AN ACT relating to education; authorizing a board of cooperative educational services to act as a local education agency for the purpose of applying for and receiving state and federal grants; authorizing rulemaking; making conforming amendments; and providing for an effective date.,BOCES as local education agencies,0
HB0032,2023_2024,2023-RS,AN ACT relating to education; providing for a reauthorization of the adult education mill levy; clarifying the maximum mill levies school districts and community college districts may levy for board of cooperative services agreements; making conforming amendments; and providing for an effective date.,Education mill levy amendments,0
HB0033,2023_2024,2023-RS,"AN ACT relating to school finance; establishing competitive grants for public schools to purchase career and technical education supplies, materials and equipment; requiring rulemaking; requiring reporting; making conforming amendments; appropriating funds; and providing for an effective date.",School finance-career technical education grants,0
HB0034,2023_2024,2023-RS,AN ACT relating to school finance; creating a program for school districts to apply for competitive grants to assist in providing mental health services to K-12 public education students for two (2) years; providing an appropriation; requiring reporting; and providing for an effective date.,School finance-mental health services,0
HB0035,2023_2024,2023-RS,AN ACT relating to child care facilities; providing an exception to child care facility certification for specified part-time day-care facilities; requiring rulemaking; and providing for effective dates.,Day-care certification requirement amendments,0
HB0036,2023_2024,2023-RS,AN ACT relating to defense forces and affairs; modifying references to federal uniformed services to include the space force; and providing for an effective date.,Space force amendments,0
HB0037,2023_2024,2023-RS,AN ACT relating to administration of the government; requiring telecommunicator cardiopulmonary resuscitation training for dispatchers as specified; requiring the peace officer standards and training commission to amend its standards and rules; and providing for effective dates.,Telecommunicator cardiopulmonary resuscitation,0
HB0038,2023_2024,2023-RS,AN ACT relating to defense forces and affairs; creating the Wyoming national guard member referral incentive program; authorizing monetary incentive bonus payments as specified; providing definitions; requiring an annual report; providing a sunset date for the program; providing an appropriation; and providing for an effective date.,Wyoming national guard member referral,0
HB0039,2023_2024,2023-RS,AN ACT relating to motor vehicles; authorizing the department of transportation to accept specified documentation to verify honorable discharge of a veteran for the veteran designation on a Wyoming driver's license; amending the veteran designation on a Wyoming driver's license; and providing for an effective date.,Verifying the veteran designation on a WY driver's license,0
HB0040,2023_2024,2023-RS,AN ACT relating to aeronautics; authorizing counties and municipalities to establish airport districts; specifying requirements; specifying duties and powers of airport districts; specifying duties of municipalities and counties; authorizing assessments; authorizing the airport district to issue bonds and incur debt as specified; authorizing distribution from fuel taxes to airport districts; requiring cooperation from the aeronautics commission with airport districts and joint powers boards; making conforming amendments; and providing for an effective date.,Airport districts,0
