bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1673024,1999,HB0001,5,Vetoed,2023-02-24,"General government appropriations.","AN ACT relating to supplemental appropriations for the operation of state government for the fiscal biennium commencing July 1, 2022 and ending June 30, 2024; providing definitions; providing for additional appropriations and transfers of funds for the period of the budget; increasing or decreasing specified amounts; adjusting the number of positions; modifying prior appropriations; providing for duties, terms and conditions and other requirements relating to appropriations for the period of the budget as specified; providing for position and other budgetary limitations; amending existing law by redirecting revenues and making transfers for the period of the budget; providing for carryover of funds beyond the fiscal biennium; and providing for an effective date.",0,,2023-02-24,"Veto Message Received",https://legiscan.com/WY/bill/HB0001/2023,https://www.wyoleg.gov/Legislation/2023/HB0001
1634356,1999,HB0002,4,Passed,2023-03-02,"Town officers-salary waiver.","AN ACT relating to cities and towns; providing that elected and appointed officers may elect not to receive a salary or compensation while serving as elected or appointed officers; providing legislative intent; and providing for an effective date.",0,,2023-03-02,"Assigned Chapter Number 138",https://legiscan.com/WY/bill/HB0002/2023,https://www.wyoleg.gov/Legislation/2023/HB0002
1634355,1999,HB0003,6,Failed,2023-02-27,"State assessment of independent power producers.","AN ACT relating to ad valorem taxation; clarifying that the state is responsible for the valuation and assessment of independent power producer property; requiring the release of information to the county assessor; providing for confidentiality of the valuation and assessment of independent power producer property; requiring an agreement for disclosure; and providing for an effective date.",0,,2023-02-27,"COW:S Did not consider for COW",https://legiscan.com/WY/bill/HB0003/2023,https://www.wyoleg.gov/Legislation/2023/HB0003
1634357,1999,HB0004,4,Passed,2023-03-03,"Medicaid twelve month postpartum coverage.","AN ACT relating to medical assistance and services; temporarily extending Medicaid medical assistance to qualifying pregnant women for twelve (12) months postpartum; making a conforming amendment; providing an appropriation; requiring rulemaking; and providing for effective dates.",0,,2023-03-03,"Assigned Chapter Number 152",https://legiscan.com/WY/bill/HB0004/2023,https://www.wyoleg.gov/Legislation/2023/HB0004
1634409,1999,HB0005,4,Passed,2023-02-21,"Voter registry list-voter ID and absentee ballots.","AN ACT relating to elections; amending the definition of registry list to include voter identification numbers, absentee ballot status and registration dates; making conforming amendments; and providing for an effective date.",0,,2023-02-21,"Assigned Chapter Number 67",https://legiscan.com/WY/bill/HB0005/2023,https://www.wyoleg.gov/Legislation/2023/HB0005
1634404,1999,HB0006,6,Failed,2023-02-07,"Specified election records not subject to disclosure.","AN ACT relating to elections; clarifying that specified election records are not subject to disclosure under the Wyoming Public Records Act; and providing for an effective date.",0,,2023-02-07,"H:Died in Committee Returned Bill Pursuant to HR 5-4",https://legiscan.com/WY/bill/HB0006/2023,https://www.wyoleg.gov/Legislation/2023/HB0006
1634414,1999,HB0007,4,Passed,2023-02-23,"Underage marriage-amendments.","AN ACT relating to domestic relations; amending the minimum marriageable age; specifying that marriages involving persons under age sixteen (16) are void; making conforming amendments; specifying applicability; and providing for an effective date.",0,,2023-02-23,"Assigned Chapter Number 73",https://legiscan.com/WY/bill/HB0007/2023,https://www.wyoleg.gov/Legislation/2023/HB0007
1634467,1999,HB0008,6,Failed,2023-02-07,"Upper payment limit authorization.","AN ACT relating to medical assistance and services; authorizing the department of health to pursue an upper payment limit supplemental payment program for the benefit  of psychiatric residential treatment facilities; authorizing appropriations; and providing for an effective date.",0,,2023-02-07,"H:Died in Committee Returned Bill Pursuant to HR 5-4",https://legiscan.com/WY/bill/HB0008/2023,https://www.wyoleg.gov/Legislation/2023/HB0008
1635259,1999,HB0009,4,Passed,2023-03-02,"Juvenile courts-concurrent jurisdiction clarification.","AN ACT relating to juveniles; clarifying that the juvenile court has concurrent jurisdiction over Juvenile Justice Act proceedings involving persons under the age of 21 who are alleged to have committed offenses or delinquent acts as minors; and providing for an effective date.",0,,2023-03-02,"Assigned Chapter Number 150",https://legiscan.com/WY/bill/HB0009/2023,https://www.wyoleg.gov/Legislation/2023/HB0009
1635272,1999,HB0010,4,Passed,2023-02-15,"County officers-bond amounts and surety requirement.","AN ACT relating to county officers; increasing the amount of the bond that county officers are required to give as specified; eliminating a requirement for multiple sureties for county officers; specifying applicability; and providing for an effective date.",0,,2023-02-15,"Assigned Chapter Number 13",https://legiscan.com/WY/bill/HB0010/2023,https://www.wyoleg.gov/Legislation/2023/HB0010
