bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1673024,2655186,text,269232,application/pdf,Introduced,https://legiscan.com/WY/text/HB0001/id/2655186,https://www.wyoleg.gov/2023/Introduced/HB0001.pdf
1673024,2710924,text,248048,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0001/id/2710924,https://www.wyoleg.gov/2023/Enroll/HB0001.pdf
1634356,2614731,text,11409,application/pdf,Introduced,https://legiscan.com/WY/text/HB0002/id/2614731,https://www.wyoleg.gov/2023/Introduced/HB0002.pdf
1634356,2664169,text,12234,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0002/id/2664169,https://www.wyoleg.gov/2023/Engross/HB0002.pdf
1634356,2719713,text,11473,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0002/id/2719713,https://www.wyoleg.gov/2023/Enroll/HB0002.pdf
1634355,2614730,text,11573,application/pdf,Introduced,https://legiscan.com/WY/text/HB0003/id/2614730,https://www.wyoleg.gov/2023/Introduced/HB0003.pdf
1634355,2652736,text,11449,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0003/id/2652736,https://www.wyoleg.gov/2023/Engross/HB0003.pdf
1634357,2614732,text,12137,application/pdf,Introduced,https://legiscan.com/WY/text/HB0004/id/2614732,https://www.wyoleg.gov/2023/Introduced/HB0004.pdf
1634357,2689444,text,12195,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0004/id/2689444,https://www.wyoleg.gov/2023/Engross/HB0004.pdf
1634357,2723914,text,11263,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0004/id/2723914,https://www.wyoleg.gov/2023/Enroll/HB0004.pdf
1634409,2614813,text,13131,application/pdf,Introduced,https://legiscan.com/WY/text/HB0005/id/2614813,https://www.wyoleg.gov/2023/Introduced/HB0005.pdf
1634409,2644412,text,13283,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0005/id/2644412,https://www.wyoleg.gov/2023/Engross/HB0005.pdf
1634409,2701471,text,11572,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0005/id/2701471,https://www.wyoleg.gov/2023/Enroll/HB0005.pdf
1634404,2614808,text,10203,application/pdf,Introduced,https://legiscan.com/WY/text/HB0006/id/2614808,https://www.wyoleg.gov/2023/Introduced/HB0006.pdf
1634414,2614818,text,16386,application/pdf,Introduced,https://legiscan.com/WY/text/HB0007/id/2614818,https://www.wyoleg.gov/2023/Introduced/HB0007.pdf
1634414,2655364,text,16683,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0007/id/2655364,https://www.wyoleg.gov/2023/Engross/HB0007.pdf
1634414,2707188,text,15485,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0007/id/2707188,https://www.wyoleg.gov/2023/Enroll/HB0007.pdf
1634467,2614892,text,11627,application/pdf,Introduced,https://legiscan.com/WY/text/HB0008/id/2614892,https://www.wyoleg.gov/2023/Introduced/HB0008.pdf
1635259,2615288,text,9707,application/pdf,Introduced,https://legiscan.com/WY/text/HB0009/id/2615288,https://www.wyoleg.gov/2023/Introduced/HB0009.pdf
1635259,2641894,text,9834,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0009/id/2641894,https://www.wyoleg.gov/2023/Engross/HB0009.pdf
1635259,2717805,text,8880,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0009/id/2717805,https://www.wyoleg.gov/2023/Enroll/HB0009.pdf
1635272,2615299,text,15768,application/pdf,Introduced,https://legiscan.com/WY/text/HB0010/id/2615299,https://www.wyoleg.gov/2023/Introduced/HB0010.pdf
1635272,2661347,text,15838,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0010/id/2661347,https://www.wyoleg.gov/2023/Engross/HB0010.pdf
1635272,2691333,text,13828,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0010/id/2691333,https://www.wyoleg.gov/2023/Enroll/HB0010.pdf
1635265,2615293,text,13309,application/pdf,Introduced,https://legiscan.com/WY/text/HB0011/id/2615293,https://www.wyoleg.gov/2023/Introduced/HB0011.pdf
1635265,2719701,text,11663,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0011/id/2719701,https://www.wyoleg.gov/2023/Enroll/HB0011.pdf
1635275,2615302,text,25410,application/pdf,Introduced,https://legiscan.com/WY/text/HB0012/id/2615302,https://www.wyoleg.gov/2023/Introduced/HB0012.pdf
1635275,2691356,text,20928,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0012/id/2691356,https://www.wyoleg.gov/2023/Enroll/HB0012.pdf
1635269,2615297,text,22655,application/pdf,Introduced,https://legiscan.com/WY/text/HB0013/id/2615297,https://www.wyoleg.gov/2023/Introduced/HB0013.pdf
1635269,2701425,text,28640,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0013/id/2701425,https://www.wyoleg.gov/2023/Enroll/HB0013.pdf
1635261,2615290,text,10055,application/pdf,Introduced,https://legiscan.com/WY/text/HB0014/id/2615290,https://www.wyoleg.gov/2023/Introduced/HB0014.pdf
1635261,2725573,text,9792,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0014/id/2725573,https://www.wyoleg.gov/2023/Enroll/HB0014.pdf
1635279,2615305,text,9565,application/pdf,Introduced,https://legiscan.com/WY/text/HB0015/id/2615305,https://www.wyoleg.gov/2023/Introduced/HB0015.pdf
1635279,2701402,text,8788,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0015/id/2701402,https://www.wyoleg.gov/2023/Enroll/HB0015.pdf
1635299,2615462,text,16254,application/pdf,Introduced,https://legiscan.com/WY/text/HB0016/id/2615462,https://www.wyoleg.gov/2023/Introduced/HB0016.pdf
1635299,2645137,text,19188,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0016/id/2645137,https://www.wyoleg.gov/2023/Engross/HB0016.pdf
1635299,2714313,text,17398,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0016/id/2714313,https://www.wyoleg.gov/2023/Enroll/HB0016.pdf
1635303,2615466,text,10492,application/pdf,Introduced,https://legiscan.com/WY/text/HB0017/id/2615466,https://www.wyoleg.gov/2023/Introduced/HB0017.pdf
1635303,2645186,text,10602,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0017/id/2645186,https://www.wyoleg.gov/2023/Engross/HB0017.pdf
1635303,2721328,text,12380,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0017/id/2721328,https://www.wyoleg.gov/2023/Enroll/HB0017.pdf
1636376,2615815,text,17349,application/pdf,Introduced,https://legiscan.com/WY/text/HB0018/id/2615815,https://www.wyoleg.gov/2023/Introduced/HB0018.pdf
1636376,2651751,text,17489,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0018/id/2651751,https://www.wyoleg.gov/2023/Engross/HB0018.pdf
1636376,2699871,text,15582,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0018/id/2699871,https://www.wyoleg.gov/2023/Enroll/HB0018.pdf
1636135,2615777,text,16768,application/pdf,Introduced,https://legiscan.com/WY/text/HB0019/id/2615777,https://www.wyoleg.gov/2023/Introduced/HB0019.pdf
1636135,2698582,text,14296,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0019/id/2698582,https://www.wyoleg.gov/2023/Enroll/HB0019.pdf
1636702,2616017,text,14313,application/pdf,Introduced,https://legiscan.com/WY/text/HB0020/id/2616017,https://www.wyoleg.gov/2023/Introduced/HB0020.pdf
1636702,2668556,text,12085,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0020/id/2668556,https://www.wyoleg.gov/2023/Engross/HB0020.pdf
1636702,2701419,text,11247,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0020/id/2701419,https://www.wyoleg.gov/2023/Enroll/HB0020.pdf
1636529,2615990,text,12502,application/pdf,Introduced,https://legiscan.com/WY/text/HB0021/id/2615990,https://www.wyoleg.gov/2023/Introduced/HB0021.pdf
1636529,2704350,text,11694,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0021/id/2704350,https://www.wyoleg.gov/2023/Enroll/HB0021.pdf
1637036,2616312,text,16415,application/pdf,Introduced,https://legiscan.com/WY/text/HB0022/id/2616312,https://www.wyoleg.gov/2023/Introduced/HB0022.pdf
1637036,2670097,text,17057,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0022/id/2670097,https://www.wyoleg.gov/2023/Engross/HB0022.pdf
1637036,2723528,text,15976,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0022/id/2723528,https://www.wyoleg.gov/2023/Enroll/HB0022.pdf
1637244,2616805,text,16842,application/pdf,Introduced,https://legiscan.com/WY/text/HB0023/id/2616805,https://www.wyoleg.gov/2023/Introduced/HB0023.pdf
1637894,2617453,text,20049,application/pdf,Introduced,https://legiscan.com/WY/text/HB0024/id/2617453,https://www.wyoleg.gov/2023/Introduced/HB0024.pdf
1637894,2667273,text,23361,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0024/id/2667273,https://www.wyoleg.gov/2023/Engross/HB0024.pdf
1637894,2694202,text,19555,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0024/id/2694202,https://www.wyoleg.gov/2023/Enroll/HB0024.pdf
1637924,2617487,text,14123,application/pdf,Introduced,https://legiscan.com/WY/text/HB0025/id/2617487,https://www.wyoleg.gov/2023/Introduced/HB0025.pdf
1637931,2617494,text,13310,application/pdf,Introduced,https://legiscan.com/WY/text/HB0026/id/2617494,https://www.wyoleg.gov/2023/Introduced/HB0026.pdf
1637931,2695905,text,12422,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0026/id/2695905,https://www.wyoleg.gov/2023/Enroll/HB0026.pdf
1637912,2617475,text,13159,application/pdf,Introduced,https://legiscan.com/WY/text/HB0027/id/2617475,https://www.wyoleg.gov/2023/Introduced/HB0027.pdf
1637912,2707217,text,12354,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0027/id/2707217,https://www.wyoleg.gov/2023/Enroll/HB0027.pdf
1637929,2617492,text,10496,application/pdf,Introduced,https://legiscan.com/WY/text/HB0028/id/2617492,https://www.wyoleg.gov/2023/Introduced/HB0028.pdf
1637929,2643342,text,11461,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0028/id/2643342,https://www.wyoleg.gov/2023/Engross/HB0028.pdf
1637929,2691707,text,9721,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0028/id/2691707,https://www.wyoleg.gov/2023/Enroll/HB0028.pdf
1637927,2617490,text,9850,application/pdf,Introduced,https://legiscan.com/WY/text/HB0029/id/2617490,https://www.wyoleg.gov/2023/Introduced/HB0029.pdf
1637927,2690459,text,8920,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0029/id/2690459,https://www.wyoleg.gov/2023/Enroll/HB0029.pdf
1637923,2617486,text,15532,application/pdf,Introduced,https://legiscan.com/WY/text/HB0030/id/2617486,https://www.wyoleg.gov/2023/Introduced/HB0030.pdf
1637923,2672175,text,17067,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0030/id/2672175,https://www.wyoleg.gov/2023/Engross/HB0030.pdf
