bill_id,date,chamber,sequence,action
1634355,2022-11-30,,1,"Bill Number Assigned"
1634355,2023-01-06,House,2,"Received for Introduction"
1634355,2023-01-11,House,3,"Introduced and Referred to H07 - Corporations"
1634355,2023-01-16,House,4,"H07 - Corporations:Recommend Amend and Do Pass 9-0-0-0-0"
1634355,2023-01-16,House,5,"Placed on General File"
1634355,2023-01-17,House,6,COW:Passed
1634355,2023-01-18,House,7,"2nd Reading:Passed"
1634355,2023-01-19,House,8,"3rd Reading:Passed 53-7-2-0-0"
1634355,2023-01-19,Senate,9,"Received for Introduction"
1634355,2023-01-31,Senate,10,"Introduced and Referred to S02 - Appropriations"
1634355,2023-02-06,Senate,11,"S02 - Appropriations:Recommend Do Pass 3-2-0-0-0"
1634355,2023-02-06,Senate,12,"Placed on General File"
1634355,2023-02-27,Senate,13,"COW:S Did not consider for COW"
1634356,2022-11-30,,1,"Bill Number Assigned"
1634356,2023-01-06,House,2,"Received for Introduction"
1634356,2023-01-12,House,3,"Introduced and Referred to H02 - Appropriations"
1634356,2023-01-19,House,4,"H02 - Appropriations:Recommend Amend and Do Pass 7-0-0-0-0"
1634356,2023-01-19,House,5,"Placed on General File"
1634356,2023-01-20,House,6,COW:Passed
1634356,2023-01-24,House,7,"2nd Reading:Passed"
1634356,2023-01-25,House,8,"3rd Reading:Passed 61-0-1-0-0"
1634356,2023-01-25,Senate,9,"Received for Introduction"
1634356,2023-02-02,Senate,10,"Introduced and Referred to S08 - Transportation"
1634356,2023-02-22,Senate,11,"S08 - Transportation:Recommend Amend and Do Pass 4-0-1-0-0"
1634356,2023-02-22,Senate,12,"Placed on General File"
1634356,2023-02-22,Senate,13,COW:Passed
1634356,2023-02-23,Senate,14,"2nd Reading:Passed"
1634356,2023-02-24,Senate,15,"3rd Reading:Passed 24-7-0-0-0"
1634356,2023-02-24,House,16,"Received for Concurrence"
1634356,2023-02-27,House,17,"Concur:Passed 62-0-0-0-0"
1634356,2023-02-27,,18,"Assigned Number HEA No. 0074"
1634356,2023-02-27,House,19,"Speaker Signed HEA No. 0074"
1634356,2023-02-27,Senate,20,"President Signed HEA No. 0074"
1634356,2023-03-02,,21,"Governor Signed HEA No. 0074 "
1634356,2023-03-02,,22,"Assigned Chapter Number 138"
1634357,2022-11-30,,1,"Bill Number Assigned"
1634357,2023-01-06,House,2,"Received for Introduction"
1634357,2023-01-10,House,3,"Introduced and Referred to H10 - Labor"
1634357,2023-01-13,House,4,"H10 - Labor:Recommend Amend and Do Pass 5-4-0-0-0"
1634357,2023-01-13,House,5,":Rerefer to H02 - Appropriations"
1634357,2023-01-17,House,6,"H02 - Appropriations:Recommend Do Pass 7-0-0-0-0"
1634357,2023-01-17,House,7,"Placed on General File"
1634357,2023-02-06,House,8,COW:Passed
1634357,2023-02-07,House,9,"2nd Reading:Passed"
1634357,2023-02-08,House,10,"3rd Reading:Passed 34-28-0-0-0"
1634357,2023-02-09,Senate,11,"Received for Introduction"
1634357,2023-02-13,Senate,12,"Introduced and Referred to S10 - Labor"
1634357,2023-02-22,Senate,13,"S10 - Labor:Recommend Do Pass 3-1-1-0-0"
1634357,2023-02-22,Senate,14,":Rerefer to S02 - Appropriations"
1634357,2023-02-23,Senate,15,"S02 - Appropriations:Recommend Do Pass 4-0-1-0-0"
1634357,2023-02-23,Senate,16,"Placed on General File"
1634357,2023-02-27,Senate,17,COW:Passed
1634357,2023-02-28,Senate,18,"2nd Reading:Passed"
1634357,2023-03-01,Senate,19,"3rd Reading:Passed 16-14-1-0-0"
1634357,2023-03-01,,20,"Assigned Number HEA No. 0084"
1634357,2023-03-02,House,21,"Speaker Signed HEA No. 0084"
1634357,2023-03-02,Senate,22,"President Signed HEA No. 0084"
1634357,2023-03-03,,23,"Governor Signed HEA No. 0084 "
1634357,2023-03-03,,24,"Assigned Chapter Number 152"
1634364,2022-11-30,,1,"Bill Number Assigned"
1634364,2022-12-28,Senate,2,"Received for Introduction"
1634364,2023-01-10,Senate,3,"Introduced and Referred to S07 - Corporations"
1634364,2023-01-12,Senate,4,"S07 - Corporations:Recommend Amend and Do Pass 5-0-0-0-0"
1634364,2023-01-12,Senate,5,"Placed on General File"
1634364,2023-01-12,Senate,6,COW:Passed
1634364,2023-01-13,Senate,7,"2nd Reading:Passed"
1634364,2023-01-16,Senate,8,"3rd Reading:Passed 31-0-0-0-0"
1634364,2023-01-17,House,9,"Received for Introduction"
1634364,2023-02-06,House,10,"Introduced and Referred to H07 - Corporations"
1634364,2023-02-08,House,11,"H07 - Corporations:Recommend Amend and Do Pass 9-0-0-0-0"
1634364,2023-02-08,House,12,"Placed on General File"
1634364,2023-02-09,House,13,COW:Passed
1634364,2023-02-10,House,14,"2nd Reading:Passed"
1634364,2023-02-13,House,15,"3rd Reading:Passed 61-1-0-0-0"
1634364,2023-02-13,Senate,16,"Received for Concurrence"
1634364,2023-02-14,Senate,17,"Concur:Passed 30-0-1-0-0"
1634364,2023-02-14,,18,"Assigned Number SEA No. 0017"
1634364,2023-02-14,Senate,19,"President Signed SEA No. 0017"
1634364,2023-02-14,House,20,"Speaker Signed SEA No. 0017"
1634364,2023-02-15,,21,"Governor Signed SEA No. 0017 "
1634364,2023-02-15,,22,"Assigned Chapter Number 32"
1634368,2022-11-30,,1,"Bill Number Assigned"
1634368,2022-12-28,Senate,2,"Received for Introduction"
1634368,2023-01-10,Senate,3,"Introduced and Referred to S10 - Labor"
1634368,2023-01-13,Senate,4,"S10 - Labor:Recommend Amend and Do Pass 4-0-1-0-0"
1634368,2023-01-13,Senate,5,"Placed on General File"
1634368,2023-01-13,Senate,6,COW:Passed
1634368,2023-01-16,Senate,7,"2nd Reading:Passed"
1634368,2023-01-17,Senate,8,"3rd Reading:Passed 31-0-0-0-0"
1634368,2023-01-17,House,9,"Received for Introduction"
1634368,2023-02-07,House,10,"Introduced and Referred to H10 - Labor"
1634368,2023-02-08,House,11,"H10 - Labor:Recommend Do Pass 7-2-0-0-0"
1634368,2023-02-08,House,12,"Placed on General File"
1634368,2023-02-14,House,13,COW:Passed
1634368,2023-02-15,House,14,"2nd Reading:Passed"
1634368,2023-02-16,House,15,"3rd Reading:Passed 61-1-0-0-0"
1634368,2023-02-16,,16,"Assigned Number SEA No. 0036"
1634368,2023-02-16,Senate,17,"President Signed SEA No. 0036"
1634368,2023-02-16,House,18,"Speaker Signed SEA No. 0036"
1634368,2023-02-21,,19,"Governor Signed SEA No. 0036 "
1634368,2023-02-21,,20,"Assigned Chapter Number 59"
1634371,2022-11-30,,1,"Bill Number Assigned"
1634371,2022-12-28,Senate,2,"Received for Introduction"
1634371,2023-01-10,Senate,3,"Introduced and Referred to S10 - Labor"
1634371,2023-01-11,Senate,4,"S10 - Labor:Recommend Amend and Do Pass 5-0-0-0-0"
1634371,2023-01-11,Senate,5,"Placed on General File"
1634371,2023-01-11,Senate,6,COW:Passed
1634371,2023-01-12,Senate,7,"2nd Reading:Passed"
1634371,2023-01-13,Senate,8,"3rd Reading:Passed 27-4-0-0-0"
1634371,2023-01-13,House,9,"Received for Introduction"
1634371,2023-02-06,House,10,"Introduced and Referred to H10 - Labor"
1634371,2023-02-10,House,11,"H10 - Labor:Recommend Do Pass 7-2-0-0-0"
1634371,2023-02-10,House,12,"Placed on General File"
1634371,2023-02-13,House,13,COW:Passed
1634371,2023-02-14,House,14,"2nd Reading:Passed"
1634371,2023-02-15,House,15,"3rd Reading:Passed 59-2-1-0-0"
1634371,2023-02-15,,16,"Assigned Number SEA No. 0027"
1634371,2023-02-16,Senate,17,"President Signed SEA No. 0027"
1634371,2023-02-16,House,18,"Speaker Signed SEA No. 0027"
1634371,2023-02-21,,19,"Governor Signed SEA No. 0027 "
1634371,2023-02-21,,20,"Assigned Chapter Number 53"
1634376,2022-11-30,,1,"Bill Number Assigned"
1634376,2022-12-28,Senate,2,"Received for Introduction"
1634376,2023-01-10,Senate,3,"Introduced and Referred to S07 - Corporations"
1634376,2023-01-17,Senate,4,"S07 - Corporations:Recommend Amend and Do Pass 4-0-0-0-1"
1634376,2023-01-17,Senate,5,"Placed on General File"
1634376,2023-01-17,Senate,6,COW:Passed
1634376,2023-01-18,Senate,7,"2nd Reading:Passed"
1634376,2023-01-19,Senate,8,"3rd Reading:Failed 14-14-0-0-3"
1634380,2022-11-30,,1,"Bill Number Assigned"
1634380,2022-12-28,Senate,2,"Received for Introduction"
1634380,2023-01-10,Senate,3,"Introduced and Referred to S07 - Corporations"
1634380,2023-01-12,Senate,4,"S07 - Corporations:Recommend Do Pass 5-0-0-0-0"
1634380,2023-01-12,Senate,5,"Placed on General File"
1634380,2023-01-12,Senate,6,COW:Passed
1634380,2023-01-13,Senate,7,"2nd Reading:Passed"
1634380,2023-01-16,Senate,8,"3rd Reading:Passed 30-1-0-0-0"
1634380,2023-01-17,House,9,"Received for Introduction"
1634380,2023-02-06,House,10,"Introduced and Referred to H07 - Corporations"
1634380,2023-02-08,House,11,"H07 - Corporations:Recommend Amend and Do Pass 9-0-0-0-0"
1634380,2023-02-08,House,12,"Placed on General File"
1634380,2023-02-09,House,13,COW:Passed
1634380,2023-02-10,House,14,"2nd Reading:Passed"
1634380,2023-02-13,House,15,"3rd Reading:Passed 61-1-0-0-0"
1634380,2023-02-13,,16,"Assigned Number SEA No. 0016"
1634380,2023-02-13,Senate,17,"President Signed SEA No. 0016"
