bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1634355,1232041,2023-01-16,House,"H07 - Corporations:Recommend Amend and Do Pass 9-0-0-0-0",9,0,0,0,9
1634355,1233465,2023-01-19,House,"3rd Reading:Passed 53-7-2-0-0",53,7,0,2,62
1634355,1243747,2023-02-06,Senate,"S02 - Appropriations:Recommend Do Pass 3-2-0-0-0",3,2,0,0,5
1634356,1233328,2023-01-19,House,"H02 - Appropriations:Recommend Amend and Do Pass 7-0-0-0-0",7,0,0,0,7
1634356,1235859,2023-01-25,House,"3rd Reading:Passed 61-0-1-0-0",61,0,0,1,62
1634356,1258166,2023-02-22,Senate,"S08 - Transportation:Recommend Amend and Do Pass 4-0-1-0-0",4,0,0,1,5
1634356,1261466,2023-02-24,Senate,"3rd Reading:Passed 24-7-0-0-0",24,7,0,0,31
1634356,1262850,2023-02-27,House,"Concur:Passed 62-0-0-0-0",62,0,0,0,62
1634357,1231919,2023-01-13,House,"H10 - Labor:Recommend Amend and Do Pass 5-4-0-0-0",5,4,0,0,9
1634357,1232509,2023-01-17,House,"H02 - Appropriations:Recommend Do Pass 7-0-0-0-0",7,0,0,0,7
1634357,1246029,2023-02-08,House,"3rd Reading:Passed 34-28-0-0-0",34,28,0,0,62
1634357,1258036,2023-02-22,Senate,"S10 - Labor:Recommend Do Pass 3-1-1-0-0",3,1,0,1,5
1634357,1260140,2023-02-23,Senate,"S02 - Appropriations:Recommend Do Pass 4-0-1-0-0",4,0,0,1,5
1634357,1265235,2023-03-01,Senate,"3rd Reading:Passed 16-14-1-0-0",16,14,0,1,31
1634364,1231675,2023-01-12,Senate,"S07 - Corporations:Recommend Amend and Do Pass 5-0-0-0-0",5,0,0,0,5
1634364,1232177,2023-01-16,Senate,"3rd Reading:Passed 31-0-0-0-0",31,0,0,0,31
1634364,1246228,2023-02-08,House,"H07 - Corporations:Recommend Amend and Do Pass 9-0-0-0-0",9,0,0,0,9
1634364,1248459,2023-02-13,House,"3rd Reading:Passed 61-1-0-0-0",61,1,0,0,62
1634364,1250073,2023-02-14,Senate,"Concur:Passed 30-0-1-0-0",30,0,0,1,31
1634368,1231806,2023-01-13,Senate,"S10 - Labor:Recommend Amend and Do Pass 4-0-1-0-0",4,0,0,1,5
1634368,1232245,2023-01-17,Senate,"3rd Reading:Passed 31-0-0-0-0",31,0,0,0,31
1634368,1246453,2023-02-08,House,"H10 - Labor:Recommend Do Pass 7-2-0-0-0",7,2,0,0,9
1634368,1253190,2023-02-16,House,"3rd Reading:Passed 61-1-0-0-0",61,1,0,0,62
1634371,1231473,2023-01-11,Senate,"S10 - Labor:Recommend Amend and Do Pass 5-0-0-0-0",5,0,0,0,5
1634371,1231768,2023-01-13,Senate,"3rd Reading:Passed 27-4-0-0-0",27,4,0,0,31
