bill_id,people_id,position
1634355,8631,1
1634356,8679,5
1634356,14230,2
1634356,16799,4
1634356,22013,3
1634356,22077,1
1634357,8669,1
1634364,8631,1
1634368,8641,10
1634368,8711,5
1634368,8725,1
1634368,10604,9
1634368,14226,7
1634368,14230,2
1634368,14233,4
1634368,16799,6
1634368,18549,11
1634368,22510,3
1634368,23192,8
1634371,8669,1
1634376,8631,1
1634380,8631,1
1634385,8669,1
1634388,8679,4
1634388,14226,3
1634388,14230,1
1634388,16799,2
1634388,18549,6
1634388,18787,5
1634393,8679,4
1634393,14230,1
1634393,14233,2
1634393,16799,3
1634396,8631,1
1634398,8669,1
1634404,8631,1
1634409,8631,1
1634414,8675,3
1634414,8711,2
1634414,18787,4
1634414,22510,1
1634459,8670,1
1634467,8669,1
1634475,8631,1
1634484,8670,1
1634489,8670,1
1634497,8670,1
1634504,8670,1
1634512,8631,1
1634521,8670,1
1634527,8670,1
1634532,8670,1
1634539,8670,1
1635259,8633,1
1635261,8633,1
1635265,8633,1
1635269,8633,1
1635272,8633,1
1635275,8633,1
1635279,8633,1
1635283,8669,1
1635284,8633,1
1635287,8633,1
1635290,8633,1
1635295,21783,1
1635299,8630,1
1635303,8630,1
1635306,21783,1
1635311,8630,1
1636135,21783,1
1636256,8630,1
1636376,21783,1
1636529,8630,1
1636702,8630,1
1636958,8633,1
1636965,8633,1
1636971,8633,1
1636976,8633,1
1637036,8630,1
1637235,8633,1
1637244,8669,1
1637887,19461,1
1637889,19461,1
1637894,19461,1
1637897,16799,3
1637897,20157,4
1637897,23310,1
1637897,23311,2
1637902,8711,3
1637902,8725,1
1637902,14232,2
1637902,16799,4
1637902,18215,5
1637902,20157,6
1637910,8675,3
1637910,8711,1
1637910,17805,2
1637910,18549,4
1637911,8692,1
1637912,8706,1
1637913,8692,1
1637915,8678,1
1637916,8692,1
1637917,8675,2
1637917,14230,1
1637918,8678,1
1637921,8678,1
1637922,8692,1
1637923,8692,1
1637924,8706,1
1637927,8692,1
1637929,8692,1
1637931,8706,1
1637937,8706,1
1637942,8692,1
1637946,8692,1
1637950,8692,1
1637954,8692,1
1637959,8692,1
1637963,8692,1
1637968,8706,1
1637970,8692,1
1638258,8670,1
1638259,8670,1
1638260,8670,1
1638262,8679,2
1638262,22077,1
1638263,8670,1
1638264,8670,1
1638267,8670,1
1638268,8670,1
1638269,8670,1
1638271,8670,1
1638272,8670,1
1638273,8670,1
1638274,8670,1
1638339,8641,5
1638339,18469,2
1638339,18549,6
1638339,19558,3
1638339,20157,7
1638339,20377,4
1638339,22510,1
1638365,8633,1
1638455,8631,1
1638546,8633,1
1638593,8629,1
1638766,8634,1
1638768,8634,1
1638790,8634,1
1638811,8693,1
1638833,8634,1
1638853,8720,1
1638873,8720,1
1638896,8631,1
1638916,8720,1
1638934,8720,1
1638956,8720,1
1639061,8678,1
1639147,14232,1
1639147,16799,2
1639375,8678,1
1639415,14226,6
1639415,16799,5
1639415,17805,7
1639415,18469,3
1639415,18549,8
1639415,19384,2
1639415,19913,4
1639415,22554,1
1639453,8631,1
1639533,8725,3
1639533,14226,8
1639533,14412,6
1639533,17805,9
1639533,18101,4
1639533,18215,10
1639533,19384,2
1639533,21911,5
1639533,22554,1
1639533,22557,7
1639549,14226,8
1639549,16799,7
1639549,18213,9
1639549,19384,1
1639549,22510,5
1639549,22555,2
1639549,22556,3
1639549,23382,4
1639549,23383,6
1639566,8675,5
1639566,8679,6
1639566,12910,3
1639566,14233,1
1639566,16799,4
1639566,18487,7
1639566,20157,8
1639566,20377,2
1639582,8678,1
1640026,18101,3
1640026,18487,5
1640026,19384,2
1640026,20157,6
1640026,20364,4
1640026,23310,1
1640029,8670,1
1640034,10600,2
1640034,14232,1
1640037,8693,1
1640040,8629,1
1640189,8693,1
1640410,14229,7
1640410,16711,2
1640410,17805,6
1640410,18213,8
1640410,20375,4
1640410,22234,1
1640410,23397,3
1640410,23401,5
1640421,8631,1
1640430,14229,17
1640430,18213,18
1640430,20171,16
1640430,20375,14
1640430,22012,4
1640430,22013,8
1640430,22014,10
1640430,22556,6
1640430,23393,1
1640430,23394,2
1640430,23395,5
1640430,23396,7
1640430,23397,9
1640430,23398,11
1640430,23399,12
1640430,23400,13
1640430,23401,15
1640430,24753,3
1640440,8641,5
1640440,18469,2
1640440,18549,6
1640440,18787,4
1640440,22555,1
1640440,22676,3
1640450,8678,1
1640459,19461,1
1640469,8702,1
1641381,8629,1
1641406,8679,4
1641406,14226,3
1641406,14230,2
1641406,22556,1
1641433,8679,3
1641433,17805,2
1641433,18469,1
1641433,20157,4
1641463,18213,5
1641463,18469,3
1641463,19384,2
1641463,20157,6
1641463,20375,4
1641463,22554,1
1641493,14412,2
1641493,18101,1
1641493,20157,3
1641521,14229,4
1641521,16711,1
1641521,20375,3
1641521,21911,2
1641551,8713,2
1641551,10604,4
1641551,19384,1
1641551,23382,3
1641579,10600,27
1641579,10604,25
1641579,14226,20
1641579,16711,9
