bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1842887,2922536,text,362053,application/pdf,Introduced,https://legiscan.com/WY/text/HB0001/id/2922536,https://www.wyoleg.gov/2024/Introduced/HB0001.pdf
1842887,2956490,text,309018,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0001/id/2956490,https://www.wyoleg.gov/2024/Enroll/HB0001.pdf
1785666,2852463,text,9637,application/pdf,Introduced,https://legiscan.com/WY/text/HB0002/id/2852463,https://www.wyoleg.gov/2024/Introduced/HB0002.pdf
1785428,2852285,text,15594,application/pdf,Introduced,https://legiscan.com/WY/text/HB0003/id/2852285,https://www.wyoleg.gov/2024/Introduced/HB0003.pdf
1785428,2939138,text,15904,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0003/id/2939138,https://www.wyoleg.gov/2024/Engross/HB0003.pdf
1785428,2952272,text,14033,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0003/id/2952272,https://www.wyoleg.gov/2024/Enroll/HB0003.pdf
1785706,2852495,text,23286,application/pdf,Introduced,https://legiscan.com/WY/text/HB0004/id/2852495,https://www.wyoleg.gov/2024/Introduced/HB0004.pdf
1785706,2939243,text,23114,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0004/id/2939243,https://www.wyoleg.gov/2024/Engross/HB0004.pdf
1785706,2955771,text,21512,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0004/id/2955771,https://www.wyoleg.gov/2024/Enroll/HB0004.pdf
1785743,2852527,text,11791,application/pdf,Introduced,https://legiscan.com/WY/text/HB0005/id/2852527,https://www.wyoleg.gov/2024/Introduced/HB0005.pdf
1789498,2860670,text,17607,application/pdf,Introduced,https://legiscan.com/WY/text/HB0006/id/2860670,https://www.wyoleg.gov/2024/Introduced/HB0006.pdf
1789492,2860664,text,27395,application/pdf,Introduced,https://legiscan.com/WY/text/HB0007/id/2860664,https://www.wyoleg.gov/2024/Introduced/HB0007.pdf
1789494,2860666,text,11339,application/pdf,Introduced,https://legiscan.com/WY/text/HB0008/id/2860666,https://www.wyoleg.gov/2024/Introduced/HB0008.pdf
1789494,2944708,text,9508,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0008/id/2944708,https://www.wyoleg.gov/2024/Enroll/HB0008.pdf
1789495,2860667,text,14819,application/pdf,Introduced,https://legiscan.com/WY/text/HB0009/id/2860667,https://www.wyoleg.gov/2024/Introduced/HB0009.pdf
1789495,2947893,text,12092,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0009/id/2947893,https://www.wyoleg.gov/2024/Enroll/HB0009.pdf
1789490,2860661,text,9541,application/pdf,Introduced,https://legiscan.com/WY/text/HB0010/id/2860661,https://www.wyoleg.gov/2024/Introduced/HB0010.pdf
1789490,2944700,text,8629,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0010/id/2944700,https://www.wyoleg.gov/2024/Enroll/HB0010.pdf
1789500,2860672,text,12676,application/pdf,Introduced,https://legiscan.com/WY/text/HB0011/id/2860672,https://www.wyoleg.gov/2024/Introduced/HB0011.pdf
1789500,2932943,text,12865,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0011/id/2932943,https://www.wyoleg.gov/2024/Engross/HB0011.pdf
1789500,2944718,text,11637,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0011/id/2944718,https://www.wyoleg.gov/2024/Enroll/HB0011.pdf
1789491,2860663,text,8143,application/pdf,Introduced,https://legiscan.com/WY/text/HB0012/id/2860663,https://www.wyoleg.gov/2024/Introduced/HB0012.pdf
1789491,2946168,text,7175,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0012/id/2946168,https://www.wyoleg.gov/2024/Enroll/HB0012.pdf
1789497,2860669,text,9596,application/pdf,Introduced,https://legiscan.com/WY/text/HB0013/id/2860669,https://www.wyoleg.gov/2024/Introduced/HB0013.pdf
1789497,2946062,text,8609,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0013/id/2946062,https://www.wyoleg.gov/2024/Enroll/HB0013.pdf
1791054,2862132,text,47628,application/pdf,Introduced,https://legiscan.com/WY/text/HB0014/id/2862132,https://www.wyoleg.gov/2024/Introduced/HB0014.pdf
1791054,2933658,text,51622,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0014/id/2933658,https://www.wyoleg.gov/2024/Engross/HB0014.pdf
1791054,2944691,text,43122,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0014/id/2944691,https://www.wyoleg.gov/2024/Enroll/HB0014.pdf
1791040,2862124,text,9843,application/pdf,Introduced,https://legiscan.com/WY/text/HB0015/id/2862124,https://www.wyoleg.gov/2024/Introduced/HB0015.pdf
1791040,2946078,text,8862,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0015/id/2946078,https://www.wyoleg.gov/2024/Enroll/HB0015.pdf
1791334,2862558,text,11032,application/pdf,Introduced,https://legiscan.com/WY/text/HB0016/id/2862558,https://www.wyoleg.gov/2024/Introduced/HB0016.pdf
1791334,2944706,text,10052,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0016/id/2944706,https://www.wyoleg.gov/2024/Enroll/HB0016.pdf
