bill_id,date,chamber,sequence,action
1785388,2023-11-30,,1,"Bill Number Assigned"
1785388,2024-01-24,Senate,2,"Received for Introduction"
1785388,2024-02-12,Senate,3,"Introduced and Referred to S10 - Labor 30-1-0-0-0"
1785388,2024-02-14,Senate,4,"S10 - Labor:Recommend Amend and Do Pass 3-2-0-0-0"
1785388,2024-02-14,Senate,5,"Placed on General File"
1785388,2024-02-15,Senate,6,COW:Passed
1785388,2024-02-16,Senate,7,"2nd Reading:Passed"
1785388,2024-02-19,Senate,8,"3rd Reading:Passed 28-2-1-0-0"
1785388,2024-02-19,House,9,"Received for Introduction"
1785388,2024-02-21,House,10,"Introduced and Referred to H10 - Labor"
1785388,2024-02-23,House,11,"H10 - Labor:Recommend Amend and Do Pass 8-1-0-0-0"
1785388,2024-02-23,House,12,"Placed on General File"
1785388,2024-02-26,House,13,COW:Passed
1785388,2024-02-27,House,14,"2nd Reading:Passed"
1785388,2024-02-28,House,15,"3rd Reading:Passed 62-0-0-0-0"
1785388,2024-02-28,Senate,16,"Received for Concurrence"
1785388,2024-02-28,Senate,17,"Concur:Passed 24-1-6-0-0"
1785388,2024-02-28,,18,"Assigned Number SEA No. 0004"
1785388,2024-02-29,Senate,19,"President Signed SEA No. 0004"
1785388,2024-02-29,House,20,"Speaker Signed SEA No. 0004"
1785388,2024-03-04,,21,"Governor Signed SEA No. 0004 "
1785388,2024-03-04,,22,"Assigned Chapter Number 18"
1785428,2023-11-30,,1,"Bill Number Assigned"
1785428,2024-01-24,House,2,"Received for Introduction"
1785428,2024-02-12,House,3,"Introduced and Referred to H03 - Revenue 59-2-1-0-0"
1785428,2024-02-20,House,4,"H03 - Revenue:Recommend Amend and Do Pass 9-0-0-0-0"
1785428,2024-02-20,House,5,"Placed on General File"
1785428,2024-02-20,House,6,COW:Passed
1785428,2024-02-21,House,7,"2nd Reading:Laid Back"
1785428,2024-02-22,House,8,"2nd Reading:Passed"
1785428,2024-02-22,House,9,"3rd Reading:Pursuant to HR 7-7 Accelerated to 3rd Reading 45-17-0-0-0"
1785428,2024-02-22,House,10,"3rd Reading:Passed 59-3-0-0-0"
1785428,2024-02-23,Senate,11,"Received for Introduction"
1785428,2024-02-28,Senate,12,"Introduced and Referred to S03 - Revenue"
1785428,2024-03-01,Senate,13,"S03 - Revenue:Recommend Amend and Do Pass 5-0-0-0-0"
1785428,2024-03-01,Senate,14,"Placed on General File"
1785428,2024-03-04,Senate,15,COW:Passed
1785428,2024-03-05,Senate,16,"2nd Reading:Passed"
1785428,2024-03-06,Senate,17,"3rd Reading:Passed 21-0-0-0-10"
1785428,2024-03-06,,18,"Assigned Number HEA No. 0044"
1785428,2024-03-06,House,19,"Speaker Signed HEA No. 0044"
1785428,2024-03-07,Senate,20,"President Signed HEA No. 0044"
1785428,2024-03-21,,21,"Governor Signed HEA No. 0044 "
1785428,2024-03-21,,22,"Assigned Chapter Number 106"
1785468,2023-11-30,,1,"Bill Number Assigned"
1785468,2024-01-24,Senate,2,"Received for Introduction"
1785468,2024-02-12,Senate,3,"Introduced and Referred to S10 - Labor 31-0-0-0-0"
1785468,2024-02-16,Senate,4,"S10 - Labor:Recommend Do Pass 5-0-0-0-0"
1785468,2024-02-16,Senate,5,"Placed on General File"
1785468,2024-02-19,Senate,6,COW:Passed
1785468,2024-02-20,Senate,7,"2nd Reading:Passed"
1785468,2024-02-21,Senate,8,"3rd Reading:Passed 30-0-1-0-0"
1785468,2024-02-21,House,9,"Received for Introduction"
1785468,2024-02-23,House,10,"Introduced and Referred to H10 - Labor"
1785468,2024-03-01,House,11,"H10 - Labor:Recommend Amend and Do Pass 9-0-0-0-0"
1785468,2024-03-01,House,12,"Placed on General File"
1785468,2024-03-04,House,13,COW:Passed
1785468,2024-03-05,House,14,"2nd Reading:Passed"
1785468,2024-03-06,House,15,"3rd Reading:Passed 62-0-0-0-0"
1785468,2024-03-07,Senate,16,"Received for Concurrence"
1785468,2024-03-07,Senate,17,"Concur:Passed 30-0-1-0-0"
1785468,2024-03-07,,18,"Assigned Number SEA No. 0055"
1785468,2024-03-07,Senate,19,"President Signed SEA No. 0055"
1785468,2024-03-07,House,20,"Speaker Signed SEA No. 0055"
1785468,2024-03-21,,21,"Governor Signed SEA No. 0055 "
1785468,2024-03-21,,22,"Assigned Chapter Number 111"
1785507,2023-11-30,,1,"Bill Number Assigned"
1785507,2024-01-24,Senate,2,"Received for Introduction"
1785507,2024-02-12,Senate,3,"Introduced and Referred to S10 - Labor 25-6-0-0-0"
1785507,2024-02-16,Senate,4,"S10 - Labor:Recommend Do Pass 5-0-0-0-0"
1785507,2024-02-16,Senate,5,"Placed on General File"
1785507,2024-02-16,Senate,6,COW:Passed
1785507,2024-02-19,Senate,7,"2nd Reading:Passed"
1785507,2024-02-20,Senate,8,"3rd Reading:Passed 25-5-1-0-0"
1785507,2024-02-20,House,9,"Received for Introduction"
1785507,2024-02-22,House,10,"Introduced and Referred to H10 - Labor"
1785507,2024-02-26,House,11,"H10 - Labor:Recommend Amend and Do Pass 9-0-0-0-0"
1785507,2024-02-26,House,12,"Placed on General File"
1785507,2024-02-27,House,13,COW:Passed
1785507,2024-02-28,House,14,"2nd Reading:Passed"
1785507,2024-02-29,House,15,"3rd Reading:Passed 62-0-0-0-0"
1785507,2024-02-29,Senate,16,"Received for Concurrence"
1785507,2024-02-29,Senate,17,"Concur:Passed 26-1-4-0-0"
1785507,2024-02-29,,18,"Assigned Number SEA No. 0007"
1785507,2024-03-01,Senate,19,"President Signed SEA No. 0007"
1785507,2024-03-01,House,20,"Speaker Signed SEA No. 0007"
1785507,2024-03-05,,21,"Governor Signed SEA No. 0007 "
1785507,2024-03-05,,22,"Assigned Chapter Number 27"
1785547,2023-11-30,,1,"Bill Number Assigned"
1785547,2024-01-24,Senate,2,"Received for Introduction"
1785547,2024-02-12,Senate,3,"Introduced and Referred to S10 - Labor 25-6-0-0-0"
1785547,2024-02-14,Senate,4,"S10 - Labor:Recommend Do Pass 5-0-0-0-0"
1785547,2024-02-14,Senate,5,"Placed on General File"
1785547,2024-02-14,Senate,6,COW:Passed
1785547,2024-02-15,Senate,7,"2nd Reading:Passed"
1785547,2024-02-16,Senate,8,"3rd Reading:Passed 25-6-0-0-0"
1785547,2024-02-16,House,9,"Received for Introduction"
1785547,2024-02-26,House,10,"Introduced and Referred to H10 - Labor"
1785547,2024-03-01,House,11,"H10 - Labor:Recommend Do Pass 9-0-0-0-0"
1785547,2024-03-01,House,12,"Placed on General File"
1785547,2024-03-01,House,13,COW:Passed
1785547,2024-03-04,House,14,"2nd Reading:Passed"
1785547,2024-03-05,House,15,"3rd Reading:Passed 54-7-1-0-0"
1785547,2024-03-05,,16,"Assigned Number SEA No. 0033"
1785547,2024-03-05,Senate,17,"President Signed SEA No. 0033"
1785547,2024-03-06,House,18,"Speaker Signed SEA No. 0033"
1785547,2024-03-08,,19,"Governor Signed SEA No. 0033 "
1785547,2024-03-08,,20,"Assigned Chapter Number 62"
1785587,2023-11-30,,1,"Bill Number Assigned"
1785587,2024-01-24,Senate,2,"Received for Introduction"
1785587,2024-02-12,Senate,3,"Introduced and Referred to S10 - Labor 31-0-0-0-0"
1785587,2024-02-14,Senate,4,"S10 - Labor:Recommend Do Pass 5-0-0-0-0"
1785587,2024-02-14,Senate,5,"Placed on General File"
1785587,2024-02-14,Senate,6,COW:Passed
1785587,2024-02-15,Senate,7,"2nd Reading:Passed"
1785587,2024-02-16,Senate,8,"3rd Reading:Passed 31-0-0-0-0"
1785587,2024-02-16,House,9,"Received for Introduction"
1785587,2024-02-22,House,10,"Introduced and Referred to H10 - Labor"
1785587,2024-02-23,House,11,"H10 - Labor:Recommend Do Pass 8-1-0-0-0"
1785587,2024-02-23,House,12,"Placed on General File"
1785587,2024-02-26,House,13,COW:Passed
1785587,2024-02-27,House,14,"2nd Reading:Passed"
1785587,2024-02-28,House,15,"3rd Reading:Passed 46-16-0-0-0"
1785587,2024-02-28,,16,"Assigned Number SEA No. 0003"
1785587,2024-02-28,Senate,17,"President Signed SEA No. 0003"
1785587,2024-02-28,House,18,"Speaker Signed SEA No. 0003"
1785587,2024-03-01,,19,"Governor Signed SEA No. 0003 "
1785587,2024-03-01,,20,"Assigned Chapter Number 1"
1785626,2023-11-30,,1,"Bill Number Assigned"
1785626,2024-01-24,Senate,2,"Received for Introduction"
1785626,2024-02-12,Senate,3,"Introduced and Referred to S10 - Labor 30-1-0-0-0"
1785626,2024-02-16,Senate,4,"S10 - Labor:Recommend Do Pass 5-0-0-0-0"
1785626,2024-02-16,Senate,5,"Placed on General File"
1785626,2024-02-16,Senate,6,COW:Passed
1785626,2024-02-19,Senate,7,"2nd Reading:Passed"
1785626,2024-02-20,Senate,8,"3rd Reading:Passed 26-4-1-0-0"
1785626,2024-02-20,House,9,"Received for Introduction"
1785626,2024-02-26,House,10,"Introduced and Referred to H10 - Labor"
