bill_id,people_id,position
1785388,8669,1
1785428,8678,1
1785468,8669,1
1785507,8669,1
1785547,8669,1
1785587,8669,1
1785626,8669,1
1785666,8634,1
1785706,8678,1
1785743,8669,1
1785931,8692,1
1785969,8630,1
1786871,8630,1
1787710,8630,1
1788454,8630,1
1789186,8630,1
1789490,8630,1
1789491,8630,1
1789492,8670,1
1789494,8670,1
1789495,8670,1
1789497,8630,1
1789498,8670,1
1789500,8630,1
1790900,8670,1
1790911,8670,1
1790924,8670,1
1791040,8669,1
1791054,8669,1
1791334,8634,1
1791341,8634,1
1791426,8678,1
1791446,8678,1
1791584,8692,1
1791609,8692,1
1792059,8706,1
1792235,8692,1
1792244,21783,1
1792367,8678,1
1793638,8631,1
1793640,8631,1
1793642,19963,1
1793644,8631,1
1793647,8631,1
1793651,8631,1
1793653,8631,1
1793656,8631,1
1793658,8631,1
1793662,8675,1
1793742,8633,1
1793746,8633,1
1793750,8633,1
1793756,8633,1
1793761,8633,1
1793766,8633,1
1793771,8633,1
1794172,8633,1
1794182,8633,1
1794192,8633,1
1794201,8669,1
1794211,8633,1
1794221,8669,1
1794233,8633,1
1794244,8711,4
1794244,16799,5
1794244,23382,2
1794244,23647,3
1794244,24307,1
1794244,24311,6
1794252,8633,1
1794599,21783,1
1796266,8693,1
1796318,8693,1
1796370,19963,1
1796420,8693,1
1796478,8631,1
1796531,8693,1
1796536,8631,1
1796544,8631,1
1796555,8631,1
1796564,8631,1
1796574,19963,1
1796584,8631,1
1796595,8631,1
1796825,8669,1
1797005,8717,1
1798540,8669,1
1798614,8641,32
1798614,8679,29
1798614,8711,25
1798614,8725,8
1798614,10604,30
1798614,14226,27
1798614,14230,10
1798614,14232,18
1798614,14233,21
1798614,14412,15
1798614,14414,26
1798614,16557,31
1798614,18101,9
1798614,18469,17
1798614,18549,33
1798614,19558,19
1798614,19913,23
1798614,20157,34
1798614,20364,13
1798614,20377,22
1798614,22286,28
1798614,22510,16
1798614,22555,7
1798614,23310,3
1798614,23311,6
1798614,23382,14
1798614,23643,1
1798614,23644,12
1798614,23647,24
1798614,24160,4
1798614,24162,5
1798614,24163,20
1798614,24307,11
1798614,24753,2
1799619,18213,3
1799619,22013,1
1799619,23397,2
1799685,8641,5
1799685,14233,3
1799685,18469,2
1799685,18549,6
1799685,20377,4
1799685,22555,1
1800072,8634,1
1800605,8725,2
1800605,14232,4
1800605,18787,5
1800605,20157,6
1800605,21911,3
1800605,23311,1
1800713,8693,1
1800823,8693,1
1800932,8693,1
1801037,8693,1
1803969,14229,11
1803969,16559,12
1803969,16711,3
1803969,18213,13
1803969,22013,4
1803969,22077,2
1803969,22234,1
1803969,23383,5
1803969,23397,6
1803969,23399,8
1803969,23400,9
1803969,23401,10
1803969,23645,7
1803981,10604,2
1803981,21911,1
1804152,16711,6
1804152,16716,19
1804152,21911,8
1804152,22012,4
1804152,22013,9
1804152,22014,12
1804152,22234,3
1804152,22235,17
1804152,23383,10
1804152,23393,1
1804152,23394,2
1804152,23395,5
1804152,23396,7
1804152,23397,11
1804152,23398,13
1804152,23399,14
1804152,23400,15
1804152,23401,16
1804152,23683,18
1807896,10604,11
1807896,14232,8
1807896,14412,7
1807896,16799,10
1807896,19913,9
1807896,22555,5
1807896,23310,2
1807896,23643,1
1807896,24160,3
1807896,24162,4
1807896,24307,6
1810001,19461,1
1810157,16711,5
1810157,21911,7
1810157,22012,4
1810157,22013,8
1810157,22014,11
1810157,22234,3
1810157,23383,9
1810157,23393,1
1810157,23394,2
1810157,23396,6
1810157,23397,10
1810157,23399,12
1810157,23400,13
1810157,23401,14
1810314,19461,1
1810471,8641,11
1810471,8725,2
1810471,10602,12
1810471,14226,10
1810471,14233,7
1810471,14412,4
1810471,14414,9
1810471,18789,5
1810471,20157,13
1810471,20377,8
1810471,21911,3
1810471,22557,6
1810471,23643,1
1811275,16711,7
1811275,21911,9
1811275,22012,4
1811275,22077,5
1811275,22234,3
1811275,23393,1
1811275,23394,2
1811275,23395,6
1811275,23396,8
1811275,23397,10
1811275,23398,11
1811275,23399,12
1811275,23400,13
1811275,23401,15
1811275,23646,14
1811360,14229,7
1811360,22013,3
1811360,23394,1
1811360,23395,2
1811360,23397,4
1811360,23401,6
1811360,23646,5
1811445,21783,1
1811533,8711,9
1811533,14226,11
1811533,14230,2
1811533,14232,7
1811533,16799,10
1811533,18469,6
1811533,18549,12
1811533,20377,8
1811533,22510,5
1811533,23311,1
1811533,23644,4
1811533,24307,3
1812113,8630,1
1813043,8641,3
1813043,20157,4
1813043,22286,2
1813043,23310,1
1813685,14229,13
1813685,16559,14
1813685,16711,6
1813685,21911,7
1813685,22012,3
1813685,22013,8
1813685,22077,4
1813685,22234,2
1813685,22554,1
1813685,23383,9
1813685,23395,5
1813685,23397,10
1813685,23401,12
1813685,23646,11
1813730,8629,1
1813775,8629,1
1813818,8679,7
1813818,14232,3
1813818,19558,4
1813818,22131,9
1813818,23647,6
1813818,24163,5
1813818,24307,2
1813818,24311,8
1813818,24753,1
1813859,8629,1
1814311,22125,1
1814421,22125,1
1814528,22125,1
1818233,8641,7
1818233,14226,5
1818233,18787,6
1818233,20377,4
1818233,22510,3
1818233,22555,2
1818233,24161,1
1818570,8679,4
1818570,14230,1
1818570,16799,3
1818570,19558,2
1818570,20157,5
1818914,8678,1
1819252,8678,1
1820237,14232,3
1820237,16799,4
1820237,21911,2
1820237,24753,1
1820381,16799,5
1820381,18487,8
1820381,18549,9
1820381,18787,7
