Date,State,Bill No,Title,Action
"March 8, 2024",WY,SF 42,Establishes a Low-Carbon Reliable Energy Standards Amendment,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (18 - 12)"
"March 8, 2024",WY,HB 126,Authorizes Childcare at Residential Property,"Concurrence Vote Passed
                           - House
                      

                      
                          (51 - 5)"
"March 8, 2024",WY,HB 138,Appropriates and Establishes Limits on State Education Funding,"Concurrence Vote Passed
                           - House
                      

                      
                          (37 - 22)"
"March 8, 2024",WY,SF 13,Authorizes the Legislature to Prosecute Actions Involving the Proper Administration and Interpretation of Federal  ...,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (24 - 5)"
"March 8, 2024",WY,SF 83,Amends Statutory References Resulting from Inadvertent Errors and Omissions in Previous Legislation,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (30 - 1)"
"March 8, 2024",WY,SF 90,Establishes a State-Managed Local Government Equity Investment Pool,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (21 - 10)"
"March 8, 2024",WY,SF 41,Exempts Employees of the Division of Banking from State Personnel Classification and Compensation Provisions,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (24 - 7)"
"March 8, 2024",WY,HB 138,Appropriates and Establishes Limits on State Education Funding,"Bill Passed
                           - Senate
                      

                      
                          (20 - 11)"
"March 8, 2024",WY,SF 42,Establishes a Low-Carbon Reliable Energy Standards Amendment,"Bill Passed
                           - House
                      

                      
                          (36 - 17)"
"March 8, 2024",WY,HB 1,Appropriates $10.6 Billion in Funding for the Biennial 2025-2026 State Budget,"Bill Passed
                           - Senate
                      

                      
                          (17 - 14)"
"March 7, 2024",WY,SF 47,Amends Law Enforcement Retirement Contributions,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (29 - 1)"
"March 7, 2024",WY,SF 99,Prohibits Gender Affirming Care for Minors,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (28 - 2)"
"March 7, 2024",WY,SF 41,Exempts Employees of the Division of Banking from State Personnel Classification and Compensation Provisions,"Bill Passed
                           - House
                      

                      
                          (33 - 29)"
"March 7, 2024",WY,SF 13,Authorizes the Legislature to Prosecute Actions Involving the Proper Administration and Interpretation of Federal  ...,"Bill Passed
                           - House
                      

                      
                          (47 - 15)"
"March 7, 2024",WY,SF 83,Amends Statutory References Resulting from Inadvertent Errors and Omissions in Previous Legislation,"Bill Passed
                           - House
                      

                      
                          (55 - 7)"
"March 7, 2024",WY,HB 125,Repeals Gun-Free Zones in Wyoming,"Bill Passed
                           - Senate
                      

                      
                          (22 - 8)"
"March 6, 2024",WY,SF 14,Amends State Fair Board-Powers and Responsibilities,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (30 - 1)"
"March 6, 2024",WY,SF 113,Amends Penalties for Light and High-Profile Vehicle Closures,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (22 - 9)"
"March 6, 2024",WY,SF 23,Amends Public Utilities Energy Resource Procurement,"Bill Passed
                           - House
                      

                      
                          (54 - 8)"
"March 6, 2024",WY,SF 99,Prohibits Gender Affirming Care for Minors,"Bill Passed
                           - House
                      

                      
                          (55 - 6)"
"March 6, 2024",WY,SF 19,Amends the Per-Child Amounts used to Calculate Payments to Early Childhood Centers,"Bill Passed
                           - House
                      

                      
                          (50 - 12)"
"March 6, 2024",WY,SF 35,Requires Public Records Related to DOC Investigations,"Bill Passed
                           - House
                      

                      
                          (59 - 2)"
"March 6, 2024",WY,SF 90,Establishes a State-Managed Local Government Equity Investment Pool,"Bill Passed
                           - House
                      

                      
                          (44 - 18)"
"March 6, 2024",WY,HB 77,Amends Simple Assault to Include Menacing or Threatening Behavior,"Bill Failed
                           - Senate
                      

                      
                          (14 - 16)"
"March 6, 2024",WY,HB 58,Establishes a Forensic Genetic Genealogy Pilot Program,"Bill Passed
                           - Senate
                      

                      
                          (19 - 11)"
"March 6, 2024",WY,HB 29,Amends Cold Case Database and Investigation Provisions,"Bill Passed
                           - Senate
                      

                      
                          (26 - 4)"
"March 6, 2024",WY,SF 53,Amends the Number of Judges in the 6th Judicial District,"Bill Passed
                           - House
                      

                      
                          (56 - 6)"
"March 6, 2024",WY,SF 27,Establishes Public Service Commission Integrated Resource Plans,"Bill Passed
                           - House
                      

                      
                          (35 - 27)"
"March 6, 2024",WY,SF 57,Establishes a Hearing Aid Program for Eligible Low-Income Adults,"Bill Passed
                           - House
                      

                      
                          (38 - 24)"
"March 5, 2024",WY,HB 126,Authorizes Childcare at Residential Property,"Bill Passed
                           - Senate
                      

                      
                          (23 - 8)"
"March 5, 2024",WY,SF 113,Amends Penalties for Light and High-Profile Vehicle Closures,"Bill Passed
                           - House
                      

                      
                          (44 - 18)"
"March 5, 2024",WY,SF 111,Requires Separate Hunting Licenses and Seasons for Mule and Whitetail Deer,"Bill Failed
                           - House
                      

                      
                          (28 - 34)"
"March 5, 2024",WY,SF 103,Authorizes Producers to Sell Meat Products so Long as the Federal PRIME ACT Passes Congress,"Bill Passed
                           - House
                      

                      
                          (56 - 6)"
"March 1, 2024",WY,SF 47,Amends Law Enforcement Retirement Contributions,"Bill Passed
                           - House
                      

                      
                          (43 - 15)"
"Feb. 28, 2024",WY,SF 4,Authorizes Retired Firefighters to be Rehired While Continuing to Receive Pensions and Retirement Benefits,"Bill Passed
                           - House
                      

                      
                          (46 - 16)"
"Feb. 27, 2024",WY,SF 111,Requires Separate Hunting Licenses and Seasons for Mule and Whitetail Deer,"Bill Passed
                           - Senate
                      

                      
                          (28 - 3)"
"Feb. 27, 2024",WY,SF 107,Requires Manufacturers of Electronic Cigarettes and Vapor Material to File Certifications,"Bill Passed
                           - Senate
                      

                      
                          (17 - 14)"
"Feb. 27, 2024",WY,SF 96,Amends Trusts and Bank Asset Definitions in Bankruptcy-Clarifications,"Bill Passed
                           - Senate
                      

                      
                          (31 - 0)"
