state,bill_id,term_session_title,summary,commem,comments
AR,HB1145,2023_2024|2023-RS|TO CREATE LUPUS AWARENESS DAY.,,1,"awareness day, but no visible policy impact here (e.g., no closing offices)"
AR,HB1331,2023_2024|2023-RS|TO ESTABLISH JUNE 12 OF EACH YEAR AS WOMAN VETERANS DAY.,,1,"again, designation of a day, but no policy impact other than awareness"
AR,HB1393,2023_2024|2023-RS|TO CREATE MENTAL HEALTH AWARENESS WEEK IN PUBLIC SCHOOLS.,,1,"again, designation, but no policy impact other than awareness"
AR,HB1767,2023_2024|2023-RS|TO RECOGNIZE ARKANSAS MUSICIANS; AND TO AMEND THE MUSICIANS HONORED ON ARKANSAS MUSIC APPRECIATION DAY.,,1,"again, recognition, awareness week for AR musicians, but no policy impact"
AR,HB1801,2023_2024|2023-RS|TO REORGANIZE THE STANDING COMMITTEES AND THE SUBJECT MATTER INTERIM COMMITTEES OF THE HOUSE OF REPRESENTATIVES; TO RENAME THE JOINT COMMITTEE ON ENERGY AND THE JOINT INTERIM COMMITTEE ON ENERGY.,,0,"change to S, reorg of legisl committees affects legislative process"
AR,SB335,"2023_2024|2023-RS|TO AMEND THE LAW CONCERNING THE ARKANSAS CAPITOL GROUNDS MONUMENT AND MEMORIAL PRESERVATION FUND; TO AMEND THE LAW CONCERNING THE MAINTENANCE, REPAIR, AND UPKEEP OF MONUMENTS AND MEMORIALS AREAS ON STATE CAPITOL GROUNDS.",,0,"change to S, amending laws regarding fundfs for monument upkeep"
AR,SB535,"2023_2024|2023-RS|TO CREATE THE ""GLEN CAMPBELL MEMORIAL HIGHWAY"".",,1,"designation of a road, but nothing other than a renaming"
AZ,SB1395,2023_2024|RS1|indigenous peoples; civil rights holidays,indigenous peoples; civil rights holidays,0,"""holidays enumerated"" means day off/closed offices so upgraded to S"
AZ,SB1627,2023_2024|RS1|technical correction; Arbor day,technical correction; Arbor day,1,"again, seems to just be raising awareness, not closing offices"
AZ,SB1140,2023_2024|RS2|technical correction; Arbor day,technical correction; Arbor day,1,"again, seems to just be raising awareness, not closing offices"
AZ,SB1110,2023_2024|RS2|monument and memorial repair fund,monument and memorial repair fund,0,change to S since it deals with a fund ($ set aside for project)
AZ,HB2824,2023_2024|RS2|students; community service commendation,students; community service commendation,1,commendation is clearly commemorative
AZ,SB1628,2023_2024|RS1|public offices; holidays; technical correction,public offices; holidays; technical correction,1,could go other either way but tech correction makes me keep it at C (may disagree)
AZ,SB1009,2023_2024|RS1|criminal damage; monuments; memorials; statues,criminal damage; monuments; memorials; statues,0,creating memorials = commemorative
AZ,SB1303,2023_2024|RS2|ABOR; high school honors endorsements,ABOR; high school honors endorsements,1,endorsements are not tangible & are commem (ceremonial)
AZ,HB2187,2023_2024|RS1|day of racial healing; observed,day of racial healing; observed,1,"focuses on community building, but no offices closed"
AZ,HB2001,2023_2024|RS2|day of racial healing; observed,day of racial healing; observed,1,"focuses on community building, but no offices closed"
AZ,HB2304,2023_2024|RS2|Buffalo Soldiers Arizona territory monument,Buffalo Soldiers Arizona territory monument,1,good as is - creating monument is commemorative
AZ,HB2798,2023_2024|RS2|peace pole monument; governmental mall,peace pole monument; governmental mall,1,good as is - creating monument is commemorative
AZ,SB1513,2023_2024|RS2|peace pole monument; governmental mall.,peace pole monument; governmental mall.,1,good as is - creating monument is commemorative
AZ,HB2171,2023_2024|RS1|Don Bolles memorial.,Don Bolles memorial.,1,good as is - memorial to celebrity clearly commemorative
AZ,SB1039,2023_2024|RS1|Don Bolles memorial,Don Bolles memorial,1,good as is - memorial to celebrity clearly commemorative
AZ,HB2595,2023_2024|RS2|Don Bolles memorial,Don Bolles memorial,1,good as is - memorial to celebrity clearly commemorative
AZ,HB2330,2023_2024|RS1|post-traumatic stress injury day,post-traumatic stress injury day,1,"solely to raise awareness, no policy impacts/closed offices"
AZ,HB2577,2023_2024|RS2|post-traumatic stress injury day,post-traumatic stress injury day,1,"solely to raise awareness, no policy impacts/closed offices"
AZ,HB2805,2023_2024|RS2|holiday; Indigenous Peoples' day.,holiday; Indigenous Peoples' day.,0,upgraded b/c says some AZ offices closed on this day
AZ,SB1694,2023_2024|RS2|holiday; Indigenous Peoples' day,holiday; Indigenous Peoples' day,0,upgraded b/c says some AZ offices closed on this day
AZ,HB2515,2023_2024|RS1|holiday; Indigenous Peoples' day,holiday; Indigenous Peoples' day,0,upgraded b/c says some AZ offices closed on this day (same as Columbus Day)
AZ,SB1635,2023_2024|RS1|holiday; Indigenous Peoples' day.,holiday; Indigenous Peoples' day.,0,upgraded b/c says some AZ offices closed on this day (same as Columbus Day)
AZ,SB1141,2023_2024|RS2|public offices; holidays; technical correction,public offices; holidays; technical correction,0,"upgrading b/c key word says ""closing of offices"""
AZ,SB1286,2023_2024|RS2|elections; voting centers; polling places,elections; voting centers; polling places,0,upgrading to S b/c deals with elections (typically a day off to vote)
AZ,SB1174,2023_2024|RS2|tuition; family; posttraumatic stress; suicide,tuition; family; posttraumatic stress; suicide,0,upgrading to S b/c deals with tuition assistance & reimburses
KS,SB0039,2023_2024|2023-2024-RS|Directing the capitol preservation committee to develop and approve plans for a mural honoring the 1st Kansas (Colored) Voluntary Infantry regiment.,,1,creating mural - clearly commem
KS,HB2088,2023_2024|2023-2024-RS|Directing the capitol preservation committee to develop and approve plans for a mural honoring the 1st Kansas (Colored) Voluntary Infantry regiment.,,1,creating mural - commem
KS,HB2507,2023_2024|2023-2024-RS|Designating a bridge in Sumner county as the SrA Derek Scott Martin memorial bridge.,,1,designating bridge - commem
KS,SB0357,2023_2024|2023-2024-RS|Designating a portion of United States highway 81 as the Merle Miller memorial highway.,,1,designating highway - commem
KS,HB2014,2023_2024|2023-2024-RS|Designating a portion of United States highway 69 in Crawford county as the Robert Lessen memorial highway.,,1,designating highway - commem
KS,HB2298,2023_2024|2023-2024-RS|Designating a portion of interstate 435 as the Officer Donald Burton Gamblin Jr memorial highway and a portion of United States highway 69 as the Robert Lessen memorial highway.,,1,designating highway - commem
KS,HB2481,"2023_2024|2023-2024-RS|Designating portions of K-96 highway as the PFC Henry Lee Fisher memorial highway and the 96th Infantry Division memorial highway, a portion of United States highway 69 as the Ken W Brock memorial highway, a portion of United States highway 81 as the Merle Miller memorial highway and a portion of United States highway 281 as the first responders memorial highway, redesignating a current portion of the American Legion memorial highway for United States highway 281 and redesignating a current portion of the Frank Carlson memorial highway for United States highway 81, designating bridge No. 160-96-293.72 in Sumner county as the SrA Derek Scott Martin memorial bridge and designating the Atchison, Topeka and Santa Fe #3415 as the official state steam locomotive and the Abilene & Smoky Valley Railroad as the official state heritage railroad.",,1,designating highway - commem
KS,HB2575,"2023_2024|2023-2024-RS|Designating a portion of K-96 highway as the 96th ""Deadeye"" Infantry Division memorial highway.",,1,designating highway - commem
KS,HB2799,2023_2024|2023-2024-RS|Designating a portion of United States highway 281 in Russell county as the first responders memorial highway and redesignating a portion of the American Legion memorial highway.,,1,designating highway - commem
KS,SB0334,2023_2024|2023-2024-RS|Designating the Abilene & Smoky Valley Railroad as the official state heritage railroad.,,1,designating railroad - commem
KS,HB2502,2023_2024|2023-2024-RS|Designating the Abilene & Smoky Valley Railroad as the official state heritage railroad.,,1,designating railroad - commem
KS,SB0337,"2023_2024|2023-2024-RS|Designating the Atchison, Topeka and Santa Fe #3415 as the official state steam locomotive.",,1,designating trains as official - commem
KS,SB0003,2023_2024|2023-2024-RS|Designating Silvisaurus condrayi as the official state land fossil.,,1,designation of fossil - stays at commem
KS,SB0431,2023_2024|2023-2024-RS|Directing the capitol preservation committee to approve plans for a memorial honoring Emil Joseph Kapaun.,,1,memorial - commem
KS,SB0132,2023_2024|2023-2024-RS|Providing for the buffalo soldier distinctive license plate.,,1,"providing for signifies funding towards project, upgrade"
KS,SB0342,2023_2024|2023-2024-RS|Providing for the Sedgwick county zoo distinctive license plate.,,1,"providing for signifies funding towards project, upgrade"
KS,SB0400,2023_2024|2023-2024-RS|Providing for the sporting Kansas City distinctive license plate.,,1,"providing for signifies funding towards project, upgrade"
KS,HB2296,2023_2024|2023-2024-RS|Providing for the knights of Columbus license plate.,,1,"providing for signifies funding towards project, upgrade"
KS,HB2346,2023_2024|2023-2024-RS|Providing for the back the blue license plate and the city of Topeka distinctive license plate and allowing distinctive license plates to be personalized license plates.,,1,"providing for signifies funding towards project, upgrade"
KS,HB2482,2023_2024|2023-2024-RS|Providing for the 1st Infantry Division and the armed services occupation medal distinctive license plates.,,1,"providing for signifies funding towards project, upgrade"
KS,HB2500,2023_2024|2023-2024-RS|Providing for the delta waterfowl distinctive license plate.,,1,"providing for signifies funding towards project, upgrade"
KS,HB2558,2023_2024|2023-2024-RS|Providing for the armed services occupation medal distinctive license plate.,,1,"providing for signifies funding towards project, upgrade"
KS,HB2706,2023_2024|2023-2024-RS|Providing for model year license plate decals to be displayed on antique trucks and motorcycles.,,1,"providing for signifies funding towards project, upgrade"
KS,SB0157,2023_2024|2023-2024-RS|Designating February 15 of each year as Susan B. Anthony Day in the state of Kansas.,,1,"seems like nothing substantive, so keep at C"
KS,SB0059,"2023_2024|2023-2024-RS|Designating ""Martin Luther King, Jr. Day at the Capitol.""",,1,"tricky, but keeping C b/c MLK Day is already observed (this is just more events)"
KS,HB2331,2023_2024|2023-2024-RS|Designating Lehigh Portland state park.,,1,"tricky, but keeping this C because designation & no visible policy impact"
KY,SB0270,2023_2024|2023-RS|AN ACT relating to state holidays.,"Amend KRS 2.147 and 18A.190 to make June 19, also known as ""Juneteenth National Freedom Day,"" a state holiday for state employees.",0,"state holiday w/day off clearly S, upgraded"
KY,HB0367,2023_2024|2023-RS|AN ACT relating to state symbols.,Amend KRS 2.091 to name and designate coal as the official rock of Kentucky; amend KRS 2.094 to name and designate chalcedony agate as the official mineral of Kentucky.,1,"designating rocks & minerals, stays at C"
KY,SB0133,2023_2024|2023-RS|AN ACT designating the state dog breed.,Create a new section of KRS Chapter 2 to designate the Treeing Walker Coonhound as the official state dog of Kentucky.,1,"designating official state dog, stays at C"
KY,HB0211,2023_2024|2023-RS|AN ACT relating to public holidays.,Amend KRS 2.110  to revise the public holidays on which public offices in the Commonwealth may be closed.,0,"upgraded, deals with dates on which offices closed"
KY,HB0218,2023_2024|2023-RS|AN ACT relating to the Honor and Remember flag.,"Create a new section of KRS Chapter 2 to define and designate the Honor and Remember flag as the state's emblem of the service and sacrifice of the brave men and women of the United States Armed Forces who have given their lives in the line of duty; specify locations, dates, and circumstances under which the flag may be displayed; and provide that if Congress designates a flag to honor those service members who have given their lives in the line of duty, then that flag shall be used instead of the one created by Honor and Remember, Inc.",1,"stays at C, honoring fallen vets, flags, desig state emblem"
KY,HB0166,2023_2024|2023-RS|AN ACT relating to state symbols.,Create a new section of KRS Chapter 2 to name and designate as the official pets of Kentucky domestic cats and dogs that reside in or have been adopted from Kentucky animal shelters or rescue organizations.,1,"stays at C, designating official pets"
KY,HB0183,2023_2024|2023-RS|AN ACT relating to state holidays.,Amend KRS 2.110 to replace the third day of June with the nineteenth of June as a public holiday to commemorate Juneteenth National Freedom Day.,0,"upgraded to S, ""public holiday"""
KY,HB0206,2023_2024|2023-RS|AN ACT relating to state holidays.,Amend KRS 2.110 to add the nineteenth day of June as a state holiday commemorating Juneteenth National Freedom Day.,0,"upgraded to S, state holiday w/day off"
KY,HB0100,2023_2024|2023-RS|AN ACT relating to the Legislative Research Commission.,"Create new sections of KRS Chapter 7 to define ""federal action,"" ""global organization action,"" and ""subcommittee"";  establish the Committee on Constitutional Enforcement; establish subcommittee membership, terms, and quorum requirements; allow the subcommittee to review and comment on any federal action or global organization action; require the subcommittee, upon its review to refer a federal action or global organization action to the Attorney General or to make a recommendation to the General Assembly to adopt a resolution urging Congress to take action if it finds the federal action or global organization action violates the Kentucky Constitution.",0,"upgraed to S, new legisl committee with new responsibility"
KY,HB0076,2023_2024|2023-RS|AN ACT relating to dates of recognition.,Create a new section of KRS Chapter 2 to annually honor dates of agricultural recognition.,1,"stays C,  ""honoring"" and ""recognition"""
KY,HB0014,2023_2024|2023-RS|AN ACT relating to special license plates.,"Create a new section of KRS Chapter 186 to create an EMS special license plate; limit eligibility to certain licensed EMS personnel or retirees with 20 years of service; specify that the EMS plate requires no minimum number of applications prior to production; amend KRS 186.162 to establish the fees for the EMS special license plate, including an additional contribution to the Kentucky EMS Memorial Foundation; amend KRS 186.166 to update the list of special license plates to be perpetually produced; EFFECTIVE January 1, 2024.",0,upgrade because providing funds for this license plate
KY,HB0028,2023_2024|2023-RS|AN ACT relating to Tuskegee Airmen Commemoration Day.,Create a new section of KRS Chapter 2 to designate the fourth Thursday in March of each year as Tuskegee Airmen Commemoration Day.,1,"designation of day, nothing is closing/changes, stays at C"
